query,rank,title,domain,page_type,role,intent_observation,raw_batch
"titanium dioxide for PE plastic",1,"The role of titanium dioxide pigments in the degradation and stabilisation of polymers in the plastics industry",sciencedirect.com,Review/article record,Research,"Pigmentary polymer durability context; not PE buyer page",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",2,"Rutile titanium - TiO2 in plastic",ruitio2.com,Supplier product page,Supplier,"Generic plastics grade promotion",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",3,"The effect of colorants on the properties of rotomolded polyethylene parts",wiley.com,Journal record,Research,"Specific PE conversion and finished-part context",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",4,"The role of titanium dioxide on the behaviour and fate of plastics in the aquatic environment",pubmed.ncbi.nlm.nih.gov,Review record,Research,"Environmental fate rather than commercial pigment evaluation",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",5,"Top FAQs About PE (Polyethylene)",ppfahome.org,Association FAQ,Association,"General PE information; query noise",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",6,"Photocatalytic degradation of polyethylene film by incorporated extra-fine particles of titanium dioxide",hero.epa.gov,Research record,Government index,"Nano/photocatalytic film degradation; out of pigmentary scope",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",7,"The effect of colorants on the properties of rotomolded polyethylene parts PDF",wiley.com,Journal PDF,Research,"Duplicate research record",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",8,"Titanium Dioxide for Plastics & Masterbatch",tinoxchem.com,Application/supplier page,Supplier,"Generic plastics and masterbatch commercial intent",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",9,"WMB-PE7026P White Masterbatch",tinoxchem.com,Masterbatch product page,Supplier,"PE masterbatch purchase intent; APP-MB boundary",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PE plastic",10,"TiO2 for PE / PP Films — Grades, Dosage, Formulation",tio2agents.com,Dedicated supplier guide,Supplier,"Film overlap plus unsupported recipes and grade claims",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",1,"Effect of titanium dioxide on the thermal ageing of polypropylene",hero.epa.gov,Research record,Government index,"PP thermal-ageing evidence; study-specific",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",2,"Photocatalytic degradation of polypropylene film by dispersed titanium dioxide particles",sciencedirect.com,Journal record,Research,"Nano/photocatalytic film degradation; out of pigmentary buyer scope",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",3,"Fine Particle Titanium Dioxide Properties and Applications",hero.epa.gov,Research record,Government index,"Fine-particle/nano context; ambiguous application",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",4,"Photocatalytic degradation of polypropylene film by dispersed titanium dioxide particles",sciencedirect.com,Journal record,Research,"Duplicate of rank 2",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",5,"What Is Titanium Dioxide? Whiteness, Opacity and Performance in Paints and Plastics",tuverpigment.com,Supplier article,Supplier,"Generic TiO2 education and promotion",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",6,"Photocatalytic Degradation of Plastic Waste: A Mini Review",pmc.ncbi.nlm.nih.gov,Review article,Research,"Environmental photocatalysis; not pigmentary application",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",7,"Functionalization of Polypropylene by TiO2 Photocatalytic Nanoparticles",pmc.ncbi.nlm.nih.gov,Journal article,Research,"Surface-functional nanoparticle topic; out of scope",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",8,"The role of titanium dioxide on the behaviour and fate of plastics in the aquatic environment",pubmed.ncbi.nlm.nih.gov,Review record,Research,"Environmental fate rather than buyer evaluation",SERP-GLOBAL-R04-PE-PP-20260908
