claim_id,page_id,claim_text_candidate,claim_type,source_ids,source_date,capture_date,scope,verification_status,render_decision,review_owner,notes
MB-C001,APP-MB,"Concentrate preparation and final-article testing answer different parts of a TiO2 pigment evaluation.",TECHNICAL,D22-S02,2020,2026-09-06,"Illustrated by the tested LLDPE masterbatch and cast-film system; not universal formulation guidance",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evaluation-system; R04 statements 001-003; visible article citation [1]"
MB-C002,APP-MB,"A useful system declaration separates carrier identity and Grade, receiving resin, concentrate and final pigment fractions, preparation, conversion and final specimen.",GUIDANCE,D22-S02,2020,2026-09-06,"Project evaluation synthesis informed by the study design; not an ISO or industry SOP",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evaluation-system; R04 statement 004; visible article citation [1]"
MB-C003,APP-MB,"ISO 23900-5:2015 ties FPV comparison to equipment, conditions, test polymer and consistent concentrate preparation.",METHOD,D22-S01,2015,2026-09-06,"Public preview scope only; not a full operating procedure or pass threshold",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module comparison-basis; R04 statements 005-010; visible article citation [2]"
MB-C004,APP-MB,"Comparison status can be expressed as comparable, not comparable or still requiring verification without naming a product winner.",GUIDANCE,SYNTH-01,2026-09-06,2026-09-06,"Buyer decision framework derived from the article; not attributed to ISO",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module comparison-basis; R04 statement 010"
MB-C005,APP-MB,"Flow, microscopy and final-specimen measurements answer different process, spatial and functional questions.",TECHNICAL,D22-S02,2020,2026-09-06,"Limited to distinctions supported by the study's separate observations",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evidence-interpretation; R04 statement 011; visible article citation [1]"
MB-C006,APP-MB,"FPV interpretation remains bounded by preparation, equipment, conditions and test polymer.",METHOD,D22-S01,2015,2026-09-06,"ISO public-preview comparison boundary only",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evidence-interpretation; R04 statement 012 cites visible article source [2] only"
MB-C007,APP-MB,"Morphology observations describe sampled spatial state and one field cannot establish whole-lot homogeneity.",TECHNICAL,D22-S02,2020,2026-09-06,"Study-informed observation plus conservative sampling boundary",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evidence-interpretation; R04 statement 012B cites visible article source [1] only"
MB-C008,APP-MB,"Optical, color, mechanical and ageing or retention results remain separate final-specimen endpoints.",TECHNICAL,D22-S02,2020,2026-09-06,"LLDPE cast-film example; no transfer to other systems",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evidence-interpretation; R04 statements 013-018; visible article citation [1]"
MB-C009,APP-MB,"Favorable process evidence may justify final-specimen testing but cannot close an unmeasured final-use requirement.",GUIDANCE,SYNTH-02,2026-09-06,2026-09-06,"Bounded inference from stage separation; not a universal pass/fail rule",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evaluation-boundary; R04 statements 019-026"
MB-C010,APP-MB,"The cited accelerated-ageing observations are not outdoor service-life evidence.",TECHNICAL,D22-S02,2020,2026-09-06,"Negative scope boundary for the cited study",VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module evaluation-boundary; R04 statement 021; visible article citation [1]"
MB-C011,APP-MB,"A TDS supports screening, a lot CoA concerns an identified lot, an SDS communicates safety information, and an application report describes a tested system.",DOCUMENT,D22-S03;D22-S05,"publication year unavailable",2026-09-06,"Manufacturer-page examples frame document identity; they do not prove TiO2 Malaysia document availability",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Project Control","Module documents; R04 statements 027-034; visible article citations [3] and [4]"
