source_id,source_type,source_name,source_url_or_path,query_or_scope,market,language,captured_or_observed_at,capture_method,completeness_status,bytes,sha256,limitations
PROC-CL-RAW-SEARCH-ORIGINAL,WEB_SEARCH,Original query web-search capture,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_SEARCH_ORIGINAL_2026-09-06.md,chloride process titanium dioxide,GLOBAL,EN,2026-09-06,generic web_search single-query capture,PARTIAL_STRUCTURED_CAPTURE,5370,EC2E19CEAFEC687B53A295175C2F0496126DA2388B9C0DB320C0A86B74ACAE93,"Unranked generic search output; not Google-local evidence; excluded long tail is described but not a top-ten export"
PROC-CL-RAW-SEARCH-EXPANDED,WEB_SEARCH,Expanded query web-search capture,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md,"supplier; grade selection; applications",GLOBAL,EN,2026-09-06,generic web_search query-attributed batch,PARTIAL_STRUCTURED_CAPTURE,4503,069655323FF1BBD12A611816E47F34371018FF35D7FC88C92B80F952314DB18,"Exact organic ranks and full top-ten export unavailable"
PROC-CL-RAW-FETCH-REPRESENTATIVE,WEB_FETCH,Representative page-read extracts,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,"institutional process sources; manufacturer category and technical guide",GLOBAL,EN,2026-09-06,webpage/PDF open,PARTIAL_PAGE_EXTRACTS,3668,667BCEF3FC05F950A720A9319923021B8606BA68C0CBD0CE678DFFEE1675EE2B,"Extracted readable lines only; not full local webpage/PDF archives"
PROC-CL-KW-MASTER-20260829,PROJECT_KEYWORD_BASELINE,Keyword master,research/keyword/01_keyword_master.csv,"chloride process titanium dioxide; chloride tio2; chloride process tio2 supplier",GLOBAL,EN,2026-08-29,existing approved project research read,COMPLETE_FILE,117689,4E670B8D6FC365C6F5029DAC3A3BBD91A9A1F569F88A13BA993C1942E959FFCE,"All three metrics remain Unavailable; file review status remains as recorded by source"
PROC-CL-KW-CLUSTER-20260829,PROJECT_KEYWORD_BASELINE,Keyword clusters,research/keyword/02_keyword_clusters.csv,PRODUCT-03 Chloride process,GLOBAL,EN,2026-08-29,existing project research read,COMPLETE_FILE,16194,8F9A26EF93DB57B596DBAD9478F60AB93D0FAE2F13CCBB69DB71218F596BAD10,"Qualitative mapping; no combined numeric demand"
PROC-CL-KW-ARCH-20260829,PROJECT_KEYWORD_BASELINE,Keyword architecture map,research/keyword/03_keyword_architecture_map.csv,PRODUCT-03,GLOBAL,EN,2026-08-29,existing project research read,COMPLETE_FILE,7981,9AA164BCA81DEA8559AF590C29DE4F340D0CD36654D04784D2739E8E3DD7AC18,"Architecture research source; current page ownership is controlled by implementation master"
PROC-CL-KW-IMPLEMENTATION,APPROVED_PAGE_KEYWORD_AUTHORITY,Page keyword implementation master,research/keyword/11_page_keyword_master.csv,PRODUCT-PROC-CL and competing owner rows,GLOBAL,EN,2026-09-06,current file read,COMPLETE_FILE,42155,CF189768FC3E8BC1E4108F0336CD45E40AE05F5A419885DB1907A71E3DC6687F,"Historical M-2377 note is superseded by PRODUCT V0.3"
PROC-V03-MATRIX,APPROVED_RELATION_BASELINE,PRODUCT V0.3 matrix,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,"84 relations; grade-level process classification",GLOBAL,EN,2026-08-30,current approved file read,COMPLETE_FILE,61284,8465E231545D3EFC6333EC593441EEF65E95173A4708097CEC0D7A97A014E406,"Neutral public relationships only; no process superiority implication"
PROC-V03-AUDIT,APPROVED_RELATION_BASELINE,PRODUCT V0.3 unified audit,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,"30 verified / 0 conflict / 54 no-public; 8/5/1 process",GLOBAL,EN,2026-08-30,current approved file read,COMPLETE_FILE,4178,338F2D4F2083E2E56B00637A4771982D08BFA15C1283022D6A28D506F0DEDEDB,"M-996/M-2196 comparison hold and M-2377/CR-901 boundaries remain"

