claim_id,page_id,claim_text,claim_class,source_ids,source_date,capture_or_decision_date,scope,verification_status,render_status,article_mapping,owner,notes
APP-COAT-CLM-001,APP-COAT,"The registered page is TiO2 for Coatings.",PAGE_IDENTITY,"PAGE_REGISTRY_V0.2; 11_page_keyword_master.csv",2026-09-06,2026-09-07,"Page identity only",VERIFIED,INTERNAL_CONTRACT,NA,APP-COAT,"Does not approve a route"
APP-COAT-CLM-002,APP-COAT,"The registered URL is /applications/titanium-dioxide-for-coatings/ and remains PROVISIONAL_URL.",URL_STATUS,"PAGE_REGISTRY_V0.2; 11_page_keyword_master.csv",2026-09-06,2026-09-07,"Planning URL only",VERIFIED,CONDITIONAL_PUBLIC,NA,Architecture,"Not final Canonical or live-route approval"
APP-COAT-CLM-003,APP-COAT,"APP-COAT owns the primary keyword titanium dioxide for coatings.",KEYWORD_OWNERSHIP,11_page_keyword_master.csv,2026-09-06,2026-09-07,"Generic Coatings application intent",VERIFIED,INTERNAL_CONTRACT,NA,APP-COAT,"Exact Grade and country supplier terms excluded"
APP-COAT-CLM-004,APP-COAT,"The observed search-result mix supports informational and commercial technical-evaluation interpretations.",SEARCH_INFERENCE,APP-COAT_SEARCH_INTENT_EVIDENCE_SUPPORT_V0.1.md,2026-09-07,2026-09-07,"Qualitative generic-web-search sample",PARTIALLY_VERIFIED,INTERNAL_RESEARCH,NA,Gate1 Agent,"No dominant-intent percentage or local rank"
APP-COAT-CLM-005,APP-COAT,"Current search volume, KD, CPC and trend are unavailable in this Gate 1 run.",METRIC_STATUS,APP-COAT_SEARCH_INTENT_EVIDENCE_SUPPORT_V0.1.md,2026-09-07,2026-09-07,"This Gate 1 only",VERIFIED,INTERNAL_RESEARCH,NA,Gate1 Agent,"Unavailable is not zero"
APP-COAT-CLM-006,APP-COAT,"The exact approved Coatings article is the primary long-form page-planning input.",USER_APPROVED_CONTENT,"APP-COAT_REVISED_ARTICLE_PROJECT_CONTROL_REVIEW_V0.1.md; exact D22 article SHA 49311959...A2F50",2026-09-06,2026-09-06,"Exact reader-visible article meaning",USER_APPROVED,PUBLIC_ELIGIBLE,KEEP,APP-COAT,"Article approval did not approve the page Gate"
APP-COAT-CLM-007,APP-COAT,"The approved article contains 37 hidden statement-id comments that must not enter buyer-visible HTML or CMS content.",TRANSFORMATION_BOUNDARY,"APP-COAT_REVISED_ARTICLE_PROJECT_CONTROL_REVIEW_V0.1.md; exact D22 article",2026-09-06,2026-09-07,"Downstream derivative only",VERIFIED,DO_NOT_RENDER,OMIT_FROM_PAGE,APP-COAT,"Retain audit traceability outside buyer content"
APP-COAT-CLM-008,APP-COAT,"A candidate must be compared with the incumbent in the coating system that will actually use it.",TECHNICAL_GUIDANCE,"Approved article statements 001-005",2026-09-06,2026-09-06,"Declared formulation/process/film/exposure basis",USER_APPROVED,PUBLIC_ELIGIBLE,KEEP_ADAPT,APP-COAT,"No equivalence inference"
APP-COAT-CLM-009,APP-COAT,"Similar TDS fields, nominal TiO2 content or one favorable result do not establish equivalence.",TECHNICAL_LIMIT,"Approved article statement 001",2026-09-06,2026-09-06,"Replacement comparison",USER_APPROVED,PUBLIC_ELIGIBLE,KEEP_ADAPT,APP-COAT,"Exact approved meaning"
APP-COAT-CLM-010,APP-COAT,"Opacity, colour, dispersion/rheology, film appearance and durability answer different questions.",TECHNICAL_GUIDANCE,"Approved article statements 002, 005, 008, 013-014, 020-025",2026-09-06,2026-09-06,"Prepared coating-film comparison",USER_APPROVED,PUBLIC_ELIGIBLE,KEEP_ADAPT,APP-COAT,"No single composite score"
