source_id,source_type,source_name,source_url_or_path,query_or_scope,market,language,captured_or_observed_at,capture_method,completeness_status,bytes,sha256,limitations
PROC-SU-RAW-SEARCH-ORIGINAL,WEB_SEARCH,Original query web-search capture,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_SEARCH_ORIGINAL_2026-09-06.md,sulfate process titanium dioxide,GLOBAL,EN,2026-09-06,generic web_search single-query capture,PARTIAL_STRUCTURED_CAPTURE,33532,8965DD4A906E257DE65D80DEAEF4B900919B9DF0FB8B2F6B0A44FCD2E8F705D0,"Unranked generic search output; not Google-local evidence; not a complete organic top-ten export"
PROC-SU-RAW-SEARCH-EXPANDED,WEB_SEARCH,Expanded query web-search capture,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md,"manufacturer; supplier; grade portfolio; sulfate/sulphate variants",GLOBAL,EN,2026-09-06,generic web_search query-attributed batch,PARTIAL_STRUCTURED_CAPTURE,34879,20B76194F77E55E9E954EEF97448A84BF1D8D0791E04C0143588E632F0A0A8F5,"Exact organic ranks and full top-ten export unavailable; expansion proportions do not describe original-query distribution"
PROC-SU-RAW-FETCH-REPRESENTATIVE,WEB_FETCH,Representative page-read extracts,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,"institutional process context; manufacturer category and grade pages; excluded comparison source",GLOBAL,EN,2026-09-06,webpage/PDF open,PARTIAL_PAGE_EXTRACTS,28129,E9F57195D046A79A1BB45B501E0AD88445634AC881EADAE53D7A3A5546B32BA6,"Readable extracts/tool response only; not full local webpage/PDF archives; one oversized Chemours PDF fetch failed and is recorded as such"
PROC-SU-KW-MASTER-20260829,PROJECT_KEYWORD_BASELINE,Keyword master,research/keyword/01_keyword_master.csv,"sulfate process titanium dioxide; sulphate process titanium dioxide",GLOBAL,EN,2026-08-29,existing project research read,COMPLETE_FILE,117689,4E670B8D6FC365C6F5029DAC3A3BBD91A9A1F569F88A13BA993C1942E959FFCE,"Search Volume KD CPC trend and SERP type remain Unavailable; source review state remains as recorded"
PROC-SU-KW-CLUSTER-20260829,PROJECT_KEYWORD_BASELINE,Keyword clusters,research/keyword/02_keyword_clusters.csv,PRODUCT-04 Sulfate process,GLOBAL,EN,2026-08-29,existing project research read,COMPLETE_FILE,16194,8F9A26EF93DB57B596DBAD9478F60AB93D0FAE2F13CCBB69DB71218F596BAD10,"Qualitative mapping; no combined numeric demand"
PROC-SU-KW-ARCH-20260829,PROJECT_KEYWORD_BASELINE,Keyword architecture map,research/keyword/03_keyword_architecture_map.csv,PRODUCT-04,GLOBAL,EN,2026-08-29,existing project research read,COMPLETE_FILE,7981,9AA164BCA81DEA8559AF590C29DE4F340D0CD36654D04784D2739E8E3DD7AC18,"Architecture research source; current page ownership is controlled by implementation master"
PROC-SU-KW-IMPLEMENTATION,APPROVED_PAGE_KEYWORD_AUTHORITY,Page keyword implementation master,research/keyword/11_page_keyword_master.csv,PRODUCT-PROC-SU and competing owner rows,GLOBAL,EN,2026-09-06,current file read,COMPLETE_FILE,42155,CF189768FC3E8BC1E4108F0336CD45E40AE05F5A419885DB1907A71E3DC6687F,"Current identity and ownership authority; no numeric metrics"
PROC-V03-MATRIX,APPROVED_RELATION_BASELINE,PRODUCT V0.3 matrix,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,"84 relations; grade-level process classification",GLOBAL,EN,2026-08-30,current approved file read,COMPLETE_FILE,61284,8465E231545D3EFC6333EC593441EEF65E95173A4708097CEC0D7A97A014E406,"Neutral public relationships only; no process superiority or comparative implication"
PROC-V03-AUDIT,APPROVED_RELATION_BASELINE,PRODUCT V0.3 unified audit,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,"30 verified / 0 conflict / 54 no-public; 8/5/1 process",GLOBAL,EN,2026-08-30,current approved file read,COMPLETE_FILE,4178,338F2D4F2083E2E56B00637A4771982D08BFA15C1283022D6A28D506F0DEDEDB,"M-996/M-2196 comparison hold and M-2377/CR-901 boundaries remain"

