"claim_id","exact_proposition","claim_type","source","source_date","retrieved_date","locator","applicable_scope","fact_status","public_use_status","next_action"
"PL-C01","Page MARKET-EU-PL is Poland EN at /markets/poland/ with primary titanium dioxide supplier poland.","PROJECT_IDENTITY","research/keyword/11_page_keyword_master.csv;docs/architecture/PAGE_REGISTRY_V0.2.md","CURRENT_REGISTER","2026-09-06","MARKET-EU-PL row","This page","APPROVED_MAPPING","INTERNAL_DIRECTION_INPUT","Preserve identity"
"PL-C02","Malaysia-origin titanium dioxide may be used for applicable site-wide public copy and semantically matching SEO/GEO/Schema.","USER_APPROVED_FACT","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md;docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.3.md","2026-09-05","2026-09-06","EG-001","Appropriate site pages including Poland","USER_APPROVED","APPROVED_PUBLIC_USE","Do not reopen origin Hold"
"PL-C03","Operating company is IKHLAS TITANIUM (MALAYSIA) SDN. BHD.; project brand is TiO2 Malaysia.","PROJECT_FACT","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md","2026-08-29","2026-09-06","Business/entity sections","Project identity","APPROVED_PRD","APPROVED_PUBLIC_USE_WITHIN_SCOPE","No inferred Poland office"
"PL-C04","A Certificate of Origin is available upon request.","USER_APPROVED_FACT","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.3.md","2026-09-06","2026-09-06","EG-002;Poland approved 2026-09-06 user decision","Poland page and semantic SEO/GEO/social metadata/Schema","USER_APPROVED","USER_APPROVED","PL-D02 user approved 2026-09-06;do not expand exact scope"
"PL-C05","Poland keyword Volume KD CPC and Trend are unavailable in this research.","RESEARCH_LIMIT","research/keyword/01_keyword_master.csv;pages/markets/poland/01_research/evidence/PL-Q01-2026-09-06.json","HISTORICAL_KEYWORD_RECORD_AND_CURRENT_CAPTURE","2026-09-06","Poland row;Q01","This qualitative Gate1","OBSERVED_LIMIT","INTERNAL_ONLY","Do not substitute Germany proxy or zero"
"PL-C06","CC Polska describes Poland sales operations and cites Slovenian Cinkarna background.","SOURCE_OBSERVATION","https://www.ccpolska.eu/front-page/","NOT_STATED_PAGE_DATE","2026-09-06","P02 L25/36;L0-74","That source only","OBSERVED_SOURCE_BODY","RESEARCH_ONLY","Support distinction of supplier location and origin;not our company"
"PL-C07","Global Colors describes white masterbatches with TiO2 in a polymer carrier.","SOURCE_OBSERVATION","https://www.globalcolors.pl/products/white-masterbatches/","NOT_STATED_PAGE_DATE","2026-09-06","P03 L68;L0-181","That source products","OBSERVED_SOURCE_BODY","RESEARCH_ONLY","Do not sell its finished masterbatch as our product"
"PL-C08","The Global Colors page lists film bags and pipe/fitting end-use examples.","SOURCE_OBSERVATION","https://www.globalcolors.pl/products/white-masterbatches/","NOT_STATED_PAGE_DATE","2026-09-06","P03 L71-82","That source;not Poland market shares","OBSERVED_SOURCE_BODY","RESEARCH_ONLY","Use end-use question clues without performance transfer"
"PL-C09","TYTANPOL separates architectural/decorative and industrial coatings and printing inks.","SOURCE_OBSERVATION","https://tytanpol.com/zastosowanie/farby-i-powloki/","2023-02-03","2026-09-06","P06 L74-100;L0-143","Historical dated source page","OBSERVED_SOURCE_BODY","RESEARCH_ONLY","Use project question clues;not current demand or production statistic"
"PL-C10","PZPFiK describes an association of paints adhesives construction materials and raw-material participants.","SOURCE_OBSERVATION","https://pzpfik.pl/o-nas/","NOT_STATED_PAGE_DATE","2026-09-06","P04 L43-45;L0-54","Association scope only","OBSERVED_SOURCE_BODY","RESEARCH_ONLY","No TiO2 volume or largest-industry inference"
"PL-C11","ZWUKSO displays grade-linked TDS/SDS columns but extracted cells do not verify downloads.","SOURCE_OBSERVATION","https://www.zwukso.pl/offer-en/powder-pigments/titanium-dioxide.html","NOT_STATED_PAGE_DATE","2026-09-06","P01 L29-39;L0-69","That source extraction","OBSERVED_SOURCE_BODY_WITH_LIMIT","RESEARCH_ONLY","No claim our inventory matches"
