evidence_id,evidence_class,query_or_source,market_language,captured_or_published_date,absolute_or_project_path,sha256,role,limitations
BR-RAW-001,web_search_original_pure,titanium dioxide supplier brazil,Brazil EN,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_ORIGINAL_QUERY_PURE_2026-09-06.json,CB7F557FFB0975F5704DB14ECFEEB5810C56C7D5B3F58206FE2C727D66AE852A,Primary-query result sample,"Generic web search; not Google local ranking; no national prevalence inference"
BR-RAW-002,web_search_precheck_mixed,titanium dioxide supplier brazil plus three direct opens,Brazil EN,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_ORIGINAL_QUERY_2026-09-06.json,A3DADE9FAC739F981D19732C02E04AAD11D6B0142C3FF2F387871C2AEE081CB6,Discovery and direct-open precheck,"Not counted as the isolated original-query sample"
BR-RAW-003,web_search_expanded,titanium dioxide importer brazil,Brazil EN,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_IMPORTER_QUERY_2026-09-06.json,4306DAAF6B572BE4F06E39984CA1CACA8A3DB3C25AAFE092ECAB57CF24AC8A4E,Importer-intent expansion,"Expanded query; cannot establish original-query prevalence"
BR-RAW-004,web_search_expanded,industrial titanium dioxide Brazil coatings plastics supplier,Brazil EN,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_APPLICATION_QUERY_2026-09-06.json,41284C6CE9761A4F9F1D6E5E312513BC3A15FAD88F69DF74158907BDB58D8E86,Application-intent expansion,"Deliberately application-biased query"
BR-RAW-005,web_fetch_official,MDIC titanium dioxide measure and public-interest page,Brazil PT-BR official,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_CURRENT_MDIC_2026-09-06.json,293B2AF8CD556E819D7B9480232EAFA08D41C8E130A14366E2DC32431E29D179,Current official trade context,"Detailed rates and live proceeding interpretation belong RES-TRADE-BR"
BR-RAW-006,web_fetch_official,MDIC public-interest follow-up lines 283-311,Brazil PT-BR official,2026-09-06,pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_MDIC_PUBLIC_INTEREST_FOLLOWUP_2026-09-06.json,28D80DDE71B96D96D9AC5B192286351F4F0BEAC64B80388F4BEEC13CA7600A2D,Current official dated proceeding details,"Page updated 2026-08-26; final-manifestation deadline 2026-09-04 does not prove post-deadline outcome"
BR-HIST-001,semrush_historical,12 Brazil bilingual keyword rows,Brazil BR database desktop,2026-08-29,research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/manifest.json,0A795E7D750139FB7C2AFF7E475EDDF8EF55AC33B0CCC065D0684AFC6F75D0D2,Historical keyword metrics manifest,"Native CSV unavailable; historical date retained"
BR-HIST-002,semrush_historical,Semrush visible table rows,Brazil BR database desktop,2026-08-29,research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/table_rows.json,C77159EC4F8FC92A02079A78CFD69CC864190368B4F9F0633445EE5CF92A9AFF,Exact displayed metrics,"Unavailable is not zero; third-party intent label is not final conclusion"
BR-HIST-003,serp_historical_ptbr,fornecedor dioxido titanio brasil,Brazil PT-BR,2026-08-29,research/keyword/raw/serp/2026-08-29/BRAZIL/PT-BR/fornecedor_dioxido_titanio_brasil/manifest.json,CFE6701AC8FB0B82239D55125111B1BE00AAF0F46B9CE9D12178A33FF308255F,Historical Portuguese query manifest,"Supports PT-BR research only; cannot establish English-query distribution"
BR-HIST-004,official_historical,MDIC current-measure snapshot,Brazil PT-BR official,2026-08-29,research/keyword/raw/official/2026-08-29/BRAZIL/BRAZIL-MDIC-TIO2-MEASURE/manifest.json,07DDE047F729ED4CB074C10F27EA146CD4D588E02E3C799AC348071D195B1560,Historical official snapshot,"Superseded for current observations by 2026-09-06 fetch"
BR-HIST-005,official_historical,MDIC public-interest snapshot,Brazil PT-BR official,2026-08-29,research/keyword/raw/official/2026-08-29/BRAZIL/BRAZIL-MDIC-TIO2-PUBLIC-INTEREST/manifest.json,5D8D7FA09D2B28E46D7B46A92270A0698B830A7BB3420E2893BD568B27B1DF01,Historical official snapshot,"Superseded for current observations by 2026-09-06 fetch"
