claim_id,exact_claim_or_rule,claim_type,source_id,source_url_or_path,source_date,applicable_scope,evidence_status,public_behavior,user_decision_status,notes
PROC-SU-001,"PRODUCT-PROC-SU is the Sulfate Process Titanium Dioxide process aggregation page at /products/sulfate-process-titanium-dioxide/.",PAGE_IDENTITY,PROC-SU-REGISTRY,docs/architecture/PAGE_REGISTRY_V0.2.md,2026-09-06,Page identity and breadcrumb/Canonical direction,VERIFIED_PROJECT_AUTHORITY,RENDER,NONE,"Does not declare route live or published"
PROC-SU-002,"The page owns the primary keyword 'sulfate process titanium dioxide'; 'sulphate process titanium dioxide' is a same-page spelling variant; RES-PROC owns the comparison intent; Grade pages own exact model terms; Applications own generic application terms.",SEO_OWNERSHIP,PROC-SU-KW-IMPLEMENTATION,research/keyword/11_page_keyword_master.csv,2026-09-06,SEO Title/H1/body and internal links,VERIFIED_PROJECT_AUTHORITY,DO_NOT_RENDER,NONE,"Internal ownership rule; no second spelling URL or buyer-visible governance wording"
PROC-SU-003,"Accessible search results for the exact phrase mix process definitions institutional/historical records patents academic material adjacent food/nanotechnology contexts and comparison spillover.",SEARCH_OBSERVATION,PROC-SU-RAW-SEARCH-ORIGINAL,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_SEARCH_ORIGINAL_2026-09-06.md,2026-09-06,Internal intent interpretation only,PARTIALLY_VERIFIED,DO_NOT_RENDER,NONE,"Generic unranked web search; no Google-local rank or demand-share claim"
PROC-SU-004,"Manufacturer supplier and spelling-variant expansions expose process-category pages Grade tables exact Grade pages document paths and commercial actions.",SEARCH_OBSERVATION,PROC-SU-RAW-SEARCH-EXPANDED,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md,2026-09-06,Internal intent interpretation only,PARTIALLY_VERIFIED,DO_NOT_RENDER,NONE,"Supports a plausible category-to-Grade task but not user occupation demand volume or original-query dominance"
PROC-SU-005,"At a high level the sulfate route uses sulfuric acid to process titanium-bearing feedstock before subsequent steps form and finish titanium dioxide pigment.",TECHNICAL_CONTEXT,PROC-SU-RAW-FETCH-REPRESENTATIVE,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,2026-09-06,General buyer-readable process definition,VERIFIED_EXTERNAL_TECHNICAL_CONTEXT,RENDER_WITH_QUALIFIER,NONE,"General process context only; not an IKHLAS plant feedstock equipment capacity or operating claim"
PROC-SU-006,"A process label is a useful classification input but is not by itself a complete Grade performance application or suitability conclusion.",TECHNICAL_INTERPRETATION,"PROC-SU-RAW-FETCH-REPRESENTATIVE;PROC-V03-AUDIT","pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-09-06,Evaluation guidance,SUPPORTED_GENERAL_EVALUATION_PRINCIPLE,RENDER_WITH_QUALIFIER,NONE,"Do not turn into a Sulfate-vs-Chloride comparison or route superiority statement"
PROC-SU-007,"Malaysia-origin titanium dioxide",ORIGIN,EG-001,docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md,2026-09-05,Suitable visible copy and equivalent SEO/GEO/social/Schema,USER_APPROVED_SITE_WIDE,RENDER,USER_APPROVED_CLOSED,"Does not imply plant/process ownership customs treatment or a certificate promise"
PROC-SU-008,"PRODUCT V0.3 classifies exactly five Grades as Sulfate: M-996 M-2196 M-108 M-52 and M-2377.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Visible neutral Grade aggregation and machine-readable parity,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; order is presentation order not ranking"
PROC-SU-009,"M-996 is classified as Sulfate.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-SU Grade list and GRADE-M996 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no relative performance or selection rationale inferred"
PROC-SU-010,"M-2196 is classified as Sulfate.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-SU Grade list and GRADE-M2196 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no relative performance or selection rationale inferred"
