source_id,source_type,page_scope,path_or_gap,source_date_or_mtime,sha256,evidence_use,eligibility,limitations
DOCSRC-GOV-001,governance,ALL,docs/architecture/PAGE_REGISTRY_V0.2.md,2026-09-02,B60E968D4D9DB0E80C0FF19EEFF194BE6B1ACB030A8F37207654E258617D8181,"Page ID, URL, type and status",BINDING,"Does not prove document availability or company capability"
DOCSRC-GOV-002,governance,ALL,research/keyword/11_page_keyword_master.csv,2026-09-02,B321FE89A5DADEA553E2D546FF9A8992D588F99E264ADA948A7E08F43463D4B4,"Keyword, intent and cannibalization contract",BINDING,"Metrics and facts remain subject to recorded verification status"
DOCSRC-GOV-003,governance,ALL,docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md,2026-08-29,135DE023057004651D70CC127A27DE47662B71572E05252B3F1D781A4E797305,"Architecture and page roles",BINDING,"Not product, regulatory or origin evidence"
DOCSRC-GOV-004,governance,ALL,docs/architecture/PAGE_GATE_1_5_STANDARD_V1.0.md,2026-09-01,8626B84369A024A6B1A6B06C15FBA4C36E57D48A5210C8D389DE9C346DE2D279,"Gate deliverables and approval rules",BINDING,"Does not approve a page or claim"
DOCSRC-GOV-005,governance,ALL,docs/page-playbooks/DOCUMENT_PLAYBOOK_V0.1.md,2026-09-01,A985957B75EA42E8DA61AC5591325DC5CF62EDDF3ADD39FC33F3027E9CA787AE,"Documents semantics and fail-closed rules",WORKING_BASELINE,"Child-page outcomes still require approval"
DOCSRC-HUB-001,approved_page,ALL,pages/documents/05_review/DOC-000_GATE9_READ_ONLY_QA_CLOSURE_V0.1.md,2026-09-02,00C0E446D0E45FD9C107281F9A482523B9941494286FE26EC390AC14D2C43EE8,"Hub/child ownership and release boundaries",APPROVED_SCOPE,"Does not approve child routes or copy"
DOCSRC-CONV-001,approved_page,ALL,pages/conversion/05_review/CONV-DOC_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md,2026-09-04,D8C7A86F929DB86F70613DD69CAA5D6496730EEB5BEA92C4C84A961E9AFC0432,"Request-form ownership and route/release state",APPROVED_SCOPE,"Production credential and mailbox receipt remain release blockers"
DOCSRC-VIS-001,visual_authority,ALL,docs/architecture/GLOBAL_HEADER_FOOTER_SPEC_V0.5.md,2026-08-31,CC236F47018A68771856FDBAF5553517F63959774E0E8819130E66E2B1049F18,"Shared Global Chrome",BINDING,"No page-specific Chrome changes"
DOCSRC-VIS-002,visual_authority,ALL,brand/visual/TiO2_Malaysia_Visual_Standard_V1.0.md,2026-08-29,75CF7BBD306A4B2BF2662414DFB28813B094B8552AF8A7FE54231F3837E524EC,"Brand and Documents visual direction",BINDING,"Does not prove content facts"
DOCSRC-TDS-RULE-001,user_decision,DOC-TDS,pages/products/05_review/PRODUCT_TDS_DOCUMENT_PRESENCE_VALIDITY_DECISION_V0.1.md,2026-09-02,A6ED53A2A38D0228197B1907EB4C5B532037478D0EF4DA60E76B2BC1FAB5DD15,"Product-page TDS evidence validity rule",APPROVED_SCOPE,"Validity does not equal public inventory, download or currentness claim"
DOCSRC-TDS-AUDIT-001,approved_audit,DOC-TDS,pages/products/05_review/PRODUCT-000_GATE6_TDS_DIRECTORY_IMPACT_AUDIT_V0.1.md,2026-08-31,1BD5CF8DCB75B31CA6905FBEE5A72CABFFD90B614A04DF147A2539310F4FB3A8,"Fourteen approved Product Hub summary boundaries",APPROVED_SCOPE,"Summary approval is not document availability approval"
DOCSRC-TDS-M996-ALT,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/2-LBR996-TITAN.pdf,2026-08-30,1DCD540501F2D63E5E2BF5BA7BDEE086862E0D4437185711B2E03EBC54D6CAAE,"M-996 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-996 sources; no silent merge or public inventory inference"
DOCSRC-TDS-M200,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_CR-200_2024 V3.pdf,2026-07-12,1607AB81ADD23973B15CA2808F637D7B1FAE55EEE8A305606FA0312B6B3381D9,"M-200 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Visible identity must control naming; no public download authority"
DOCSRC-TDS-CR901,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_CR-901_.pdf,2026-06-18,5D742146C2DFAB167854A2C43C4E16D29F3334C4F56CFBD5560E8C132C1EEA29,"CR-901 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M886-HIST,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M_886_.pdf,2026-02-19,32ED1BED3BBDC8ECCE7155360797B8104B128F37496CC5FAC83AA95D11123655,"M-886 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-886 sources; bind exact source before public use"
DOCSRC-TDS-M895-HIST,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M_895_.pdf,2026-02-19,CA05FABDFFE1382E86765EEB57BED1F2FA177FE0ED7548AA36EB3814018D794D,"M-895 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-895 sources; bind exact source before public use"
DOCSRC-TDS-M210,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-210_ FDA GRADE V3_2023.pdf,2026-06-06,3D0612174DE7BDD5EEE0454B62B1C44F8902413A564616A8C37383280FF1F8CC,"M-210 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Filename wording does not authorize a public FDA claim"
DOCSRC-TDS-M2377-V3,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-2377_V3_2023.pdf,2026-06-06,892054A6FB3A29768414A4C955EB454C76A675F894B97FA55746F98CBF0A591B,"M-2377 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-2377 sources; no silent merge"
DOCSRC-TDS-M350,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/TDS_M-350_V3_2023.pdf,2026-06-10,881A1F9C6DB4C1FF52702BFF8BE984C8795D2BB7EAAF0AF43521929719522B58,"M-350 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M510,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-510_TME TMP FREE.pdf,2026-07-01,63E20C79D883975EB31453BC80AABFAF26EBEE73533D51B6A6B15530172E2167,"M-510 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority; exact visible scope only"
DOCSRC-TDS-M52,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-52_V3_2023.pdf,2026-06-06,C3E81C2B6DF86EE7B7DFF4F04BFF8842DC84E8253AABCDE6CB030A424008DE30,"M-52 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M886-V1,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-886_IKHLAS_V1_2026.pdf,2026-07-27,1EC47C246F788EFFB842E3A68E541510DD6284CDFF2CA3D8961C48EFF02FFAF6,"M-886 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-886 sources; bind exact source before public use"
DOCSRC-TDS-M895-V1,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-895_IKHLAS_V1_2026.pdf,2026-07-27,5B7E11F6CB3E05FFD5212197FAAF43E14F10704BDEC5F6D258576E3BC17D40C5,"M-895 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-895 sources; bind exact source before public use"
DOCSRC-TDS-M996-V3,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M-996_V3_2023.pdf,2026-06-06,956676D2A0ECF58E26955B478EB008D8870AC3CDD9F30F48AF65319FDFC90963,"M-996 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-996 sources; no silent merge"
DOCSRC-TDS-M108,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M108_IKHLAS_2023V3.pdf,2026-06-12,DFC2F01DB23EB67CB2C7E596AF7B5101EA785422C8B5F7D1D58986104F88FB18,"M-108 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M2196,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M2196_IKHLAS_2024V3.pdf,2026-06-12,C26F801059AEE3B0AFF5FA100E0C4CE9FEC529F4E70549F4312D1B981FED041F,"M-2196 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority; comparison hold remains"
DOCSRC-TDS-M340,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/7.27/TDS_M340_IKHLAS_2023V.pdf,2026-06-12,9950FCE6EFCA4F11CC4FFF81777653AC15028CFCE74236873A35EB21FEB927ED,"M-340 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M896,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/TDS_M896_IKHLAS_2023V3.pdf,2026-06-12,5115450C184397E774AE652CACBC009682793AD1659831EBB35A6737251FC90E,"M-896 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"No public download authority"
DOCSRC-TDS-M2377-SR,tds_pdf,DOC-TDS,docs/7.27 马来全套TDS +应用指南/TDS-SR2377.pdf,2026-08-30,64F8E925DE836E961E8B9FF1969D20C6526854FFBAD99E409BCB800EA0C5451F,"M-2377 technical evidence candidate",VALID_FOR_GRADE_EVIDENCE,"Multiple M-2377 sources; no silent merge"
DOCSRC-GAP-SDS,first_party_gap,DOC-TDS,"No approved first-party SDS inventory identified in current workspace review",2026-09-04,,"SDS availability and scope",EVIDENCE_REQUIRED,"Absence from this inventory does not prove non-existence"
DOCSRC-GAP-COA,first_party_gap,DOC-TDS,"No approved first-party COA inventory identified in current workspace review",2026-09-04,,"COA availability and lot/order scope",EVIDENCE_REQUIRED,"Absence from this inventory does not prove non-existence"
DOCSRC-GAP-REACH,first_party_gap,DOC-REACH,"No approved first-party REACH registration or coverage record identified in current workspace review",2026-09-04,,"Company, legal-actor and grade REACH claims",EVIDENCE_REQUIRED,"Official generic sources cannot close this gap"
DOCSRC-GAP-COO,first_party_gap,DOC-COO,"No approved first-party COO or product/shipment origin record identified in current workspace review",2026-09-04,,"Company, product and shipment origin claims",EVIDENCE_REQUIRED,"Official generic sources cannot close this gap"
DOCSRC-GAP-TRACE,first_party_gap,DOC-COO,"No approved first-party batch/order traceability capability record identified in current workspace review",2026-09-04,,"Traceability capability claims",EVIDENCE_REQUIRED,"Absence from this inventory does not prove non-existence"
