"claim_id","page_id","claim_text","claim_class","source_ids","source_date","capture_or_decision_date","scope","verification_status","render_status","article_mapping","owner","notes"
"APP-PAPER-G1-C001","APP-PAPER","APP-PAPER is the registered TiO2 for Paper Application landing page.","PAGE_IDENTITY","PAGE_REGISTRY_V0.2","2026-09-06 current entry architecture","2026-09-07","Page identity only","VERIFIED","RENDER","NOT_IN_ARTICLE","APP-PAPER","Does not approve route or indexation."
"APP-PAPER-G1-C002","APP-PAPER","The registered URL is /applications/titanium-dioxide-for-paper/ and remains PROVISIONAL_URL.","URL_STATUS","PAGE_REGISTRY_V0.2;11_page_keyword_master.csv","current sources read 2026-09-07","2026-09-07","Planning identity; not final Canonical or href","VERIFIED","DO_NOT_RENDER_AS_LIVE_FACT","NOT_IN_ARTICLE","PROJECT_CONTROL","Gate 1 may reference the route internally but not upgrade it."
"APP-PAPER-G1-C003","APP-PAPER","The primary keyword owner is titanium dioxide for paper; the secondary keyword is tio2 for paper.","KEYWORD_OWNERSHIP","11_page_keyword_master.csv","current implementation master","2026-09-07","Generic Paper Application intent","VERIFIED","RENDER","NOT_IN_ARTICLE","APP-PAPER","Exact Grade, country supplier and process primary terms remain excluded."
"APP-PAPER-G1-C004","APP-PAPER","The recorded search intent and buyer stage are Commercial and Technical Evaluation / Supplier Search.","SEARCH_INTENT","11_page_keyword_master.csv;APP-PAPER_SEARCH_INTENT_EVIDENCE_SUPPORT_V0.1.md","master current; search evidence 2026-09-06 to 2026-09-07","2026-09-07","Qualitative page direction","VERIFIED","INTERNAL_DIRECTION_ONLY","NOT_IN_ARTICLE","APP-PAPER","Not a quantified persona-share claim."
"APP-PAPER-G1-C005","APP-PAPER","The exact targeted-revision Paper article is approved as formal public-facing content input.","USER_APPROVED_CONTENT","APPLICATION_ARTICLE_TOPIC_CONTROLLER_MANDATE_AND_THREE_ARTICLE_USER_APPROVAL_V0.1.md","2026-09-07","2026-09-07","Exact reader-visible article meaning only","VERIFIED","RENDER","KEEP","APP-PAPER","Does not approve page Gate, module order, URL, development or publication."
"APP-PAPER-G1-C006","APP-PAPER","The approved article is the exact file whose SHA-256 is 1B36A1835BF8DC6718D9D3E424121B3E5A66C499FD442DC78017DFF3D649DA77.","CONTENT_IDENTITY","D22_APP_PAPER_ARTICLE;APPLICATION_ARTICLE_TOPIC_CONTROLLER_MANDATE_AND_THREE_ARTICLE_USER_APPROVAL_V0.1.md","article current targeted revision","2026-09-07","Exact file identity","VERIFIED","INTERNAL_PROVENANCE_ONLY","KEEP","APP-PAPER","Local fresh hash matched the approval record."
"APP-PAPER-G1-C007","APP-PAPER","A replacement candidate should be assessed against the current Grade in the actual paper system using method-matched finished-paper results; a TDS alone does not establish the replacement decision.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_1","2016 review; article approved 2026-09-07","2026-09-07","General evaluation discipline; no Grade result","VERIFIED","RENDER","KEEP","APP-PAPER","Preserve the difference between screening and qualification."
"APP-PAPER-G1-C008","APP-PAPER","Paper type, furnish, construction, addition route, relevant chemistry/process conditions and target properties define the comparison context.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_1","2016 review; article approved 2026-09-07","2026-09-07","Buyer-defined actual-system context","VERIFIED","RENDER","KEEP_ADAPT","APP-PAPER","No universal recipe or Paper-type interchangeability."
"APP-PAPER-G1-C009","APP-PAPER","Brightness, whiteness, colour and opacity must remain distinct and be compared with their named methods and relevant conditions.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCES_2_5","2008-2022 official records; article approved 2026-09-07","2026-09-07","Method-aware Paper result interpretation","VERIFIED","RENDER","KEEP_ADAPT","APP-PAPER","No conversion, tolerance or acceptance rule is inferred."
"APP-PAPER-G1-C010","APP-PAPER","Supplier-declared pigment information, system observation, retention-related observation and finished-paper result are different evidence roles.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_1","2016 review; article approved 2026-09-07","2026-09-07","Evidence-role distinction","VERIFIED","RENDER","KEEP","APP-PAPER","No candidate diagnosis, compatibility or retention percentage."
"APP-PAPER-G1-C011","APP-PAPER","Documents and results should remain connected to candidate identity, document version, lot/sample identity, sampling basis, method and applicable conditions.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_6","ISO 186:2002 public abstract; article approved 2026-09-07","2026-09-07","Comparison-record coherence","VERIFIED","RENDER","KEEP_ROUTE_TO_OWNER","APP-PAPER;CONV-DOC","Request mechanics remain with Documents/CONV-DOC."
"APP-PAPER-G1-C012","APP-PAPER","A representative sample under ISO 186 does not by itself establish within-lot variability or between-lot consistency.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_6","ISO 186:2002 public abstract; article approved 2026-09-07","2026-09-07","Bounded sampling interpretation","VERIFIED","RENDER_WITH_QUALIFIER","KEEP","APP-PAPER","Do not generalize beyond the article's admitted public abstract."
"APP-PAPER-G1-C013","APP-PAPER","A bounded laboratory comparison can screen whether further qualification is merited; it does not by itself establish mill performance or replacement equivalence.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_7","ISO 5269-1:2005 public abstract; article approved 2026-09-07","2026-09-07","Laboratory-screen boundary","VERIFIED","RENDER","KEEP_ADAPT","APP-PAPER","No universal preparation or test procedure."
"APP-PAPER-G1-C014","APP-PAPER","A cost-in-use comparison should use populated technical, process and commercial inputs from the same tested context; purchase price alone is insufficient.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE_SOURCE_1","2016 review; article approved 2026-09-07","2026-09-07","Input framework only","VERIFIED","RENDER","KEEP","APP-PAPER","No saving or economic outcome is promised."
"APP-PAPER-G1-C015","APP-PAPER","Advance is bounded to further qualification planning; a hold should name the missing or non-comparable input needed to continue.","APPROVED_TECHNICAL_GUIDANCE","D22_APP_PAPER_ARTICLE","article approved 2026-09-07","2026-09-07","Evaluation decision framing","VERIFIED","RENDER","KEEP_ADAPT_ROUTE_TO_OWNER","APP-PAPER;CONV-SAMPLE;CONV-RFQ","No candidate approval or transaction outcome."
"APP-PAPER-G1-C016","APP-PAPER","M-350 has a verified Paper relationship that may render neutrally as a Grade to Review.","PRODUCT_RELATION","PRODUCT_V0.3_MATRIX:REL-M350-PAPER;PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","Neutral Grade-to-Paper relationship only","VERIFIED","RENDER","NOT_IN_ARTICLE","APP-PAPER;GRADE-M350","No Paper performance, process or suitability inference."
"APP-PAPER-G1-C017","APP-PAPER","M-2377 has a verified Paper relationship that may render neutrally as a Grade to Review.","PRODUCT_RELATION","PRODUCT_V0.3_MATRIX:REL-M2377-PAPER;PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","Neutral Grade-to-Paper relationship only","VERIFIED","RENDER","NOT_IN_ARTICLE","APP-PAPER;GRADE-M2377","No Paper performance, process or suitability inference."
"APP-PAPER-G1-C018","APP-PAPER","The other twelve Grade-to-Paper rows are NO_PUBLIC_MAPPING; this is not evidence that those Grades are unsuitable or not applicable.","PRODUCT_RELATION_BOUNDARY","PRODUCT_V0.3_MATRIX;PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","Public relationship rendering","VERIFIED","DO_NOT_RENDER_NEGATIVE_CONCLUSION","NOT_IN_ARTICLE","PRODUCT_RELATION_OWNER","Only approved positive relationships render."
"APP-PAPER-G1-C019","APP-PAPER","M-2377 Specialty Materials remains hidden.","PRODUCT_RELATION_BOUNDARY","PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","Specialty Materials relation","VERIFIED","DO_NOT_RENDER","NOT_IN_ARTICLE","PRODUCT_RELATION_OWNER","Does not affect the approved Paper relationship."
"APP-PAPER-G1-C020","APP-PAPER","Rubber remains evidence-only and does not create a public taxonomy, Page ID, URL or keyword.","PRODUCT_TAXONOMY_BOUNDARY","PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","Application taxonomy","VERIFIED","DO_NOT_RENDER","NOT_IN_ARTICLE","PROJECT_CONTROL","No Rubber page or filter."
"APP-PAPER-G1-C021","APP-PAPER","M-996 and M-2196 comparison, ranking, equivalence, substitution and selection rationale remain frozen.","PRODUCT_COMPARISON_BOUNDARY","PRODUCT_V0.3_MATRIX;PRODUCT_V0.3_UNIFIED_AUDIT","matrix user-approved 2026-08-30","2026-09-07","All comparison surfaces","VERIFIED","DO_NOT_RENDER","NOT_IN_ARTICLE","PRODUCT_RELATION_OWNER","Neither Grade has a public Paper relationship."
"APP-PAPER-G1-C022","APP-PAPER","The approved article's technical focus is replacement evaluation for decorative and lightweight paper; it does not establish interchangeability across all Paper contexts.","CONTENT_SCOPE_BOUNDARY","D22_APP_PAPER_ARTICLE;EU_COMMISSION_M8451_OBSERVATION","article approved 2026-09-07; external decision observed 2026-09-07","2026-09-07","Article-to-generic-page transformation","VERIFIED","RENDER_AS_SCOPE","KEEP_ADAPT","APP-PAPER","Page identity bridge may be generic; technical claims retain their bounded context."
"APP-PAPER-G1-C023","APP-PAPER","The exact article contains seven reader-visible source notes whose claim roles must remain traceable.","CITATION_LINEAGE","D22_APP_PAPER_ARTICLE","article approved 2026-09-07","2026-09-07","Approved article transformation","VERIFIED","RENDER","KEEP","APP-PAPER","Citation placement may change only without losing claim linkage."
"APP-PAPER-G1-C024","APP-PAPER","Malaysia-origin titanium dioxide is approved for suitable site-wide visible and semantically equivalent machine-readable use.","USER_APPROVED_SITE_FACT","MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0;EVIDENCE_GAP_REGISTER_EG-001","user approval 2026-09-05","2026-09-07","Optional supporting identity; same-scope wording only","VERIFIED","RENDER_OPTIONAL","NOT_IN_ARTICLE","GLOBAL_SITE","Not the APP-PAPER technical lead and does not add shipment, tariff or Grade facts."
"APP-PAPER-G1-C025","APP-PAPER","D22 observed US and Global volume 10, US KD 0% and Informational plus Commercial labels for the exact query on 2026-09-06; other tested country/localized records had no data or no match.","SEARCH_METRIC_OBSERVATION","D22_APP_PAPER_SEARCH_INTENT_REPORT;D22_SEMRUSH_COLLECTION_MANIFEST","2026-09-06","2026-09-07","Dated Semrush US record only","VERIFIED","INTERNAL_RESEARCH_ONLY","NOT_IN_ARTICLE","SEARCH_RESEARCH","No traffic forecast, target-market demand or synthetic zero."
"APP-PAPER-G1-C026","APP-PAPER","Current original-query discovery includes official method records, technical education, supplier/product pages and unrelated scientific uses.","SEARCH_OBSERVATION","APP-PAPER_SEARCH_OBSERVATION_CAPTURE_V0.1.md","2026-09-07","2026-09-07","Generic English discovery; not Google/local rank","VERIFIED","INTERNAL_RESEARCH_ONLY","NOT_IN_ARTICLE","SEARCH_INTENT_SKILL","Supports mixed intent, not persona percentages."
