source_id,path,bytes,sha256,query_role,read_scope,status
BE-Q01,BE-Q01.json,32291,813516E95A9FC55135E798B8ADD43C61CA409918B8D7A172EF35B79E0B2B83B3,ORIGINAL_QUERY,Complete returned tool text with 21 result records,COMPLETE_TOOL_RETURN
BE-Q02,BE-Q02.json,33437,3C51CC63F726D99BCED0D38B72264EC32B88A7EABE86EB41B27778D0CDE014A9,FRENCH_EXPANSION,Complete returned tool text,COMPLETE_TOOL_RETURN
BE-Q03,BE-Q03.json,31520,18BE2A6D9E1D766AEAD3773B7763A2780CB9F53FD47CD91CA7D3B0133E32A7FE,DUTCH_TARGETED_CONTEXT,Complete returned tool text,COMPLETE_TOOL_RETURN
BE-P01,BE-P01.json,7097,2040C891DAB87D7C80114A4A9B318A2E4C2650B545523512F42849B737CC29BD,Q01_RESULT_1,Text extraction L0-L135,READABLE_BODY
BE-P02,BE-P02.json,11033,E2D4EEF856CCB695B03C0982DD7675B16B40346686D163087136FCD42C99EAC3,Q01_RESULT_4,Text extraction L0-L221,READABLE_BODY
BE-P03,BE-P03.json,15946,48DBB22972DDB2F14357C2530E81028384A8629A900E14BFF09C4C720569E978,Q01_RESULT_9,Text extraction L0-L419,READABLE_BODY
BE-P04,BE-P04.json,5022,7B8581FA2BB099F50F608AFE0C470B6EE673B0A3EF5238913A070F1746FA8C2F,Q02_RESULT_0,Text extraction L0-L97,READABLE_BODY
BE-P05,BE-P05.json,491,03D5F22AC0672365673F0C20C7D04769CC1311F65FC94E588A59430D0A3AB513,Q03_RESULT_0,One-line Timeout response,FAILED_BODY_FETCH
BE-P06,BE-P06.json,473,F9FFC410CB40475F4F1C4FDF574C0907119493DA257D82A689BE7751F8E0E224,Q03_RESULT_5,One-line Timeout response,FAILED_BODY_FETCH
BE-P07,BE-P07.json,491,89580CF5150D21610B18D7FD63DB92C01F988ED967D680D25BA1E4728582D063,P05_SINGLE_RETRY,One-line Timeout response,FAILED_BODY_FETCH
BE-P08,BE-P08.json,431,BBD33558859868478AA08B56EF96468DBB991DE31DA898099A8EC3F57A337DC4,IVP_HOME_ALTERNATE,One-line Timeout response,FAILED_BODY_FETCH
