evidence_id,method,query_or_url,date,scope,status,raw_file,sha256
NL-Q01,web_search,titanium dioxide supplier netherlands,2026-09-06,EN Netherlands target generic search no controlled locale,FULL_TOOL_RETURN,NL-Q01-2026-09-06.json,15AC2224402C0AC21CBA2584260642203A2967A01164BA12B6FBE48789E84C18
NL-Q02,web_search,titaandioxide leverancier Nederland verf kunststoffen pigment,2026-09-06,NL language industrial extension not original-query distribution,FULL_TOOL_RETURN,NL-Q02-2026-09-06.json,39811A840650ED9E881E50D5DCF3505B9F6B7BC185D35114E868C6A99B074DA5
NL-Q03,web_search,site:vvvf.nl verf drukinkt industrie Nederland,2026-09-06,NL association-directed extension,FULL_TOOL_RETURN,NL-Q03-2026-09-06.json,3E4A546FF282DFD2B550BAE5298E50E40EF10AFC8F582295D2DBE2E417DBC444
NL-Q04,web_search,site:profiltra.nl titanium dioxide pigmenten,2026-09-06,NL supplier-directed extension,FULL_TOOL_RETURN,NL-Q04-2026-09-06.json,411F281C08F8FD5F8BC85CD13149F29445203020328F34049F064B8B5F339488
NL-P01,web_fetch,https://white-global.com/,2026-09-06,EN extracted page L0-L127,FULL_EXTRACTED_RETURN,NL-P01-2026-09-06.json,5FA2999096F5C44D8470A3751A85EB1B39A13300DBD72BC481FE4B354529B6BC
NL-P02,web_fetch,https://www.epce.nl/pigmentpoeder-titaan-wit-titanium-dioxide.html,2026-09-06,NL extracted page L0-L265,FULL_EXTRACTED_RETURN,NL-P02-2026-09-06.json,3D791635E69CFE01738AADC5F940B1C70AA6365D8158006B7B1B0BADA2727849
NL-P03,web_fetch,https://wschemicalsbv.com/product-tio2-rutile.html,2026-09-06,EN extracted page L0-L158,FULL_EXTRACTED_RETURN,NL-P03-2026-09-06.json,B1A4E177B97BE4BD3163D9D94CE4C0822F5612986416110D1F136756D6739E0E
NL-P04,web_fetch,https://www.vvvf.nl/brancheorganisatie,2026-09-06,NL extracted page L0-L107,FULL_EXTRACTED_RETURN,NL-P04-2026-09-06.json,8A817DEE7FA9A9F6A7466BE6783688CF13C97263ED6BAE18AA5D7E86603F9139
NL-P05,web_fetch,https://profiltra.nl/en/products/pigments/,2026-09-06,EN extracted page L0-L188,FULL_EXTRACTED_RETURN,NL-P05-2026-09-06.json,5E57B6DDB9B06CF07D2E1D73189FC4F25A2595A369277DE4F5E42F0CCEB196C7
NL-P06,web_fetch,https://galaksi.nl/nl/producten/grondstoffen/,2026-09-06,NL requested page only error L0,TIMEOUT_NO_BODY,NL-P06-2026-09-06.json,A3970536403440D28ED3A5B231CFD77DEBDC3CA53EAC530989EE10F6C6AF79CC
