"page_id","final_url","current_gate","current_manifest","current_public_status","current_indexing_authorization","current_sitemap_authorization","factual_blockers","content_blockers","d16_implementation_status","target_public_access","target_indexable","target_sitemap","target_robots","target_http","target_exception","responsible_upstream_artifact"
"HOME-001","/","GATE_9","pages/home/07_qa/HOME-001_GATE9_CURRENT_IMPLEMENTATION_MANIFEST_V0.2.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/home/07_qa/HOME-001_GATE9_CURRENT_IMPLEMENTATION_MANIFEST_V0.2.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"ABOUT-001","/about/","GATE_9","pages/about-contact/05_review/ABOUT-001_GATE5_CURRENT_VISUAL_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/about-contact/05_review/ABOUT-001_GATE5_CURRENT_VISUAL_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-000","/markets/","GATE_9","pages/markets/07_qa/MARKET-000_CURRENT_GATE9_BASELINE_MANIFEST_V0.1.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/07_qa/MARKET-000_CURRENT_GATE9_BASELINE_MANIFEST_V0.1.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-001","/markets/european-union/","GATE_9","pages/markets/07_qa/MARKET-EU-001_CURRENT_GATE9_BASELINE_MANIFEST_V0.21.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/07_qa/MARKET-EU-001_CURRENT_GATE9_BASELINE_MANIFEST_V0.21.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-DE","/markets/germany/","GATE_9","pages/markets/germany/MARKET-EU-DE_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/germany/MARKET-EU-DE_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-IT","/markets/italy/","GATE_9","pages/markets/italy/MARKET-EU-IT_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/italy/MARKET-EU-IT_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-ES","/markets/spain/","GATE_9","pages/markets/spain/MARKET-EU-ES_CURRENT_GATE_BASELINE_MANIFEST_V0.20.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/spain/MARKET-EU-ES_CURRENT_GATE_BASELINE_MANIFEST_V0.20.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-PL","/markets/poland/","GATE_9","pages/markets/poland/MARKET-EU-PL_CURRENT_GATE_BASELINE_MANIFEST_V0.25.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/poland/MARKET-EU-PL_CURRENT_GATE_BASELINE_MANIFEST_V0.25.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-NL","/markets/netherlands/","GATE_9","pages/markets/netherlands/MARKET-EU-NL_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/netherlands/MARKET-EU-NL_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-EU-BE","/markets/belgium/","GATE_9","pages/markets/belgium/MARKET-EU-BE_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/belgium/MARKET-EU-BE_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
