claim_id,exact_proposition,claim_type,source_id,source_url_or_path,source_publication_date,effective_or_procedure_date,access_date,authority_scope,verification_status,gate2_use,boundary_or_limit
EU-T-CL01,"RES-TRADE-EU owns the EN page /resources/eu-titanium-dioxide-anti-dumping-duty/ and primary keyword eu titanium dioxide anti dumping duty",PROJECT_IDENTITY,PROJECT-REGISTRY,"docs/architecture/PAGE_REGISTRY_V0.2.md; research/keyword/11_page_keyword_master.csv",APPROVED_MAPPING,NOT_APPLICABLE,2026-09-06,"Page identity, URL and keyword ownership",EXISTING_APPROVED_MAPPING,"Brief and intent mapping","Not route-live or Gate approval proof"
EU-T-CL02,"Commission Implementing Regulation (EU) 2025/4 imposes a definitive anti-dumping duty on the defined TiO2 product originating in the People's Republic of China",OFFICIAL_CURRENT_MEASURE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"EU definitive anti-dumping measure",VERIFIED_OFFICIAL_PRIMARY,"Current-status direct answer","No transaction-specific origin or classification conclusion"
EU-T-CL03,"Regulation (EU) 2025/4 was adopted on 17 December 2024, published on 9 January 2025 and entered into force on 10 January 2025",OFFICIAL_DATE_FACT,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Measure timeline",VERIFIED_OFFICIAL_PRIMARY,"Timeline and effective-date answer","Do not replace effective date with press date"
EU-T-CL04,"The covered product is TiO2 in the stated forms or preparations containing at least 80% TiO2 by weight on a dry-matter basis, all particle sizes",OFFICIAL_PRODUCT_SCOPE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Regulation product definition",VERIFIED_OFFICIAL_PRIMARY,"Scope summary","Keep meaning faithful; no suitability inference"
EU-T-CL05,"The regulation lists CN ex 2823 00 00 and ex 3206 11 00 and TARIC 2823 00 00 10, 2823 00 00 30, 3206 11 00 10 and 3206 11 00 30",OFFICIAL_CLASSIFICATION_SCOPE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Codes stated in regulation",VERIFIED_OFFICIAL_PRIMARY,"Scope table/supporting answer","Codes are informational; verify current classification for transaction"
EU-T-CL06,"LB Group is assigned a fixed anti-dumping duty of EUR 0.74 per kg and additional code 89CB",OFFICIAL_DUTY_RATE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Regulation rate table",VERIFIED_OFFICIAL_PRIMARY,"Current duty table","Attach valid-invoice condition"
EU-T-CL07,"Anhui Gold Star Group is assigned a fixed anti-dumping duty of EUR 0.25 per kg and additional code 89CC",OFFICIAL_DUTY_RATE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Regulation rate table",VERIFIED_OFFICIAL_PRIMARY,"Current duty table","Attach valid-invoice condition"
EU-T-CL08,"Other cooperating companies listed in the Annex are assigned EUR 0.64 per kg with the applicable Annex additional code",OFFICIAL_DUTY_RATE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Regulation rate table and Annex",VERIFIED_OFFICIAL_PRIMARY,"Current duty table","Do not invent a code; use the Annex"
EU-T-CL09,"All other companies are assigned EUR 0.74 per kg and additional code 8999",OFFICIAL_DUTY_RATE,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Regulation rate table",VERIFIED_OFFICIAL_PRIMARY,"Current duty table","No producer identity assumption"
EU-T-CL10,"Individual group or company rates depend on the specified valid commercial invoice; otherwise the all-other-company rate applies",OFFICIAL_APPLICATION_CONDITION,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Duty application condition",VERIFIED_OFFICIAL_PRIMARY,"Mandatory context beside rate table","Do not present individual rate without this condition"
EU-T-CL11,"Goods imported for use in production of white graphic inks for printing are exempt only subject to the Union Customs Code Article 254 end-use procedure",OFFICIAL_END_USE_EXEMPTION,RAW-01,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R0004,2025-01-09,2025-01-10,2026-09-06,"Conditional exemption stated in regulation",VERIFIED_OFFICIAL_PRIMARY,"Exemption answer","Not a general graphic-ink exemption or avoidance method"
EU-T-CL12,"Notice C/2026/4533 reopened an absorption reinvestigation and was published on 25 August 2026",OFFICIAL_PROCEDURAL_EVENT,RAW-02,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52026XC04533,2026-08-25,2026-08-25,2026-09-06,"EU Article 12 procedure",VERIFIED_OFFICIAL_PRIMARY,"Current update/timeline","Reopening is not an affirmative result"
EU-T-CL13,"The reopening notice identifies the definitive measures imposed by Regulation (EU) 2025/4 as measures in force",OFFICIAL_CURRENT_STATUS,RAW-02,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52026XC04533,2026-08-25,2026-08-25,2026-09-06,"Legal relationship between 2025/4 and 2026 notice",VERIFIED_OFFICIAL_PRIMARY,"Direct current-status answer","Do not label the 2026 notice a replacement rate"
EU-T-CL14,"The absorption reinvestigation request was lodged on 13 July 2026 and the investigation period is 1 July 2025 to 30 June 2026",OFFICIAL_PROCEDURE_SCOPE,RAW-02,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52026XC04533,2026-08-25,"2026-07-13 request; 2025-07-01 to 2026-06-30 investigation period",2026-09-06,"Procedure dates",VERIFIED_OFFICIAL_PRIMARY,"Procedure timeline","Not a forecast of result"
EU-T-CL15,"An affirmative reinvestigation result may recalculate the duty, but the resulting level cannot exceed twice the amount imposed by Regulation (EU) 2025/4",OFFICIAL_POSSIBLE_FUTURE_OUTCOME,RAW-02,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52026XC04533,2026-08-25,FUTURE_CONDITIONAL,2026-09-06,"Possible future legal outcome",VERIFIED_OFFICIAL_PRIMARY,"Explain why status may change","Never present doubled amounts as current rates"
EU-T-CL16,"The reinvestigation should normally conclude within six months and no later than nine months from publication of the notice",OFFICIAL_PROCEDURAL_TIMETABLE,RAW-02,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52026XC04533,2026-08-25,FUTURE_PROCEDURAL,2026-09-06,"Official stated timetable",VERIFIED_OFFICIAL_PRIMARY,"Freshness context","Do not promise a specific outcome date"
EU-T-CL17,"Anti-dumping duty is a separate trade-defence measure from ordinary customs tariff and import VAT",OFFICIAL_CATEGORY_DISTINCTION,O4-O6,"https://policy.trade.ec.europa.eu/enforcement-and-protection/trade-defence/anti-dumping-measures_en; https://policy.trade.ec.europa.eu/help-exporters-and-importers/importing-eu_en; https://taxation-customs.ec.europa.eu/taxation/vat/vat-directive/taxable-amount_en",CURRENT_PAGES,NOT_APPLICABLE,2026-09-06,"General EU official explanation",VERIFIED_OFFICIAL_SUPPORT,"Reader clarification","No ordinary tariff or VAT percentage asserted"
EU-T-CL18,"Malaysia-origin titanium dioxide is approved for outward site use",USER_APPROVED_MARKETING_FACT,MALAYSIA-ORIGIN-AUTHORITY,"docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md; docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.8.md",USER_APPROVED,NOT_APPLICABLE,2026-09-06,"Approved marketing/product origin meaning",INHERITED_SITEWIDE_APPROVAL,"Optional procurement context","Does not itself determine shipment-specific customs origin or anti-dumping result"
EU-T-CL19,"The selected audience is EU procurement, import, compliance and technical-sourcing teams",AGENT_EDITORIAL_INFERENCE,SKILL-REPORT,pages/resources/eu-trade/01_research/RES-TRADE-EU_SEARCH_INTENT_EVIDENCE_V0.1.md,2026-09-06,NOT_APPLICABLE,2026-09-06,"Editorial service audience",QUALITATIVE_INFERENCE,"Intent card","Not a measured share of searchers"
EU-T-CL20,"The primary CTA is Review EU Procurement Options to /markets/european-union/ and the secondary CTA opens the official EUR-Lex measure",USER_APPROVED_DIRECTION,USER-2026-09-06,"pages/resources/eu-trade/01_research/RES-TRADE-EU_GATE1_RESEARCH_REPORT_V0.1.md; research/keyword/11_page_keyword_master.csv",2026-09-06,NOT_APPLICABLE,2026-09-06,"Page-to-owner continuation",USER_APPROVED,"Approved Gate 2 direction input","Does not declare target runtime readiness"
EU-T-CL21,"While the reinvestigation is active, official status should be rechecked at least every 30 days and within two business days of a material official event",FRESHNESS_CONTROL,RESOURCE-RULES,"docs/page-playbooks/RESOURCE_PLAYBOOK_V0.1.md; docs/architecture/PROJECT_GOVERNANCE_DETAILS_V1.0.md",CURRENT_RULE,2026-10-06_NEXT_MAX,2026-09-06,"Internal freshness and public-currentness control",REQUIRED_CONTROL,"Last-reviewed date and update workflow","Not a legal deadline"
EU-T-CL22,"Volume, keyword difficulty, CPC, trend and authenticated local ranking were not collected",METHOD_LIMITATION,SKILL-REPORT,pages/resources/eu-trade/01_research/RES-TRADE-EU_SEARCH_INTENT_EVIDENCE_V0.1.md,2026-09-06,NOT_APPLICABLE,2026-09-06,"Quantitative search metrics",UNAVAILABLE_NOT_ZERO,"Internal research transparency","Do not infer demand from result count"
