claim_id,exact_statement,claim_type,source_path_or_url,source_date,checked_date,scope,evidence_nature,fact_status,user_decision_status,public_use,limits_or_next_action
"BRPT-C01","MARKET-BR-PT is the registered Brazil Portuguese localized market procurement Page ID with P1 priority, primary keyword fornecedor de dióxido de titânio, cluster MARKET-BR-PT and user-approved planning path /pt-br/markets/brazil/.","IDENTITY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv","current registered rows","2026-09-06","Gate 1 identity and research scope","PROJECT_RECORD_PLUS_USER_DECISION","USER_APPROVED_PLANNING_PATH","BR-PT-D03_USER_APPROVED_2026-09-06","IDENTITY_ONLY","Does not approve a permanent URL, canonical, hreflang, implementation or release."
"BRPT-C02","TiO2 Malaysia is operated by IKHLAS TITANIUM (MALAYSIA) SDN. BHD.","COMPANY","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;approved project records","current approved fact","2026-09-06","Visible and semantically equivalent machine-readable surfaces","APPROVED_PROJECT_FACT","APPROVED","INHERITED","RENDER","Do not create a Brazil legal entity, office, warehouse, importer or distributor entity."
"BRPT-C03","Malaysia-origin titanium dioxide may be expressed in PT-BR as dióxido de titânio originário da Malásia.","ORIGIN","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md;docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.7.md","2026-09-05","2026-09-06","All suitable site pages including MARKET-BR-PT; visible/SEO/GEO/social/Schema semantic equivalent","USER_DECISION","USER_APPROVED_SITEWIDE","INHERITED","RENDER","This preserves the approved product-origin meaning and does not by itself state a Brazil customs or trade-remedy outcome."
"BRPT-C04","O Certificado de Origem está disponível mediante solicitação.","DOCUMENT","docs/page-briefs/MARKET-BR-PT_BRAZIL_PORTUGUESE_BRIEF_V0.2.md section 9","2026-09-06","2026-09-06","Proposed exact PT-BR visible and semantically equivalent machine-readable statement","USER_DECISION","USER_APPROVED","BR-PT-D02_USER_APPROVED_2026-09-06","RENDER","User reply `批准。`; page-specific Portuguese authority, not automatic English inheritance."
"BRPT-C05","The current isolated exact-query sample contains Brazil-facing supplier/distributor pages, a Brazilian supplier directory, overseas Portuguese supplier pages and product/application information.","SEARCH_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_ORIGINAL_QUERY_2026-09-06.json;MARKET-BR-PT_SEARCH_INTENT_EVIDENCE_V0.1.md section 2.1","2026-09-06","2026-09-06","Generic web-search sample for the exact approved Portuguese primary query","SAMPLE_OBSERVATION","OBSERVED_WITH_LIMITS","NOT_A_USER_PROFILE_SURVEY","INTERNAL_RESEARCH_ONLY","Not a controlled Google Brazil ranking; no result-share or national-demand inference."
"BRPT-C06","Readable Brazilian Portuguese pages distinguish fornecedor, distribuidor, importador and fabricante and expose quotation/contact/catalog actions.","SEARCH_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_REPRESENTATIVE_PAGES_2026-09-06.json;method section 2.2","2026-09-06","2026-09-06","Observed source wording and actions","DIRECT_BODY_OBSERVATION","PARTIALLY_VERIFIED","NOT_OUR_COMPANY_FACT","INTERNAL_RESEARCH_ONLY","OXQuim body was incomplete; ForneceB2B and Intercroma were readable; competitor capabilities are not transferred."
"BRPT-C07","The Portuguese supplier query supports a credible but mixed supplier-discovery, product-evaluation and origin/document task.","ANALYTICAL_INFERENCE","BRPT-RAW-001;BRPT-RAW-005;method sections 2-3","2026-09-06","2026-09-06","Page-direction inference from result types, actions and counterexamples","INFERENCE_FROM_MIXED_SAMPLE","SUPPORTED_WITH_LIMITS","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Do not claim that most searchers have one profession, stage or local-supplier requirement."
"BRPT-C08","Solicitar cotação is a clear natural Brazilian Portuguese candidate for the existing quotation route.","LOCALIZATION_DIRECTION","BRPT-RAW-005;MARKET-BR-PT_SEARCH_INTENT_EVIDENCE_V0.1.md section 2.2","2026-09-06","2026-09-06","Primary CTA wording proposal","OBSERVED_LANGUAGE_PLUS_AGENT_SYNTHESIS","SUPPORTED","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Maps to the existing CONV-RFQ owner; does not create a form or local commercial promise."
"BRPT-C09","Conhecer os produtos is the proposed secondary CTA for readers who need product discovery before quotation.","LOCALIZATION_DIRECTION","method sections 2.2 and 3;Gate1 research section 3","2026-09-06","2026-09-06","Secondary CTA wording proposal","AGENT_SYNTHESIS","USER_APPROVED_DIRECTION","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Routes to PRODUCT-000 and does not duplicate its directory."
"BRPT-C10","For an external supplier context, para o Brasil is safer than no Brasil because the latter can imply local presence.","LOCALIZATION_DIRECTION","BRPT-RAW-002;method section 2.3","2026-09-06","2026-09-06","PT-BR supplier phrasing","LANGUAGE_INFERENCE","SUPPORTED_WITH_SCOPE","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","If local presence is later proposed, show the exact proposition to the user rather than treating it as impossible."
