claim_id,exact_claim,claim_type,source,source_date,read_date,scope,verification_status,public_use,decision_status,notes
BE-CL01,"MARKET-EU-BE owns /markets/belgium/ and titanium dioxide supplier belgium.",APPROVED_ARCHITECTURE,"docs/architecture/PAGE_REGISTRY_V0.2.md; research/keyword/11_page_keyword_master.csv",2026-08-29,2026-09-06,"Page identity and keyword ownership",CURRENT_REGISTER_ROW_VERIFIED,YES_WITHIN_REGISTERED_SCOPE,INHERITED_APPROVAL,"No new URL or keyword; operational live status is separate."
BE-CL02,"TiO2 Malaysia is the brand and IKHLAS TITANIUM (MALAYSIA) SDN. BHD. is the operating company.",APPROVED_PROJECT_FACT,"docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md",PRD_V0.4,2026-09-06,"Brand and operating identity",INHERITED_PROJECT_FACT,YES_WITHIN_APPROVED_SCOPE,INHERITED_APPROVAL,"No Belgian entity inferred."
BE-CL03,"Malaysia-origin titanium dioxide may be used on this Belgium page.",USER_APPROVED_FACT,"docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.4.md EG-001; docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md",2026-09-05,2026-09-06,"Sitewide equivalent visible SEO GEO social and Schema usage",USER_APPROVED_SITEWIDE,YES,APPROVED,"Do not re-open origin hold or extend to tax treatment."
BE-CL04,"A Certificate of Origin is available upon request.",PROPOSED_COMPANY_FACT,"docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.4.md EG-002; BE-D02",2026-09-06,2026-09-06,"Proposed Belgium sentence and equivalent public metadata",PENDING_USER_FACT_CONFIRMATION,PENDING_USER_DECISION,PENDING_USER_FACT_CONFIRMATION,"Other-country approval is recorded but not silently extended to Belgium; no every-shipment or customs outcome claim."
BE-CL05,"PRODUCT V0.3 has 84 relationship rows: 30 verified / 0 conflict / 54 no-public; Process 8 Chloride / 5 Sulfate / 1 Vapor-phase oxidation.",APPROVED_RELATION_BASELINE,"pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv; pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,2026-09-06,"Internal relation governance; public facts only from approved relation scope",CURRENT_SHARED_BASELINE,COUNTS_INTERNAL_ONLY,INHERITED_APPROVAL,"No grade-to-Belgium recommendation added; do not rebuild matrix here."
BE-CL06,"M-2377 retains five approved Application mappings and Sulfate; Specialty has no public mapping and Rubber remains evidence registry only.",APPROVED_RELATION_BOUNDARY,"pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,2026-09-06,"Existing precise product relation scope",CURRENT_SHARED_BASELINE,ONLY_APPROVED_RELATIONS,INHERITED_APPROVAL,"NO_PUBLIC_MAPPING does not mean unsuitable."
BE-CL07,"M-996/M-2196 comparative superiority equivalence replacement ranking and selection reasons remain frozen.",APPROVED_RELATION_BOUNDARY,"pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,2026-09-06,"Comparative claims only; individual approved facts remain usable",CURRENT_SHARED_BASELINE,NO_NEW_COMPARISON,INHERITED_APPROVAL,"No comparison proposed on Belgium page."
BE-CL08,"Brenntag's Belgium English TiO2 page describes industrial applications and provides Contact us links.",EXTERNAL_PAGE_OBSERVATION,"https://www.brenntag.com/en-be/products/titanium-dioxide.html; BE-P01 L2 L9-18 L70-93 L123",PUBLICATION_DATE_NOT_DISPLAYED,2026-09-06,"Third-party page observation only",BODY_READ,INTERNAL_RESEARCH_ONLY,NO_COMPANY_FACT_APPROVAL,"Not Belgian demand share and not our performance; no separate Sample TDS or RFQ button observed."
BE-CL09,"KRONOS describes its own Ghent manufacturing site and links product technical and contact paths.",EXTERNAL_SELF_CLAIM,"https://www.kronosww.com/langerbrugge-belgium-2/; BE-P02 L75-86 L139-153 L172-184",PUBLICATION_DATE_NOT_DISPLAYED,2026-09-06,"Third-party self-description; certificates not downloaded",BODY_READ_SELF_CLAIM_NOT_INDEPENDENT_AUDIT,INTERNAL_RESEARCH_ONLY,NO_COMPANY_FACT_APPROVAL,"Neither our Belgian factory nor port storage certification or capacity."
BE-CL10,"TCI Belgium FR presents a high-purity reagent with small packs cart bulk-quote and language/batch document query paths.",EXTERNAL_PAGE_OBSERVATION,"https://www.tcichemicals.com/BE/fr/p/T4019; BE-P03 L172-211 L277-318",PUBLICATION_DATE_NOT_DISPLAYED,2026-09-06,"Reagent counterexample and observed UI strings",BODY_READ_NO_DOCUMENT_DOWNLOAD,INTERNAL_RESEARCH_ONLY,NO_COMPANY_FACT_APPROVAL,"Do not adopt purity values; error templates do not prove a request failed; access links do not prove actual downloads."
BE-CL11,"Norkem separately describes powder and suspension and self-claims suspension production in Belgium.",EXTERNAL_SELF_CLAIM,"https://www.norkem.fr/products/dioxyde-de-titane; BE-P04 L59-65",PUBLICATION_UNKNOWN_CRAWLED_1.4_YEARS_AGO,2026-09-06,"Source product-form distinction only; historic crawl metadata",BODY_READ_NOT_CURRENT_SITE_VERIFICATION,INTERNAL_RESEARCH_ONLY,NO_COMPANY_FACT_APPROVAL,"Not our slurry warehouse packaging or logistics; 2026 reading date does not update facility truth."
BE-CL12,"essenscia/IVP search returns refer to plastics coatings and inks industry contexts.",SEARCH_RESULT_OBSERVATION,"BE-Q03 results 0 1 4 5; BE-P05-P08 timeout records",2026-09-06,2026-09-06,"Limited association search-layer context",BODY_UNAVAILABLE,INTERNAL_RESEARCH_ONLY,NO_PUBLIC_STATISTICAL_CLAIM,"Production and staging essenscia are one family; P07 same-method same-URL retry; IVP homepage P08 alternative URL; no members or demand shares adopted."
