keyword,normalized_keyword,language,market,country,primary_cluster,secondary_cluster,search_intent,buyer_stage,search_volume,keyword_difficulty,cpc,trend,serp_type,serp_notes,commercial_value,strategic_relevance,malaysia_origin_relevance,existing_architecture_target,page_recommendation,priority,source,data_date,verification_status,notes
malaysia titanium dioxide,malaysia titanium dioxide,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,I,Supplier Search,Unavailable,11,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P3,SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=5/5, weighted=56. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide malaysia,titanium dioxide malaysia,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia tio2,malaysia tio2,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier malaysia,titanium dioxide supplier malaysia,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,9,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P1,SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=5/5, weighted=74. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide supplier,malaysia titanium dioxide supplier,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide manufacturer,malaysia titanium dioxide manufacturer,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia origin titanium dioxide,malaysia origin titanium dioxide,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,I,Supplier Search,Unavailable,14,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P3,SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=5/5, weighted=56. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia-origin titanium dioxide,malaysia-origin titanium dioxide,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
made in malaysia titanium dioxide,made in malaysia titanium dioxide,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide manufactured in malaysia,titanium dioxide manufactured in malaysia,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
