evidence_id,evidence_class,query_or_source,market_language,captured_or_published_date,project_path,sha256,role,limitations
"BRPT-RAW-001","web_search_original","fornecedor de dióxido de titânio","Brazil PT-BR","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_ORIGINAL_QUERY_2026-09-06.json","FC1FD02D4577D53629183E2AF343D7694410E3D0C030A3BC4719BB0E39866CE7","Primary-query result sample","Generic web search; not a controlled Google Brazil ranking; result ordering and national prevalence cannot be inferred"
"BRPT-RAW-002","web_search_expanded","fornecedor de tio2 brasil","Brazil PT-BR","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_SUPPLIER_EXPANSION_2026-09-06.json","BBA88024AA7F3AC86EDE582C682842F697A5703009FA141871ED0CA451162CF6","Supplier-language expansion","Expanded query; cannot establish the original query's result share or demand"
"BRPT-RAW-003","web_search_expanded","importador de dióxido de titânio","Brazil PT-BR","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_IMPORTER_EXPANSION_2026-09-06.json","7FCE7B4CC11A31A767AF2A1014968A44A00E61613902576494AB5F7130FED553","Importer-language and buyer-task expansion","Expanded query; importer role must not be transferred to our company without approved facts"
"BRPT-RAW-004","web_search_expanded","dióxido de titânio para tintas","Brazil PT-BR","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_PAINTS_EXPANSION_2026-09-06.json","6C0BFE70D4557C4285B5AB2A1103FEF9410D288F89AE8678D517E591783137D5","Application-language and question expansion","Application-biased query; does not move generic application ownership to this market page"
"BRPT-RAW-005","web_fetch_representative_pages","OXQuim; ForneceB2B; Intercroma","Brazil PT-BR","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_REPRESENTATIVE_PAGES_2026-09-06.json","8135AACA6ECEBA70D21317AB846E7106AE21C48C76A6C4FE60441CBAE1C8134E","Representative body and action-language observations","OXQuim open was incomplete; ForneceB2B and Intercroma were readable; competitor capabilities are not our facts"
"BRPT-OFFICIAL-001","web_fetch_official_reused_current","MDIC titanium dioxide measure and public-interest page","Brazil PT-BR official","2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_CURRENT_MDIC_2026-09-06.json","293B2AF8CD556E819D7B9480232EAFA08D41C8E130A14366E2DC32431E29D179","Current shared Brazil trade context","Reused current raw from Brazil English research; detailed legal/rate interpretation belongs RES-TRADE-BR"
"BRPT-OFFICIAL-002","web_fetch_official_reused_current","MDIC public-interest follow-up lines","Brazil PT-BR official","page updated 2026-08-26; checked 2026-09-06","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_MDIC_PUBLIC_INTEREST_FOLLOWUP_2026-09-06.json","28D80DDE71B96D96D9AC5B192286351F4F0BEAC64B80388F4BEEC13CA7600A2D","Current dated proceeding details","Displayed final-manifestation deadline 2026-09-04 does not establish the later outcome"
"BRPT-HIST-001","semrush_historical_manifest","Brazil bilingual keyword batch","Brazil database / desktop","2026-08-29","research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/manifest.json","0A795E7D750139FB7C2AFF7E475EDDF8EF55AC33B0CCC065D0684AFC6F75D0D2","Historical metric provenance","Native export unavailable; historical date retained; not refreshed as current"
"BRPT-HIST-002","semrush_historical_rows","Exact displayed Semrush rows","Brazil database / desktop","2026-08-29","research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/table_rows.json","C77159EC4F8FC92A02079A78CFD69CC864190368B4F9F0633445EE5CF92A9AFF","Historical exact metrics","Unavailable is not zero; displayed intent is a third-party input"
"BRPT-HIST-003","serp_historical_manifest","fornecedor dioxido titanio brasil","Brazil PT-BR","2026-08-29","research/keyword/raw/serp/2026-08-29/BRAZIL/PT-BR/fornecedor_dioxido_titanio_brasil/manifest.json","CFE6701AC8FB0B82239D55125111B1BE00AAF0F46B9CE9D12178A33FF308255F","Historical SERP provenance","Historical Google capture; must retain original date and capture conditions"
"BRPT-HIST-004","serp_historical_raw","fornecedor dioxido titanio brasil raw search","Brazil PT-BR","2026-08-29","research/keyword/raw/serp/2026-08-29/BRAZIL/PT-BR/fornecedor_dioxido_titanio_brasil/raw_search.txt","3FC21E60C8C1ED5183C4DE61733D3499D496FF95F596115783A98EF62B7ED889","Historical result text","Historical order cannot be relabelled as current; accents differ from the approved primary keyword"
