"claim_id","exact_claim","source_path_or_url","source_date","date_checked","scope","evidence_type","user_decision_or_fact_status","runtime_verification","dependency_id"
"CONV-THANK-C01","One shared CONV-THANK /thank-you/ route serves Quote Documents and Sample; EN GLOBAL P1; site_scope=tio2-my.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §3; docs/architecture/SYS_404_CONV_THANK_PAGE_ADDITION_DECISION_V1.0.md §3","2026-09-08","2026-09-08","All states","USER_APPROVED_DESIGN","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP01"
"CONV-THANK-C02","Thank you. We’ve received your quotation request. | Our team will review the details and contact you using the information provided. | Explore Products → /products/ | Go to Homepage → /","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.2; pages/conversion/request-a-quote/06_handoff/CONV-RFQ_GATE7_CMS_API_COMPONENT_MAPPING_V1.0.md §6","2026-09-08; 2026-09-01","2026-09-08","Quote valid success only","USER_APPROVED_EXACT_COPY","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP02"
"CONV-THANK-C03","Thank you. We’ve received your document request. | Our team will review the requested documents and contact you using the information provided. | Return to Documents → /documents/ | Explore Products → /products/","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.3; pages/conversion/06_handoff/CONV-DOC_GATE7_CMS_API_COMPONENT_FIELD_INVENTORY_V0.1.md §8 (historical inline copy)","2026-09-08; 2026-09-03","2026-09-08","Documents valid success only","USER_APPROVED_EXACT_COPY","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP01"
"CONV-THANK-C04","Thank you. We’ve received your sample request. | Our team will review your application and sample requirements and contact you using the information provided. | Explore Products → /products/ | View Applications → /applications/","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.4; pages/conversion/request-sample/06_handoff/CONV-SAMPLE_GATE7_DEVELOPMENT_HANDOFF_PACKAGE_V0.1.md §3 (historical inline copy)","2026-09-08; 2026-09-03","2026-09-08","Sample valid success only","USER_APPROVED_EXACT_COPY","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP01"
"CONV-THANK-C05","How can we help? | Choose the request you’d like to make, and our team will guide you through the next step. | Request a Quote → /request-a-quote/ | Request Documents → /request-documents/ | Request a Sample → /request-sample/","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.5; docs/architecture/SYS_404_CONV_THANK_PAGE_ADDITION_DECISION_V1.0.md §5","2026-09-08","2026-09-08","Direct or invalid access","USER_APPROVED_EXACT_COPY","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP03"
"CONV-THANK-C06","REQUEST RECEIVED and success icon apply only to valid success; direct/invalid has no receipt cue.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.1; docs/architecture/SYS_404_CONV_THANK_PAGE_ADDITION_DECISION_V1.0.md §5","2026-09-08","2026-09-08","All four states","USER_APPROVED_BEHAVIOR","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP03"
"CONV-THANK-C07","query only selects quote/documents/sample; query alone never proves success. Positive receiver acknowledgement plus a valid matching browser-session marker is required.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §6; docs/architecture/SYS_404_CONV_THANK_PAGE_ADDITION_DECISION_V1.0.md §6","2026-09-08","2026-09-08","Success eligibility","USER_APPROVED_BEHAVIOR","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP02;THANK-DEP03"
"CONV-THANK-C08","Marker contains only approved request type success timestamp and a non-personal flow marker for the current browser session; same-session refresh retains result and session end invalidates it. No numeric retention duration approved.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §6.2","2026-09-08","2026-09-08","Marker lifecycle","USER_APPROVED_BEHAVIOR","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP03"
"CONV-THANK-C09","No personal company product destination application document sample quotation or request-body data in URL marker analytics or rendered Thank You content; no request reference displayed.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §5.1; §6.2; pages/conversion/06_handoff/CONV-DOC_GATE7_CMS_API_COMPONENT_FIELD_INVENTORY_V0.1.md §10","2026-09-08;2026-09-03","2026-09-08","All data projections","EXPLICIT_APPROVED_PROHIBITION","DO_NOT_RENDER_WITH_REASON: approved design prohibits data and reference display","NOT_TESTED","THANK-DEP04"
"CONV-THANK-C10","Failure stays on source form with entered values and retry; validation focuses error summary/control; failure creates no success marker or navigation.","docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md §6.3; pages/conversion/request-a-quote/06_handoff/CONV-RFQ_GATE7_CMS_API_COMPONENT_MAPPING_V1.0.md §6/8; pages/conversion/06_handoff/CONV-DOC_GATE7_CMS_API_COMPONENT_FIELD_INVENTORY_V0.1.md §7/8; pages/conversion/request-sample/06_handoff/CONV-SAMPLE_GATE7_CMS_API_COMPONENT_MAPPING_V0.1.md §7/9","2026-09-08;2026-09-01;2026-09-03","2026-09-08","Three source forms","USER_APPROVED_BEHAVIOR","USER_APPROVED_FOR_PUBLIC_USE","NOT_TESTED","THANK-DEP02"
