source_id,query,captured_results,formal_results,status
SERP-REV-GRADE-BLR895-20260829,BLR-895 alternative equivalent titanium dioxide,25,10,COMPLETE_TOP_10
SERP-REV-BUY-BULK-20260829,buy titanium dioxide bulk,22,10,COMPLETE_TOP_10
SERP-REV-BRAND-CHEMOURS-20260829,Chemours Ti-Pure titanium dioxide alternative equivalent,40,10,COMPLETE_TOP_10
SERP-REV-BRAND-CITIC-20260829,CITIC titanium dioxide alternative equivalent grades,28,10,COMPLETE_TOP_10
SERP-REV-GRADE-CITIC-R5566-20260829,CITIC R-5566 titanium dioxide alternative equivalent,25,10,COMPLETE_TOP_10
SERP-REV-BRAND-CNNC-20260829,CNNC titanium dioxide alternative equivalent grades,36,10,COMPLETE_TOP_10
SERP-REV-GRADE-CNNC-R216-20260829,CNNC R-216 alternative equivalent titanium dioxide,22,10,COMPLETE_TOP_10
SERP-REV-GRADE-KRONOS2310-20260829,KRONOS 2310 alternative equivalent,22,10,COMPLETE_TOP_10
SERP-REV-GRADE-KRONOS2310-TIO2-20260829,KRONOS 2310 titanium dioxide alternative equivalent,20,10,COMPLETE_TOP_10
SERP-REV-BRAND-KRONOS-20260829,KRONOS titanium dioxide alternative equivalent grades,38,10,COMPLETE_TOP_10
SERP-REV-BRAND-LB-20260829,LB Group Lomon Billions titanium dioxide alternative equivalent grades,25,10,COMPLETE_TOP_10
SERP-REV-GRADE-TR92-20260829,Tioxide TR92 alternative equivalent,19,10,COMPLETE_TOP_10
SERP-REV-GRADE-R706-20260829,Ti-Pure R-706 alternative equivalent,20,10,COMPLETE_TOP_10
SERP-REV-BUY-DISTRIBUTOR-20260829,titanium dioxide distributor,25,10,COMPLETE_TOP_10
SERP-REV-BUY-EQUIVALENT-GRADE-20260829,titanium dioxide equivalent grade,30,10,COMPLETE_TOP_10
SERP-REV-BUY-GRADE-ALTERNATIVE-20260829,titanium dioxide grade alternative,40,10,COMPLETE_TOP_10
SERP-REV-BUY-QUOTATION-20260829,titanium dioxide quotation,25,10,COMPLETE_TOP_10
SERP-REV-BUY-QUOTE-20260829,titanium dioxide quote supplier,26,10,COMPLETE_TOP_10
SERP-REV-BUY-REPLACEMENT-20260829,titanium dioxide replacement equivalent,39,10,COMPLETE_TOP_10
SERP-REV-BUY-SAMPLE-20260829,titanium dioxide sample supplier,26,10,COMPLETE_TOP_10
SERP-REV-BUY-SOURCING-20260829,titanium dioxide sourcing supplier,33,10,COMPLETE_TOP_10
SERP-REV-BUY-WHOLESALER-20260829,titanium dioxide wholesaler,25,10,COMPLETE_TOP_10
SERP-REV-BRAND-TRONOX-20260829,Tronox titanium dioxide alternative equivalent grades,38,10,COMPLETE_TOP_10
SERP-REV-GRADE-CR828-20260829,Tronox CR-828 alternative equivalent,18,10,COMPLETE_TOP_10
SERP-REV-BRAND-VENATOR-20260829,Venator Tioxide titanium dioxide alternative equivalent grades,37,10,COMPLETE_TOP_10
