claim_id,claim_or_control,claim_scope,source_id,evidence_status,public_direction,qualification_or_action,freshness,notes
RESR706-C001,"Ti-Pure R-706 is a rutile titanium dioxide grade made by Chemours/Ti-Pure using its proprietary chloride process.",R706_ONLY,RESR706-OFFICIAL-R706-HTML,VERIFIED,RENDER_WITH_ATTRIBUTION,"Attribute to Ti-Pure; do not extend the manufacturing-process claim to IKHLAS.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"Third-party product fact"
RESR706-C002,"The current R-706 page identifies interior/exterior coatings uses including gloss and semi-gloss architectural paints, wood coatings, automotive/refinish OEM topcoats and coil coatings.",R706_ONLY,RESR706-OFFICIAL-R706-HTML,VERIFIED,RENDER_WITH_ATTRIBUTION,"Keep application language source-bound to R-706; paraphrase rather than copy marketing prose.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"Does not establish any IKHLAS match"
RESR706-C003,"The current R-706 page describes particle-size control, undertone, wet-in/dispersibility, gloss/hiding balance and durability features.",R706_ONLY,RESR706-OFFICIAL-R706-HTML,VERIFIED,RENDER_WITH_ATTRIBUTION,"Treat as Chemours/Ti-Pure feature claims and qualification dimensions, not cross-supplier performance.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"No competitor inference"
RESR706-C004,"The linked February 2020 R-706 Product Information document reports TiO2 content minimum 93 wt%.",R706_ONLY,RESR706-OFFICIAL-R706-PDF,VERIFIED,RENDER_WITH_SOURCE_DATE,"Retain minimum/specification label and February 2020 source date; recheck before publication.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"One specified value in a source that otherwise labels values typical unless specified"
RESR706-C005,"The linked February 2020 R-706 Product Information document provides typical composition and physical values.",R706_ONLY,RESR706-OFFICIAL-R706-PDF,VERIFIED,RENDER_WITH_SOURCE_DATE,"Any value used later must be individually transcribed and labelled typical unless specified; do not reproduce the whole table.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"Current HTML still links to this older PDF"
RESR706-C006,"The R-706 Product Information document makes end-use evaluation before specification essential.",R706_ONLY,RESR706-OFFICIAL-R706-PDF,VERIFIED,RENDER_AS_PARAPHRASE,"Paraphrase as the need for buyer testing in the intended formulation; avoid lengthy quotation.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"Supports qualification framing"
RESR706-C007,"Chemours describes TS-6706 as its TMP/TME-free version and drop-in for its own R-706.",CHEMOURS_PAIR_ONLY,RESR706-OFFICIAL-TS6706,VERIFIED,RENDER_WITH_STRICT_ATTRIBUTION,"Name Chemours as the speaker and keep the relationship limited to TS-6706/R-706; never transfer the term drop-in to IKHLAS.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"Useful to distinguish manufacturer-owned relation from independent-supplier evaluation"
RESR706-C008,"Chemours' TS-6706/R-706 programme reports testing dimensions including viscosity stability, colour, gloss, tint strength, hiding, mechanical strength and bulk flow.",CHEMOURS_PAIR_ONLY,RESR706-OFFICIAL-TS6706,VERIFIED,RENDER_AS_QUALIFICATION_INPUTS,"Use as attributed context or as inputs for a buyer-defined test brief; do not state an IKHLAS result.",REVIEW_90_DAYS_OR_SOURCE_EVENT,"No cross-supplier pass"
RESR706-C009,"The exact query shows a mixed exact-grade task including Chemours' own option, R-706 facts and third-party equivalent claims.",SEARCH_INTENT_INTERNAL,RESR706-SERP-HIST-01,QUALITATIVELY_SUPPORTED,DO_NOT_RENDER_AS_FACT,"Use for intent/page direction only; do not claim ranking share or majority intent.",REVIEW_ON_GATE1_REFRESH,"Fresh search is consistent but not a stable Google top ten"
RESR706-C010,"Third-party 1:1, equivalent, drop-in, price and savings claims prove technical equivalence.",CROSS_SUPPLIER,NONE,NOT_SUPPORTED,DO_NOT_RENDER,"Third-party pages are intent evidence only; require controlled comparison evidence and user decision.",EVENT_TRIGGERED,"Prohibited inference"
RESR706-C011,"A current approved project source maps R-706 to a named IKHLAS grade.",CROSS_SUPPLIER,RESR706-PROJECT-PRODUCT,NOT_FOUND,DO_NOT_RENDER,"Current state is no supported candidate. If a future named proposition is desired, create a controlled comparison package and request user decision.",EVENT_TRIGGERED,"Absence is a precise current gap, not a permanent global ban"
RESR706-C012,"Similar application labels, chloride process or individual values are sufficient to infer an R-706 alternative.",CROSS_SUPPLIER,RESR706-PROJECT-PRODUCT,NOT_SUPPORTED,DO_NOT_RENDER,"Do not create a candidate list from similarity; compare only under a separately governed package.",EVENT_TRIGGERED,"Prevents pseudo-comparison"
RESR706-C013,"PRODUCT V0.3 can support neutral exploration of approved IKHLAS Grade-Application and Grade-Process relationships.",IKHLAS_PORTFOLIO,RESR706-PROJECT-PRODUCT,VERIFIED,INTERNAL_LINK_DIRECTION,"Use only to route to Product Hub; do not label any Grade an R-706 candidate.",REVIEW_ON_PRODUCT_BASELINE_CHANGE,"30 verified / 0 conflict / 54 no-public remains the current relationship baseline"
RESR706-C014,"M-996 and M-2196 can be compared, ranked or selected against each other for R-706.",IKHLAS_INTERNAL,RESR706-PROJECT-PRODUCT,PROHIBITED_BY_CURRENT_HOLD,DO_NOT_RENDER,"Maintain M996_VS_M2196_DIFFERENTIATION_FROZEN; no comparative choice reason.",EVENT_TRIGGERED,"12/12 hold remains"
RESR706-C015,"RES-CHEMOURS owns the generic brand-level alternative-evaluation method; RES-R706 owns the exact R-706 task if separately approved.",PAGE_OWNERSHIP,RESR706-PROJECT-CHEMOURS,VERIFIED,INTERNAL_CONTROL,"Reference the general method briefly or link conditionally; do not duplicate its full checklist.",REVIEW_ON_PAGE_OWNERSHIP_CHANGE,"Approved split"
RESR706-C016,"An independent R-706 page is useful only if it creates an R-706-specific qualification brief rather than a generic checklist.",PAGE_VIABILITY,RESR706-SERP-FRESH-01,AGENT_SYNTHESIS,PENDING_USER_CONFIRMATION,"Ask user to approve bounded independent direction or defer/merge.",GATE1_DECISION,"Not a search-volume claim"
RESR706-C017,"Product Hub is the primary next step for neutral exploration.",CTA,RESR706-PROJECT-PRODUCT,PROJECT_ARCHITECTURE_SUPPORT,PENDING_USER_CONFIRMATION,"No competitor prefill, shortlist or equivalence label; route must be approved/current/live at implementation.",REVIEW_ON_ROUTE_CHANGE,"Final button copy belongs to Gate 2"
RESR706-C018,"Request Documents is a next step after the buyer selects an IKHLAS grade.",CTA,RESR706-PROJECT-REGISTRY,PROJECT_ARCHITECTURE_SUPPORT,PENDING_USER_CONFIRMATION,"Buyer-selected IKHLAS grade only; no R-706 auto-mapping.",REVIEW_ON_ROUTE_CHANGE,"Final workflow/copy belongs to later Gates"
RESR706-C019,"Request a Sample is a conditional next step after an IKHLAS grade and test context are selected.",CTA,RESR706-PROJECT-REGISTRY,PROJECT_ARCHITECTURE_SUPPORT,PENDING_USER_CONFIRMATION,"No free-sample, approval, availability, dispatch or equivalence promise.",REVIEW_ON_ROUTE_CHANGE,"Final workflow/copy belongs to later Gates"
RESR706-C020,"Ti-Pure, R-706, Chemours and TS-6706 are used referentially and imply affiliation, authorization, endorsement or partnership.",TRADEMARK,NONE,NOT_SUPPORTED,DO_NOT_RENDER,"Use names only to identify third-party reference products; include concise independence context where reader-relevant and avoid trade dress.",EVENT_TRIGGERED,"No copied Chemours visual system"
