source_id,module_order,module_name,module_category,primary_message,primary_cta,customer_question,evidence_present,evidence_type,rfq_role,notes
m01_chemours_tipure,0,"Access challenge",access_state,"Cloudflare verification",none,"Can the page be assessed?",YES,"captured challenge page",NONE,"No homepage content coded."
m02_tronox,1,"Direct product positioning hero",positioning,"Integrated TiO2 producer with broad industrial uses","Learn more","Is this a serious TiO2 producer?",YES,"product copy and plant imagery",ASSIST,"Clear positioning; CTA is informational."
m02_tronox,2,"Mine to Pigment",supply_chain,"Vertically integrated process from mineral extraction to pigment",video,"Can supply and quality be controlled end to end?",YES,"process narrative and industrial imagery",ASSIST,"Strong supply-control proof pattern."
m02_tronox,3,"Product innovation categories",products,"TiO2 and adjacent mineral/product categories","Learn more","What products and technologies are available?",YES,"category descriptions",ASSIST,"Useful product taxonomy; not RFQ-led."
m02_tronox,4,"Scale and corporate proof",trust,"Global locations, leadership, sustainability and reports","View/download","Is the supplier established and transparent?",YES,"locations, reports, people, news",ASSIST,"Better as support evidence than dominant homepage content."
m03_kronos,1,"Pioneers in TiO2 hero",positioning,"Innovation-led TiO2 brand",about,"What kind of TiO2 company is this?",PARTIAL,"brand statement and abstract visual",ASSIST,"Elegant but evidence-light."
m03_kronos,2,"Application cards",applications,"Coatings and other use cases",learn_more,"Is there a solution for my application?",YES,"application imagery and labels",ASSIST,"Good application entry pattern."
m03_kronos,3,"Innovation and people",corporate,"Brand values, innovation, careers",explore,"Can I trust the organization?",PARTIAL,"people imagery and corporate narratives",NONE,"RFQ intent is diluted on homepage."
m04_lb_group,1,"Corporate/acquisition hero",corporate,"Group and Tioxide acquisition context",more_information,"Who owns and operates the business?",YES,"public corporate announcement",NONE,"Current event dominates intent."
m04_lb_group,2,"Application-specific featured grades",products,"Named grades tied to inks, plastics and coatings",request_sample,"Which grade fits my application?",YES,"grade, process and performance copy",ASSIST,"Strong product-to-action pattern; sample not RFQ."
m04_lb_group,3,"Repeated sample CTA",conversion,"Ask for a sample per featured grade",request_sample,"Can I test this grade?",PARTIAL,"CTA only; form not submitted",SECONDARY,"Useful secondary conversion after qualification."
m05_tioxide,1,"Manufacturing and people hero",positioning,"Performance pigments backed by manufacturing expertise",find_out_more,"Is there real industrial capability?",YES,"real personnel and plant context",ASSIST,"Strong visual trust."
m05_tioxide,2,"Partnership and technical quality",quality_technical,"Technical partnership and consistent performance",about_products,"Will the supplier help me specify the right product?",YES,"laboratory/personnel imagery and product statements",ASSIST,"High relevance to procurement and technical users."
m05_tioxide,3,"Application accordion",applications,"Coatings, plastics and inks",view_products,"Which products match my use?",YES,"application-specific copy",ASSIST,"Compact decision aid."
m05_tioxide,4,"Product spotlight and downloads",resources,"Highlighted grades with downloadable material",download,"Can I review product information?",YES,"named products and files",ASSIST,"Useful resource pattern; public-file policy differs from this project."
m06_ineos_pigments,1,"TiO2 product hero",positioning,"Large North American TiO2 producer",none,"Is this a relevant TiO2 producer?",YES,"product and powder imagery",ASSIST,"Clear but no conversion CTA."
m06_ineos_pigments,2,"Company and plant profile",manufacturing,"Manufacturing experience and facilities",contact,"Can the producer reliably manufacture?",YES,"facility photo and company narrative",ASSIST,"Good proof density."
m06_ineos_pigments,3,"Markets / Products / Resource Center",decision_navigation,"Three compact buyer paths",open_section,"Where do I find application, product or technical data?",YES,"structured cards",ASSIST,"Strong compact IA reference."
m07_precheza,1,"Origin and quality hero",positioning,"Large European producer with guaranteed origin and quality",none,"Where is it made and is quality dependable?",PARTIAL,"factory imagery and assertion",ASSIST,"Message is highly relevant; proof needs deeper pages."
m07_precheza,2,"Product narrative",products,"PRETIOX performance, stability and safety",product_link,"Does the pigment suit demanding uses?",PARTIAL,"technical narrative",ASSIST,"Too text-heavy on desktop/mobile."
m07_precheza,3,"Compliance update",compliance,"PPWR-related company update",news,"Is the supplier monitoring regulation?",YES,"dated public news",ASSIST,"A compliance news pattern, not core proof by itself."
m07_precheza,4,"Associations and legal entity",footer_trust,"Industry memberships and full legal identity",links,"Who is the legal operator?",YES,"association names and registration text",ASSIST,"Legal identity is useful; logo walls require relevance."
m08_tayca,1,"Impression Materials hero",corporate,"Broad materials company framing",section_links,"What kind of company is this?",PARTIAL,"brand visual",NONE,"Not TiO2-specific enough for conversion."
m08_tayca,2,"Product / application / function taxonomy",products,"Multiple chemicals and material functions",open_category,"What products or functions are available?",YES,"listed taxonomy",ASSIST,"Structured discovery pattern."
m08_tayca,3,"Research and development",quality_technical,"Core technology and newly developed products",detail,"Does the company have technical depth?",YES,"R&D categories and lab imagery",ASSIST,"Trust support; requires factual evidence."
m09_cinkarna,1,"TiO2 hero with sample CTA",positioning,"Versatile TiO2 for technology","Get a sample of TiO2","Can I evaluate the product?",PARTIAL,"product visual and CTA",SECONDARY,"One of few peers with an above-fold sample action."
m09_cinkarna,2,"150-year timeline",trust,"Long industrial heritage",none,"Is the company established?",YES,"dated milestones",ASSIST,"High-specificity proof pattern."
m09_cinkarna,3,"TMP-free proposition",compliance,"Product/process-related regulatory or sustainability proposition",learn_more,"Does this address a regulatory concern?",PARTIAL,"claim plus explanation",ASSIST,"Only transferable when factually applicable."
m09_cinkarna,4,"Products and industries",applications,"Product range and industries served",open_cards,"Is this relevant to my industry?",YES,"product/industry cards",ASSIST,"Good relevance path, but page has layout/cookie issues."
m10_kmml,1,"Nature-origin story hero",positioning,"TiO2 sourced from mineral sands",view_more,"Where does the raw material come from?",PARTIAL,"beach imagery and statement",ASSIST,"Origin narrative is memorable but visually tourism-adjacent."
m10_kmml,2,"Capacity initiatives",supply_chain,"Capacity enhancement and plant initiatives",view_all,"Is supply capacity being maintained?",YES,"named projects and capacities",ASSIST,"Strong supply-stability proof pattern when current and verifiable."
m10_kmml,3,"Certifications and gallery",trust,"Proof assets are directly discoverable",view_certifications,"Can I verify quality systems and facilities?",YES,"certificate/gallery links",ASSIST,"Good trust-page routing pattern."
m11_ttpl,1,"Company and plant profile",manufacturing,"Public-sector producer and manufacturing background",none,"Who makes the product and where?",YES,"plant photo and corporate data",ASSIST,"Evidence-rich but copy-heavy."
m11_ttpl,2,"Product cards",products,"TiO2 and co-products",open_product,"What does the company sell?",YES,"named products and images",ASSIST,"Simple product taxonomy."
m11_ttpl,3,"Factory/lab/logistics imagery",trust,"Industrial capability visuals",none,"Are plant, lab and logistics capabilities real?",PARTIAL,"mixed real and generic-looking images",ASSIST,"Authenticity must be checked asset by asset."
d01_brenntag,0,"Country/language selector",access_state,"Global localization gate",select_country,"Which local site should I visit?",YES,"selector UI",NONE,"Excluded from substantive frequency."
d02_imcd,1,"Corporate/news hero",corporate,"Group performance and news",learn_more,"What is happening at the group?",YES,"dated corporate item",NONE,"Investor/corporate-first, not buyer-first."
d02_imcd,2,"Global expertise and technical centers",quality_technical,"Technical centers support complex markets",learn_more,"Can the distributor provide formulation support?",YES,"lab imagery and center count",ASSIST,"Useful service proof pattern."
d02_imcd,3,"At-a-glance scale",markets,"Countries, business groups, technical centers and employees",open_metric,"Can the distributor support multiple markets?",YES,"specific counts",ASSIST,"Only use owned, current figures."
