rank,query,title,url,domain,page_type,intent_signal,topic_signal,source_id,content_use
1,titanium dioxide for pvc,Ti-Pure TiO2 Solutions for Plastics,https://www.tipure.com/en/applications/plastics,tipure.com,Producer application page,Commercial technical evaluation,"Dedicated rigid-vinyl section; intended use and stabilizer context affect selection.",SERP-R01-PVC-CORE-20260907,INTENT_AND_DECISION_VARIABLE_DISCOVERY
2,titanium dioxide for pvc,Part A.5 Titanium Dioxide,https://www.plasticpipe.org/common/Uploaded%20files/Technical/TR-02-2021.pdf,plasticpipe.org,Trade-association technical guideline,Technical qualification,"PVC pipe substitution is conditional and tied to engineering and standard considerations.",SERP-R01-PVC-CORE-20260907,AUTHORITATIVE_BOUNDARY_SOURCE
3,titanium dioxide for pvc,TiO2 Reduction for Rigid PVC,https://www.fp-pigments.com/en/rigid-pvc/,fp-pigments.com,Supplier application page,Commercial formulation,"Rigid PVC pipe and window-profile use cases appear as distinct commercial contexts.",SERP-R01-PVC-CORE-20260907,INTENT_ONLY_CLAIMS_NOT_ADOPTED
4,titanium dioxide for pvc,Formulating for Extruding Rigid PVC Fenestration Products,https://www.theaic.org/publications/archives/thechemist/The_Chemist_Vol_84_Issue_2_2007/formulating_for_extruding.html,theaic.org,Technical article,Informational technical,"Profile formulation raises heat build-up surface treatment photoactivity and chalking questions.",SERP-R01-PVC-CORE-20260907,TECHNICAL_SCOPE_DISCOVERY
5,titanium dioxide for pvc,Weatherable rigid PVC: The effect of light and thermal stabilizers,https://4spepublications.onlinelibrary.wiley.com/doi/abs/10.1002/vnl.730110411,onlinelibrary.wiley.com,Journal article,Technical research,"Outdoor rigid PVC links TiO2 with thermal and light-stabilizer context.",SERP-R01-PVC-CORE-20260907,AUTHORITATIVE_RESEARCH_LEAD
6,titanium dioxide for pvc,Application of titanium dioxide nanorod at SiO2 in PVC film,https://journals.sagepub.com/doi/10.1177/08927057241241507,journals.sagepub.com,Journal article,Academic research,"PVC-film UV ageing and dispersion appear but nanoparticle scope differs from pigmentary supplier article.",SERP-R01-PVC-CORE-20260907,OUT_OF_SCOPE_BOUNDARY_LEAD
7,titanium dioxide for pvc,The influence of titanium dioxide on the durability of uPVC pipe,https://www.sciencedirect.com/science/article/pii/014139109290152U,sciencedirect.com,Journal article,Technical research,"uPVC pipe has a dedicated durability and property-retention evidence base.",SERP-R01-PVC-CORE-20260907,AUTHORITATIVE_RESEARCH_LEAD
8,titanium dioxide for pvc,Weathering of PVC Pipes and Fittings TN006,https://www.pipa.com.au/wp-content/uploads/2018/09/tn006.pdf,pipa.com.au,Trade-association technical note,Technical qualification,"Pipe weathering and TiO2 protection are treated as a defined application problem.",SERP-R01-PVC-CORE-20260907,AUTHORITATIVE_BOUNDARY_SOURCE
9,titanium dioxide for pvc,Effect of titanium dioxide on PVC sidings during QUV accelerated weathering,https://www.sciencedirect.com/science/article/abs/pii/S0141391014001153,sciencedirect.com,Journal article,Technical research,"PVC siding supplies a separate finished-product weathering and chemistry context.",SERP-R01-PVC-CORE-20260907,AUTHORITATIVE_RESEARCH_LEAD
10,titanium dioxide for pvc,TiO2 for PVC Profiles and Window Frames,https://tio2agents.com/applications/pvc-profiles,tio2agents.com,Supplier application page,Commercial technical,"Profiles windows and outdoor PVC are presented as a coherent buying topic.",SERP-R01-PVC-CORE-20260907,INTENT_ONLY_UNVERIFIED_CLAIMS_EXCLUDED
