"claim_id","exact_claim_or_relation","source","source_date_or_checked","scope","classification","verification_or_decision_state","gate1_use"
"CONTACT-CL001","The page identity is Contact at /contact/.","docs/architecture/PAGE_REGISTRY_V0.2.md; research/keyword/11_page_keyword_master.csv","2026-09-07","CONTACT-001 identity","ARCHITECTURE","VERIFIED_CURRENT_ARCHITECTURE","RENDER_AS_PAGE_IDENTITY"
"CONTACT-CL002","CONTACT-001 has NO_PRIMARY_KEYWORD and is a utility contact page.","docs/architecture/PAGE_REGISTRY_V0.2.md; research/keyword/11_page_keyword_master.csv","2026-09-07","SEO and page role","ARCHITECTURE","VERIFIED_CURRENT_ARCHITECTURE","LOCK_BOUNDARY"
"CONTACT-CL003","TiO2 Malaysia is operated by IKHLAS TITANIUM (MALAYSIA) SDN. BHD.","PROJECT_CONTEXT.md; approved ABOUT-001 authority","2026-09-07","Visible page identity and matching machine-readable Organization name","COMPANY","USER_APPROVED_CURRENT_PROJECT_FACT","RENDER"
"CONTACT-CL004","The visible entity label is Operating Company; Organization legalName is not used.","pages/about-contact/00_governance/ABOUT-001_PCR02_USER_DECISIONS_2026-09-01.md","2026-09-01","Visible label and Schema semantics","COMPANY","USER_APPROVED / CLOSED","RENDER"
"CONTACT-CL005","Malaysia-origin titanium dioxide may be used site-wide when relevant.","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md","2026-09-05","Suitable visible and semantically equivalent machine-readable surfaces","ORIGIN","USER_APPROVED / CLOSED","OPTIONAL_NOT_REQUIRED_FOR_CONTACT_TASK"
"CONTACT-CL006","The Taiping address is NO.33 Industrial Perusahaan Ringan Tupai, 34000 Taiping, Perak, Malaysia.","pages/contact/00_governance/CONTACT-001_MANUFACTURING_SITE_ADDRESS_USER_DECISION_2026-09-10.md; approved ABOUT-001 authority","2026-09-10","Exact Contact-page address fact and consistent SEO/GEO/Schema","COMPANY","USER_APPROVED / CONTACT-D01 CLOSED","RENDER"
"CONTACT-CL007","On Contact the Taiping address is labelled Manufacturing Site.","pages/contact/00_governance/CONTACT-001_MANUFACTURING_SITE_ADDRESS_USER_DECISION_2026-09-10.md","2026-09-10","CONTACT-001 visible copy and matching machine-readable semantics","COMPANY","USER_APPROVED / CONTACT-D01 CLOSED","RENDER_EXACT_LABEL"
"CONTACT-CL008","info@tio2malaysia.com is the approved privacy/cookie contact email.","docs/architecture/LEGAL_PRIVACY_ARCHITECTURE_CHANGE_AND_USER_DECISIONS_V1.0.md","2026-09-02","Legal/privacy system only","CONTACT","USER_APPROVED / CLOSED FOR LEGAL_PRIVACY_SCOPE","RENDER_ONLY_IN_EXISTING_SCOPE"
"CONTACT-CL009","info@tio2malaysia.com is the General Inquiries email on CONTACT-001 and is displayed as plain text without a clickable email link.","pages/contact/00_governance/CONTACT-001_GENERAL_INQUIRIES_EMAIL_USER_DECISION_2026-09-10.md","2026-09-10","CONTACT-001 visible content and semantically equivalent SEO/GEO/Schema; not the form receiver contract","CONTACT","USER_APPROVED / CONTACT-D02 CLOSED","RENDER_PLAIN_TEXT_NO_MAILTO"
"CONTACT-CL010","sales@mytio2.com is currently published by the related first-party site.","https://www.mytio2.com/contact/; https://www.mytio2.com/","2026-09-07","Source observation only","CONTACT","CURRENT_FIRST_PARTY_CANDIDATE / CROSS_DOMAIN_NOT_APPROVED","SOURCE_OBSERVATION_ONLY"
