claim_id,exact_statement,claim_type,source_path_or_url,source_date,checked_date,scope,evidence_nature,fact_status,user_decision_status,public_use,limits_or_next_action
"BR-C01","MARKET-BR-EN is the English Brazil procurement page at /markets/brazil/ with P1 priority and primary keyword titanium dioxide supplier brazil.","IDENTITY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv","current approved rows","2026-09-06","Brazil English identity and keyword ownership","APPROVED_PROJECT_RECORD","APPROVED_MAPPING","INHERITED","IDENTITY_ONLY","Does not approve PT-BR or establish implementation readiness."
"BR-C02","TiO2 Malaysia is operated by IKHLAS TITANIUM (MALAYSIA) SDN. BHD.","COMPANY","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md","2026-08-29","2026-09-06","Visible and semantically equivalent machine-readable surfaces","APPROVED_PROJECT_FACT","USER_APPROVED","INHERITED","RENDER","Do not create a Brazil legal entity, office or warehouse."
"BR-C03","Malaysia-origin titanium dioxide","ORIGIN","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md;docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.6.md EG-001","2026-09-05","2026-09-06","All suitable site pages including Brazil English; visible/SEO/GEO/social/Schema","USER_DECISION","USER_APPROVED","INHERITED","RENDER","Does not by itself assert a Brazil customs, tariff or trade-remedy outcome."
"BR-C04","A Certificate of Origin is available upon request.","DOCUMENT","docs/page-briefs/MARKET-BR-EN_BRAZIL_ENGLISH_BRIEF_V0.2.md sections 4/8","2026-09-06","2026-09-06","Brazil English visible and semantically equivalent SEO/GEO/social/Schema","USER_DECISION","USER_APPROVED","BR-EN-D02_USER_APPROVED_2026-09-06","RENDER","User reply `同意。`; approval is page-specific and does not assert every-shipment provision or trade outcomes."
"BR-C05","The isolated original-query sample contains Brazil supplier/distributor pages, country contact pages, supplier directories, producer material, technical information and retail/cosmetic counterexamples.","SEARCH_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_ORIGINAL_QUERY_PURE_2026-09-06.json;method section 2.1","2026-09-06","2026-09-06","Generic web-search sample for the exact English primary query","SAMPLE_OBSERVATION","OBSERVED_WITH_LIMITS","NOT_A_USER_PROFILE_SURVEY","INTERNAL_RESEARCH_ONLY","Not Google Brazil local ranking and not evidence of national result share or demand share."
"BR-C06","Representative supplier pages expose product or catalogue discovery and contact, quotation, datasheet or literature paths.","SEARCH_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_ORIGINAL_QUERY_2026-09-06.json;method section 2.2","2026-09-06","2026-09-06","Observed source-page actions only","DIRECT_BODY_OBSERVATION","OBSERVED_SOURCE_CONTENT","NOT_OUR_COMPANY_FACT","INTERNAL_RESEARCH_ONLY","No competitor service, award, inventory or local capability is transferred to our company."
"BR-C07","The exact English query supports a credible but mixed supplier-discovery and industrial-product-evaluation task.","ANALYTICAL_INFERENCE","BR-RAW-001;method sections 2.1 and 3","2026-09-06","2026-09-06","Page-direction inference from result types and counterexamples","INFERENCE_FROM_MIXED_SAMPLE","SUPPORTED_WITH_LIMITS","BR-EN-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Do not say all or most searchers are procurement professionals."
"BR-C08","The expanded importer query surfaces supplier or buyer directories, trade-data services, official sources and supplier pages.","SEARCH_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_IMPORTER_QUERY_2026-09-06.json;method section 2.3","2026-09-06","2026-09-06","Expanded query only","SAMPLE_OBSERVATION","OBSERVED_WITH_LIMITS","NOT_ORIGINAL_QUERY_PREVALENCE","INTERNAL_RESEARCH_ONLY","Supports question discovery; cannot establish dominance in the original query."
"BR-C09","The application-biased expansion supports providing neutral product and application navigation but not a Brazil-specific grade recommendation.","ANALYTICAL_INFERENCE","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_APPLICATION_QUERY_2026-09-06.json;method section 2.4","2026-09-06","2026-09-06","Expanded-query inference","INFERENCE_FROM_BIASED_QUERY","SUPPORTED_WITH_LIMITS","BR-EN-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Does not rank Brazil applications or prove country-specific suitability."
"BR-C10","The 2026-08-29 Semrush Brazil desktop capture showed primary-term volume and CPC unavailable and KD 13; a Portuguese coatings term showed volume 20, KD 3 and CPC USD 0.34.","HISTORICAL_METRICS","research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/manifest.json;table_rows.json","2026-08-29","2026-09-06","Exact dated third-party observations","VERIFIED_LOCAL_RAW","HISTORICAL_OBSERVATION","NOT_REQUIRED","INTERNAL_RESEARCH_ONLY","Unavailable is not zero; Portuguese data belongs MARKET-BR-PT and does not prove English demand."
"BR-C11","The official MDIC measure page identifies a definitive anti-dumping measure concerning certain China-origin rutile titanium dioxide pigments commonly classified under NCM 3206.11.10 and displays validity through 2030-10-24.","CURRENT_OFFICIAL_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_CURRENT_MDIC_2026-09-06.json","official page checked 2026-09-06","2026-09-06","Dated official trade-context observation","DIRECT_OFFICIAL_PAGE_OBSERVATION","VERIFIED_WITH_SCOPE_LIMITS","NOT_A_MALAYSIA_TREATMENT_DECISION","SHORT_DATED_HANDOFF_ONLY","Detailed scope, rates, legal interpretation and customs outcomes belong RES-TRADE-BR."
"BR-C12","The official public-interest page updated 2026-08-26 records an evaluation started 2026-03-27 and a final-manifestation deadline of 2026-09-04.","CURRENT_OFFICIAL_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_MDIC_PUBLIC_INTEREST_FOLLOWUP_2026-09-06.json","page updated 2026-08-26;checked 2026-09-06","2026-09-06","Dated official proceeding observation","DIRECT_OFFICIAL_PAGE_OBSERVATION","VERIFIED_DEADLINE_ONLY","POST_DEADLINE_OUTCOME_UNKNOWN","SHORT_DATED_HANDOFF_ONLY","Do not call the proceeding ongoing or infer its outcome without a newer official publication."
"BR-C13","Brazil English should serve industrial TiO2 procurement/import teams and technical or formulation evaluators with supplier/product-first Malaysia-origin context, product/application/document paths, concise trade-resource handoff, primary Request a Quote and secondary Explore Products.","PAGE_DIRECTION","Brazil English Brief section 2;Gate1 research sections 3-4","2026-09-06","2026-09-06","Brazil English Gate 1 direction","AGENT_SYNTHESIS","USER_APPROVED_DIRECTION","BR-EN-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","This is an editorial audience and answer priority, not a measured demographic claim."
"BR-C14","The page prepares Brazil context and links to the existing Request a Quote owner; it does not create a local form or new fields.","CTA_CONTRACT","Brazil English Brief sections 4/7;current CONV-RFQ approved contract","current approved contract;checked 2026-09-06","2026-09-06","CTA ownership and routing","APPROVED_OWNER_CONTRACT_PLUS_DIRECTION","INHERITED_CONTRACT","BR-EN-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Route readiness is handled at later implementation and QA Gates."
"BR-C15","PRODUCT V0.3 is the sole approved neutral Grade/Application/Process source and does not create a Brazil-specific recommendation list.","RELATION_AUTHORITY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Approved neutral product relationships","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","USE_NEUTRAL_MAPPING_ONLY","84 by 24;30 verified/0 conflict/54 no-public;8/5/1 process;counts stay internal."
"BR-C16","M-2377 may be mapped neutrally to Coatings, Plastics, Masterbatch, Printing Inks, Paper and Sulfate; Specialty Materials stays non-public and Rubber stays evidence-only.","RELATION_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Technical relation, not Brazil certification","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","NEUTRAL_RELATIONS_ONLY","No Brazil suitability promise or Rubber taxonomy."
"BR-C17","M-996 and M-2196 individual facts do not authorise differentiation, superiority, ranking, equivalence, substitution or comparative selection reasons.","COMPARISON_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","All visible and machine-readable surfaces","APPROVED_PROJECT_LIMIT","COMPARISON_HOLD","INHERITED","DO_NOT_RENDER_COMPARISON","This is an explicit approved restriction, not an automatic missing-evidence hold."
"BR-C18","Detailed and freshness-managed Brazil trade information belongs RES-TRADE-BR; MARKET-BR-EN may provide only a short dated handoff.","OWNER_BOUNDARY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv;Brazil English Brief sections 5/7","current approved rows;checked 2026-09-06","2026-09-06","Intent, keyword and freshness ownership","APPROVED_MAPPING_PLUS_USER_DIRECTION","USER_APPROVED_DIRECTION","BR-EN-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","No rate table, duty-avoidance selling or live-status guess on the Market page."
"BR-C19","Brazil office, warehouse, stock, customer base, fixed price, MOQ, lead time and delivery commitments are not proposed in the current page direction.","SCOPE_RECORD","Brazil English Brief sections 2/4;AGENTS.md section 2.6","2026-09-06","2026-09-06","Current Gate 1 scope only","EDITORIAL_SCOPE_NOT_NEGATIVE_FACT","NOT_ASSERTED","ASK_IF_LATER_PROPOSED","NO_UNAPPROVED_ASSERTION","Does not assert the company lacks these capabilities; present exact propositions to the user if later desired."
"BR-C20","MARKET-BR-PT is a separate Page ID and its language, keyword and provisional URL are not approved or created by this English-page task.","LANGUAGE_BOUNDARY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv;Brazil English Brief sections 1/5/7","current approved rows;checked 2026-09-06","2026-09-06","Brazil English versus Portuguese ownership","APPROVED_MAPPING","INHERITED","NOT_REQUIRED","PRESERVE_SEPARATE_PAGE","Historical Portuguese evidence may inform later PT-BR research but cannot establish English-query distribution."


