page_id,section,page_name,url,page_type,market,language,primary_keyword,secondary_keywords,search_intent,buyer_stage,source_cluster,page_role,excluded_keywords,cannibalization_boundary,priority,mapping_status,verification_status,notes
HOME-001,HOME,Home,/,Homepage,GLOBAL,EN,malaysia titanium dioxide,titanium dioxide malaysia | malaysia tio2 | titanium dioxide supplier malaysia | malaysia titanium dioxide supplier | malaysia titanium dioxide exporter | export titanium dioxide from malaysia,C,Supplier Search,ORIGIN-01,"Own the broad Malaysia TiO2 and Malaysia supplier proposition; route buyers to markets, products, documents, and RFQ.",country-specific supplier terms | exact grade terms | non-China guide terms | company-proof terms,Home owns broad commercial Malaysia supply intent; About owns origin/manufacturing proof; Market pages own destination-country intent.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Overrides the former Malaysia Origin landing-page mapping in the research snapshot.
ABOUT-001,ABOUT,About TiO2 Malaysia,/about/,Trust / company page,GLOBAL,EN,malaysia titanium dioxide manufacturer,malaysia origin titanium dioxide | malaysia-origin titanium dioxide | made in malaysia titanium dioxide | titanium dioxide manufactured in malaysia | malaysia titanium dioxide country of origin | titanium dioxide traceability malaysia,I,Technical Evaluation,ORIGIN-01,"Prove operating entity, Malaysia manufacturing/origin, quality, traceability, and export support.",broad supplier search | destination-market supplier terms | RFQ terms,About owns evidence and corporate trust; Home owns broad commercial Malaysia supply intent; Documents owns document requests.,P1,APPROVED_PRD_V0.3,FACT_EVIDENCE_REQUIRED,Malaysia Origin content is integrated into this page; there is no separate top-level Origin page.
MARKET-000,MARKETS,Markets,/markets/,Navigation hub,GLOBAL,EN,NO_PRIMARY_KEYWORD,EU | United Kingdom | India | Brazil,N,Navigation,MARKET-EU-01 | MARKET-UK-01 | MARKET-IN-01 | MARKET-BR-EN,Route buyers to the four approved market systems.,all country-level supplier keywords,This hub must not compete with individual market pages.,P1,APPROVED_NAVIGATION_HUB,NO_DIRECT_KEYWORD_TARGET,"Indexable navigation hub, but not assigned a standalone acquisition keyword."
MARKET-EU-001,MARKETS,European Union,/markets/european-union/,Market procurement landing page,EU,EN,titanium dioxide supplier europe,tio2 supplier europe | titanium dioxide manufacturer europe | titanium dioxide importer europe | malaysia titanium dioxide europe | non china titanium dioxide europe | titanium dioxide anti dumping europe | titanium dioxide tariff europe | titanium dioxide import europe | titanium dioxide for coatings europe,C,Supplier Search,MARKET-EU-01,"Own Europe/EU supplier intent, EU compliance context, origin documentation, applications, and country-page routing.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-DE,MARKETS,Germany,/markets/germany/,Market procurement landing page,GERMANY,EN,titanium dioxide supplier germany,tio2 supplier germany | malaysia titanium dioxide germany,C,Supplier Search,MARKET-EU-02,Own Germany-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-IT,MARKETS,Italy,/markets/italy/,Market procurement landing page,ITALY,EN,titanium dioxide supplier italy,tio2 supplier italy | malaysia titanium dioxide italy,C,Supplier Search,MARKET-EU-02,Own Italy-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-ES,MARKETS,Spain,/markets/spain/,Market procurement landing page,SPAIN,EN,titanium dioxide supplier spain,tio2 supplier spain | malaysia titanium dioxide spain,C,Supplier Search,MARKET-EU-02,Own Spain-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-PL,MARKETS,Poland,/markets/poland/,Market procurement landing page,POLAND,EN,titanium dioxide supplier poland,tio2 supplier poland | malaysia titanium dioxide poland,C,Supplier Search,MARKET-EU-02,Own Poland-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-NL,MARKETS,Netherlands,/markets/netherlands/,Market procurement landing page,NETHERLANDS,EN,titanium dioxide supplier netherlands,tio2 supplier netherlands | malaysia titanium dioxide netherlands,C,Supplier Search,MARKET-EU-02,Own Netherlands-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-EU-BE,MARKETS,Belgium,/markets/belgium/,Market procurement landing page,BELGIUM,EN,titanium dioxide supplier belgium,tio2 supplier belgium | malaysia titanium dioxide belgium,C,Supplier Search,MARKET-EU-02,Own Belgium-specific supplier and procurement intent; link to EU-level compliance context.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P2,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
