query_id,query,market,language,purpose,current_status,evidence_source_id
R01-Q01,titanium dioxide for pvc,GLOBAL,EN,Core application intent,CAPTURED,SERP-R01-PVC-CORE-20260907
R01-Q02,tio2 for pvc,GLOBAL,EN,Core abbreviation intent,CAPTURED,SERP-R01-PVC-DISCOVERY-02-20260907
R01-Q03,titanium dioxide for upvc,GLOBAL,EN,Rigid PVC terminology intent,CAPTURED,SERP-R01-PVC-DISCOVERY-01-20260907
R01-Q04,tio2 for upvc,GLOBAL,EN,Rigid PVC abbreviation intent,CAPTURED,SERP-R01-UPVC-CORE-20260907
R01-Q05,titanium dioxide for rigid pvc,GLOBAL,EN,Rigid-system expansion,CAPTURED,SERP-R01-PVC-DISCOVERY-02-20260907
R01-Q06,titanium dioxide for flexible pvc,GLOBAL,EN,Flexible-system expansion,CAPTURED,SERP-R01-PVC-DISCOVERY-02-20260907
R01-Q07,titanium dioxide for pvc profiles,GLOBAL,EN,Profile and window application intent,CAPTURED,SERP-R01-PVC-DISCOVERY-02-20260907
R01-Q08,titanium dioxide for pvc pipe,GLOBAL,EN,Pipe application intent,CAPTURED,SERP-R01-PVC-DISCOVERY-03-20260907
R01-Q09,titanium dioxide for pvc sheet,GLOBAL,EN,Sheet application intent,CAPTURED,SERP-R01-PVC-DISCOVERY-03-20260907
R01-Q10,titanium dioxide for pvc supplier,GLOBAL,EN,Commercial supplier intent,CAPTURED,SERP-R01-PVC-COMMERCIAL-20260907
R01-Q11,pvc grade titanium dioxide,GLOBAL,EN,Grade-selection commercial intent,CAPTURED,SERP-R01-PVC-DISCOVERY-03-20260907
R01-Q12,titanium dioxide pvc replacement grade,GLOBAL,EN,Replacement-evaluation intent,CAPTURED,SERP-R01-PVC-DISCOVERY-03-20260907
