topic_id,parent_application,candidate_topic,seed_or_context,research_unit,initial_basis,overlap_risk,provisional_outcome,current_status
APPART-COAT-000,APP-COAT,TiO2 for Coatings,titanium dioxide for coatings,COMPLETE,Approved primary Application article,NONE,KEEP_APPROVED_PILLAR,APPROVED_CONTENT
APPART-PLAS-000,APP-PLAS,TiO2 for Plastics,titanium dioxide for plastics,COMPLETE,Approved primary Application article,NONE,KEEP_APPROVED_PILLAR,APPROVED_CONTENT
APPART-MB-000,APP-MB,TiO2 for Masterbatch,titanium dioxide for masterbatch,COMPLETE,Approved primary Application article,NONE,KEEP_APPROVED_PILLAR,APPROVED_CONTENT
APPART-INK-000,APP-INK,TiO2 for Printing Inks,titanium dioxide for printing inks,COMPLETE,Approved primary Application article,NONE,KEEP_APPROVED_PILLAR,APPROVED_CONTENT
APPART-PAPER-000,APP-PAPER,TiO2 for Paper,titanium dioxide for paper,COMPLETE,Approved primary Application article,NONE,KEEP_APPROVED_PILLAR,APPROVED_CONTENT
APPART-PLAS-001,APP-PLAS,TiO2 for PVC and uPVC,titanium dioxide for pvc,R01,Direct secondary keyword plus PVC/uPVC portfolio context,MEDIUM,WRITE_USER_APPROVED,REVISED_D22_COMPLETE_D23_PASS_PENDING_USER_ARTICLE_APPROVAL
APPART-PLAS-002,APP-PLAS,TiO2 for Plastic Film,titanium dioxide for plastic film,R02,Direct secondary keyword plus film portfolio context,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-003,APP-PLAS,TiO2 for PVC Film and Calendered Film,PVC film and calendered-film portfolio context,R02,Portfolio context without independent keyword validation,HIGH,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-001,APP-COAT,TiO2 for Powder Coatings,powder coatings portfolio context,R03,Verified category context without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-004,APP-PLAS,TiO2 for PE,titanium dioxide for pe,R04,Direct secondary keyword,MEDIUM,SEPARATE_OR_POLYOLEFIN_MERGE_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-005,APP-PLAS,TiO2 for PP,titanium dioxide for pp,R04,Direct secondary keyword,MEDIUM,SEPARATE_OR_POLYOLEFIN_MERGE_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-002,APP-COAT,TiO2 for Architectural Coatings,architectural coatings portfolio context,R05,Portfolio context without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-003,APP-COAT,TiO2 for Waterborne and Emulsion Coatings,waterborne and emulsion coatings context,R06,Application evidence lead without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-MB-001,APP-MB,TiO2 for Polyolefin Masterbatch,polyolefin masterbatch portfolio context,R07,Portfolio context without independent keyword validation,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-001,APP-INK,TiO2 for White Printing Inks,white printed layer and opacity buyer problem,R08,Existing governed article research lead without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-006,APP-PLAS,TiO2 for Engineering Plastics,titanium dioxide for engineering plastics,R09,Direct secondary keyword plus portfolio context,MEDIUM,UMBRELLA_OR_MATERIAL_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-007,APP-PLAS,TiO2 for ABS,titanium dioxide for abs,R09,Direct secondary keyword,MEDIUM,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-008,APP-PLAS,TiO2 for PET,titanium dioxide for pet,R09,Direct secondary keyword,MEDIUM,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-009,APP-PLAS,TiO2 for PS,PS portfolio context,R09,Portfolio context without independent keyword validation,MEDIUM,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-004,APP-COAT,TiO2 for Industrial Coatings,industrial coatings portfolio context,R10,Portfolio context without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-MB-002,APP-MB,TiO2 for High-Concentration White Masterbatch,high-concentration masterbatch portfolio context,R11,Portfolio context without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-002,APP-INK,TiO2 for Flexographic Printing Inks,flexographic ink research lead,R12,Research lead with insufficient current article evidence,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-003,APP-INK,TiO2 for Gravure Printing Inks,gravure and reverse-printing research lead,R13,Research lead with insufficient current article evidence,HIGH,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-004,APP-INK,TiO2 for Reverse-Printed and Laminated Packaging,reverse printing and lamination research lead,R13,Research lead with insufficient current article evidence,HIGH,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-005,APP-COAT,TiO2 for Exterior and Weather-Resistant Coatings,exterior and weather-resistant coatings portfolio context,R14,Portfolio context without independent keyword validation,MEDIUM,UMBRELLA_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-006,APP-COAT,TiO2 for Protective and Marine Coatings,protective and marine coatings portfolio context,R14,PRD research lead requiring current application-evidence validation,HIGH,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-007,APP-COAT,TiO2 for Automotive Coatings,automotive coatings portfolio context,R15,PRD and portfolio context without independent keyword validation,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-008,APP-COAT,TiO2 for Solvent-Based Industrial Coatings,solvent-based industrial coatings context,R16,Application evidence lead without independent keyword validation,MEDIUM,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-009,APP-COAT,TiO2 for Furniture Coatings,solvent-based furniture paint context,R16,Application evidence lead without independent keyword validation,HIGH,MERGE_OR_SPLIT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PAPER-001,APP-PAPER,TiO2 for Decorative Paper,decorative paper approved pillar context,R17,Existing governed article scope without independent keyword validation,HIGH,SEPARATE_OR_KEEP_IN_PILLAR_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PAPER-002,APP-PAPER,TiO2 for Lightweight Paper,lightweight paper approved pillar context,R17,Existing governed article scope without independent keyword validation,HIGH,SEPARATE_OR_KEEP_IN_PILLAR_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PAPER-003,APP-PAPER,TiO2 for Coated Paper and Paper Coating,coated-paper application discovery lead,R18,Discovery lead without current keyword or product-level mapping,HIGH,APPLICATION_OR_COATINGS_BOUNDARY_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
