claim_id,exact_proposition,claim_type,source,source_date,access_date,scope,verification_status,user_decision_status,planned_use,boundary
NL-CL01,MARKET-EU-NL owns Netherlands EN /markets/netherlands/ and titanium dioxide supplier netherlands,PROJECT_IDENTITY,docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv,APPROVED_PRD_V0.3,2026-09-06,Page identity only,EXISTING_APPROVED_MAPPING,INHERITED,Brief and intent mapping,Not Gate1 approval or live route proof
NL-CL02,Malaysia-origin titanium dioxide may be used sitewide within approved meaning,USER_APPROVED_COMPANY_FACT,docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md;docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.4.md,2026-09-05,2026-09-06,Approved product origin not sales office location,USER_APPROVED,INHERITED_SITEWIDE_APPROVAL,Visible SEO GEO Schema same meaning,No new customs or batch guarantee inferred
NL-CL03,IKHLAS TITANIUM (MALAYSIA) SDN. BHD. is the operating company,PROJECT_COMPANY_FACT,docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md,PRD_APPROVED_SOURCE,2026-09-06,Current project operator,EXISTING_APPROVED_FACT,INHERITED,Entity identity,No Netherlands office inferred
NL-CL04,The original query returned supplier product consultation transactional directory and historical information examples,RAW_OBSERVATION,pages/markets/netherlands/01_research/evidence/NL-Q01-2026-09-06.json,UNKNOWN_SOURCE_PUBLICATION,2026-09-06,Generic tool sample only,OBSERVED_NOT_STATISTICAL,NOT_A_USER_FACT,Internal intent analysis,No Google local ranking or buyer share inference
NL-CL05,White page connects TiO2 coatings plastics masterbatch and inks with product and consultation entries,EXTERNAL_PAGE_OBSERVATION,https://white-global.com/;NL-P01 L54-L86 L118-L123,UNKNOWN_PAGE_DATE,2026-09-06,White own webpage,READ_BODY,NOT_A_COMPANY_APPROVAL,Internal reader-task evidence,Delivery to customer warehouse is not proof of White owned warehouse or our promise
NL-CL06,EPCE TiO2 powder page has bag purchase price cart and mixed consumer professional audience,EXTERNAL_COUNTEREXAMPLE,https://www.epce.nl/pigmentpoeder-titaan-wit-titanium-dioxide.html;NL-P02 L173-L227,UNKNOWN_PAGE_DATE,2026-09-06,EPCE page at retrieval,READ_BODY,NOT_A_COMPANY_APPROVAL,Internal mixed-intent counterexample,No own ecommerce price stock delivery claim
NL-CL07,WS rutile page shows RFQ Samples SDS and COA links and technical quantity destination form fields,EXTERNAL_PAGE_OBSERVATION,https://wschemicalsbv.com/product-tio2-rutile.html;NL-P03 L30-L41 L106-L137,UNKNOWN_PAGE_DATE,2026-09-06,Visible extracted WS page only,READ_BODY_LINKS_NOT_TESTED,NOT_A_COMPANY_APPROVAL,Internal inquiry-path evidence,Downloads backend properties ports and Incoterms not verified or inherited
NL-CL08,VVVF names paint and printing-ink sectors including several coatings segments,EXTERNAL_ASSOCIATION_OBSERVATION,https://www.vvvf.nl/brancheorganisatie;NL-P04 L21-L36,UNKNOWN_PAGE_DATE,2026-09-06,Netherlands association sector context,READ_BODY,NOT_A_COMPANY_APPROVAL,Context for buyer questions,No TiO2 demand share or our grade suitability
NL-CL09,Profiltra pigments page discusses coatings inks plastics requirements with Contact and brochure links,EXTERNAL_CONTEXT_OBSERVATION,https://profiltra.nl/en/products/pigments/;NL-P05 L24-L54,UNKNOWN_PAGE_DATE,2026-09-06,General industrial pigments not dedicated TiO2 proof,READ_BODY,NOT_A_COMPANY_APPROVAL,Supplemental formulation context,No carbon black food or corrosion claims transferred
NL-CL10,The selected page audience should be Netherlands industrial purchasing and formulation teams,AGENT_INFERENCE,NL-Q01;NL-P01;NL-P02;NL-P03;PRD V0.4,2026-09-06,2026-09-06,Editorial service audience not observed searcher identity,QUALITATIVE_INFERENCE,USER_APPROVED_NL-D01_2026-09-06,Intent card,No predominant profession or numeric demand claim
