claim_id,exact_claim,claim_type,evidence_ids,source_date,last_verified_date,next_review_due,jurisdiction,product_scope,origin_scope,time_scope,verification_status,render_direction,notes
BR-T-C001,"The registered page is Brazil Titanium Dioxide Trade Update at /resources/brazil-titanium-dioxide-anti-dumping-duty/ and owns the primary keyword brazil titanium dioxide anti dumping duty.",PAGE_IDENTITY,"PAGE_REGISTRY;KEYWORD_MASTER_RES_TRADE_BR",2026-09-06,2026-09-06,N/A,PROJECT,Page identity,N/A,CURRENT,VERIFIED,"USE_AS_PAGE_CONTRACT","No new route or keyword"
BR-T-C002,"Brazil's official measures-in-force index lists a definitive anti-dumping duty for titanium dioxide pigment from China through 24 October 2030.",CURRENT_LEGAL_STATUS,"BR-RAW-002;BR-RAW-003",2026-09-06,2026-09-06,2026-10-06,BRAZIL,Specified rutile TiO2,China,"Current as captured",VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_LAST_REVIEWED_DATE","Recheck after an official event or within 30 days"
BR-T-C003,"Resolution GECEX No. 802 of 23 October 2025 applied a definitive anti-dumping duty for up to five years to the specified rutile titanium dioxide imports originating in China.",DEFINITIVE_MEASURE,"BR-RAW-001;BR-RAW-002;BR-RAW-006",2025-10-24,2026-09-06,2026-10-06,BRAZIL,Specified rutile TiO2,China,"From 2025-10-24",VERIFIED_OFFICIAL,"VISIBLE","Do not substitute the ended provisional measure"
BR-T-C004,"The current MDIC detail page publishes four specific-duty amounts: USD 1,148.72/t, USD 1,159.18/t, USD 1,223.92/t and USD 1,267.74/t for other companies.",RATE_STRUCTURE,"BR-RAW-001",2025-10-28,2026-09-06,2026-10-06,BRAZIL,Specified rutile TiO2,China,"Current detail as captured",VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_NO_TRANSACTION_CALCULATION","Use Brazilian decimal formatting only when quoting Portuguese source labels"
BR-T-C005,"The listed end date of the definitive measure is 24 October 2030.",MEASURE_DURATION,"BR-RAW-001;BR-RAW-002",2026-09-06,2026-09-06,2026-10-06,BRAZIL,Specified rutile TiO2,China,"Listed validity",VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Subject to later official decisions"
BR-T-C006,"Resolution GECEX No. 850 of 30 January 2026 removed Siegwerk Druckfarben AG & CO KGAA from the producer/exporter list identified in Resolution No. 802/2025.",LATER_AMENDMENT,"BR-RAW-006",2026-01-30,2026-09-06,2026-10-06,BRAZIL,Specified rutile TiO2,China,"Later amendment",VERIFIED_OFFICIAL,"VISIBLE_AS_UPDATE_NOTE","Later authority overrides stale detail-page list; do not infer Siegwerk's replacement rate"
BR-T-C007,"The written measure concerns rutile TiO2 pigments and preparations containing at least 80% TiO2 by dry weight in the described forms and particle sizes.",PRODUCT_SCOPE,"BR-RAW-004;BR-RAW-005",2025-10-24,2026-09-06,2026-10-06,BRAZIL,Official written product definition,China,"Current measure scope",VERIFIED_OFFICIAL,"VISIBLE","Keep written product description with NCM reference"
BR-T-C008,"NCM 3206.11.10 is the common classification reference for the measure but does not replace the written product description and exclusions.",CLASSIFICATION_SCOPE,"BR-RAW-001;BR-RAW-004;BR-RAW-007",2026-05-28,2026-09-06,2026-10-06,BRAZIL,Written scope and exclusions,China,"Current scope",VERIFIED_OFFICIAL_SYNTHESIS,"VISIBLE_WITH_VERIFICATION_PROMPT","Do not decide a shipment from NCM alone"
BR-T-C009,"Anatase titanium dioxide under NCM 2823.00.10 is outside the described rutile measure.",PRODUCT_EXCLUSION,"BR-RAW-004;BR-RAW-005",2025-10-24,2026-09-06,2026-10-06,BRAZIL,Anatase TiO2,N/A,"Current scope",VERIFIED_OFFICIAL,"VISIBLE","Do not generalise beyond written exclusion"
BR-T-C010,"MDIC Technical Note No. 786/2026 states that the specified Ex-001 of NCM 3206.11.10 is excluded from the anti-dumping measure applied by Resolution No. 802/2025.",PRODUCT_EXCLUSION,"BR-RAW-007",2026-05-28,2026-09-06,2026-10-06,BRAZIL,Narrow Ex-001 rutile product,China or other origins,"Current official analysis",VERIFIED_OFFICIAL,"VISIBLE_WITH_NARROW_DESCRIPTION","Do not imply all paper-use or all rutile is excluded"
