claim_id,exact_claim_or_control,claim_type,source_id,source_location,source_date,review_date,applicable_scope,evidence_class,verification_status,render_decision,notes
RESCH-C001,"Chemours and Ti-Pure are third-party company and brand identifiers used only to describe the reader's reference point.",BRAND,RESCH-OFFICIAL-02,"https://www.tipure.com/en/products",DATE_NOT_PUBLISHED_BY_SOURCE,2026-09-06,RES-CHEMOURS referential identification,EXTERNAL_FIRST_PARTY_FOR_CHEMOURS,VERIFIED,RENDER_WITH_QUALIFIER,"Do not imply affiliation authorization endorsement or partnership"
RESCH-C002,"Chemours presents separate Ti-Pure selections for coatings plastics and laminates and provides grade-selection paths.",TECHNICAL_CONTEXT,RESCH-OFFICIAL-02,"https://www.tipure.com/en/products lines 231-254",DATE_NOT_PUBLISHED_BY_SOURCE,2026-09-06,Chemours portfolio context only,EXTERNAL_FIRST_PARTY_FOR_CHEMOURS,VERIFIED,RENDER_WITH_QUALIFIER,"Do not copy Chemours recommendations or extend them to our products"
RESCH-C003,"A responsible alternative evaluation begins with the exact current grade and application rather than the Chemours brand name alone.",EVALUATION_GUIDANCE,"RESCH-OFFICIAL-02;RESCH-OFFICIAL-03","Official observations V0.1",DATE_NOT_PUBLISHED_BY_SOURCE,2026-09-06,RES-CHEMOURS evaluation guidance,ANALYTICAL_SYNTHESIS,PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Present as evaluation guidance not universal scientific law"
RESCH-C004,"Chemours states that TS-6706 can be used as a drop-in for its own R-706 with minimal reformulation.",COMPETITOR_PRODUCT,RESCH-OFFICIAL-01,"Chemours press release lines 314-326",2025-02-19,2026-09-06,Chemours TS-6706 and R-706 only,EXTERNAL_FIRST_PARTY_FOR_CHEMOURS,VERIFIED,DO_NOT_RENDER,"Exact R-706 content belongs to RES-R706; never transfer this claim to an IKHLAS grade"
RESCH-C005,"Chemours describes testing TS-6706 in named coating systems and performance dimensions.",TEST_CONTEXT,RESCH-OFFICIAL-01,"Chemours press release lines 324-325",2025-02-19,2026-09-06,Chemours TS-6706 test context only,EXTERNAL_FIRST_PARTY_FOR_CHEMOURS,VERIFIED,DO_NOT_RENDER,"May inform internal evaluation logic; do not copy as our test evidence"
RESCH-C006,"The original query returns mixed manufacturer product updates portfolio pages third-party equivalence pages and non-TiO2 material alternatives.",SEARCH_INTENT,RESCH-SERP-FRESH-01,"Fresh SERP observation 2026-09-06",2026-09-06,2026-09-06,Gate 1 research only,SEARCH_OBSERVATION,PARTIALLY_VERIFIED,DO_NOT_RENDER,"Not buyer-visible fact and not a majority/ranking claim"
RESCH-C007,"Search result wording does not prove technical equivalence between a Chemours grade and an IKHLAS grade.",EVIDENCE_CONTROL,"RESCH-SERP-FRESH-01;RESOURCE_PLAYBOOK","Fresh SERP + Resource Playbook section 7",2026-09-06,2026-09-06,All RES-CHEMOURS public surfaces,PROJECT_GOVERNANCE,VERIFIED,DO_NOT_RENDER,"Internal control; buyer copy should explain evaluation positively"
RESCH-C008,"No Chemours-to-IKHLAS exact grade mapping is approved for RES-CHEMOURS Gate 1.",TECHNICAL_CONTROL,"RES-CHEMOURS-G1;PRODUCT-V0.3","Current research report + PRODUCT V0.3",2026-09-06,2026-09-06,RES-CHEMOURS,PROJECT_AUDIT,VERIFIED,DO_NOT_RENDER,"Future mappings require separate exact evidence technical review and user approval"
RESCH-C009,"A buyer should prepare the current grade application or formulation processing constraints performance requirements test criteria and document requirements before candidate review.",EVALUATION_GUIDANCE,"RESCH-OFFICIAL-01;RESCH-OFFICIAL-03","Official observations V0.1",2025-02-19,2026-09-06,RES-CHEMOURS method guide,AGENT_SYNTHESIS,PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Checklist is procedural guidance; avoid implying every item applies to every system"
RESCH-C010,"Candidate performance must be qualified against the buyer's own formulation and acceptance criteria before a supplier change.",EVALUATION_GUIDANCE,"RESCH-OFFICIAL-01;RESOURCE_PLAYBOOK","Official TS-6706 test example + Resource Playbook",2026-09-06,2026-09-06,RES-CHEMOURS method guide,AGENT_SYNTHESIS,PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,"Do not promise a pass or prescribe a universal test method"
