claim_id,page_id,claim_text_candidate,claim_type,source_ids,source_date,capture_date,scope,verification_status,render_decision,review_owner,notes
DOC-REACH-CL-001,DOC-REACH,"REACH is the European Union regulation on the registration, evaluation, authorisation and restriction of chemicals.",REGULATORY,DOC-REACH-OFFICIAL-EC-001,Unavailable,2026-09-04,"General EU regulatory definition",VERIFIED,RENDER,Project Control,"Source page exposes no reliable content update date; show review date"
DOC-REACH-CL-002,DOC-REACH,"Under REACH, industry is responsible for managing chemical risks and providing safety information; manufacturers and importers gather information and register it with ECHA where the regulation requires.",REGULATORY,"DOC-REACH-OFFICIAL-EC-001;DOC-REACH-OFFICIAL-EC-002",Unavailable,2026-09-04,"General EU framework",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Do not turn this into a TiO2 Malaysia role or coverage claim"
DOC-REACH-CL-003,DOC-REACH,"The general registration threshold described by the European Commission is one tonne or more per company per year for substances manufactured or imported, subject to the regulation's scope and exemptions.",REGULATORY,"DOC-REACH-OFFICIAL-EC-001;DOC-REACH-OFFICIAL-EC-002",Unavailable,2026-09-04,"General registration overview only",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Not legal advice; final copy must retain scope/exemption qualifier"
DOC-REACH-CL-004,DOC-REACH,"A generic substance or public-database entry does not by itself prove that a named supplier, legal actor, grade, use or shipment is covered.",REGULATORY,"DOC-REACH-OFFICIAL-EC-001;DOCSRC-GAP-REACH",2026-09-04,2026-09-04,"Procurement evidence rule",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"ECHA substance page was discovered but not captured; do not describe its current TiO2 record"
DOC-REACH-CL-005,DOC-REACH,"The relevant legal actor, supply-chain role, substance/product scope, market and evidence date should be identified during a qualified procurement review.",REGULATORY,"DOC-REACH-OFFICIAL-EC-001;DOC-REACH-OFFICIAL-EC-002",Unavailable,2026-09-04,"Buyer checklist",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Only manufacturer/importer roles are eligible from current captures; only-representative detail remains frozen"
DOC-REACH-CL-006,DOC-REACH,"IKHLAS TITANIUM (MALAYSIA) SDN. BHD. is a REACH registrant or represented legal actor.",COMPANY,DOCSRC-GAP-REACH,2026-09-04,2026-09-04,"Company-specific registration/role",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved first-party record"
DOC-REACH-CL-007,DOC-REACH,"All fourteen Grades are covered by a REACH registration.",PRODUCT,DOCSRC-GAP-REACH,2026-09-04,2026-09-04,"Grade-specific coverage",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No grade/legal-actor coverage matrix"
DOC-REACH-CL-008,DOC-REACH,"TiO2 Malaysia supplies REACH-compliant titanium dioxide.",REGULATORY,DOCSRC-GAP-REACH,2026-09-04,2026-09-04,"Unqualified marketing claim",UNAVAILABLE,DO_NOT_RENDER,Project Control,"Secondary keyword is not claim authority"
DOC-REACH-CL-009,DOC-REACH,"Buyers may request a qualified review of relevant documents when the Request Documents route is eligible.",CONVERSION,DOCSRC-CONV-001,2026-09-04,2026-09-04,"Controlled request only",VERIFIED,CONTROLLED_REQUEST_ONLY,Project Control,"Receipt is not confirmation of registration, coverage or delivery"
DOC-REACH-CL-010,DOC-REACH,"Specific only-representative duties or coverage apply to this supply chain.",REGULATORY,DOC-REACH-ECHA-FAILED-001,2026-09-04,2026-09-04,"Only-representative detail",UNAVAILABLE,DO_NOT_RENDER,Project Control,"Complete ECHA capture failed; company evidence also absent"
