query,market,language,search_date,rank,page_title,url,domain,source_id,raw_excerpt
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,1,BLR-895 – Lomon Billions TiO₂ | TiO₂ Wiki,https://www.tio2.wiki/products/blr-895,tio2.wiki,SERP-REV-GRADE-BLR895-20260829,"BLR-895 – Lomon Billions TiO₂ | TiO₂ Wiki (https://www.tio2.wiki/products/blr-895) citeturn38search0 [wordlim: 200] Crawled: last week; # BLR-895 ... ## Similar or Equivalent Grades ... An independent technical reference for titanium dioxide grades, manufacturers, and applications. # BLR-895 Rutile Sulfate process Lomon Billions China ## Overview A sulfate-process rutile grade with enhanced durability treatment for demanding coating applications. ## Technical Specifications Property | Value | Unit | Test Method --- | --- | --- | --- TiO₂ Content | ≥91 | % | ISO 591 Brightness (Y) | ≥94 | % | ISO 2469 Oil Absorption | 20-26 | g/100g | ISO 787-5 pH (aqueous) | 7.0-9.0 | — | ISO 787-9 Specific Gravity | 3.9 | g/cm³ | ISO 787-10 Average Particle Size | 0.30 | μm | Electron microscopy Note: Specifications are typical values and may vary. Always confirm with curr"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,2,PUBLIC RECORD,https://www.industry.gov.au/sites/default/files/adc/public-record/2026-04/699-1-application-applicant-tronox-limited-application-of-investigation-on-titanium-dioxide_2.pdf,industry.gov.au,SERP-REV-GRADE-BLR895-20260829,"PUBLIC RECORD (https://www.industry.gov.au/sites/default/files/adc/public-record/2026-04/699-1-application-applicant-tronox-limited-application-of-investigation-on-titanium-dioxide_2.pdf) citeturn38search12 [wordlim: 200] Published: 4 months ago; <th>Primary Chinese Equivalent Grade(s) – R-series (CNNC Hua Yuan Titanium Dioxide Co., Ltd. ... <td>BILLIONS BLR-698 (Sulfate-process rutile; high gloss, opacity, and whiteness)<br>BILLIONS BLR-895 (Chloride-process rutile; excellent opacity, gloss, dispersibility, and durability)</td> ... <td>BILLIONS BLR-891 or BILLIONS BLR-895 (chloride-process, alumina-treated)</td> <table id=""e1""> <tr> <th>Tronox Australian-Manufactured Grade</th> <th>Key Characteristics (Tronox Australia)</th> <th>Primary Chinese Equivalent Grade(s) – BILLIONS / LOMON (LB Group)</th> <th>Primary Chinese Equivalent Grade(s) – R-series (CNNC Hua Yuan Titanium Dioxide Co"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,3,BILLIONS™ BLR-895 - LB Group | LB Group,https://www.lomonbillions.global/products/billions-blr-895/,lomonbillions.global,SERP-REV-GRADE-BLR895-20260829,"BILLIONS™ BLR-895 - LB Group | LB Group (https://www.lomonbillions.global/products/billions-blr-895/) citeturn38search1 [wordlim: 200] Crawled: today; # BILLIONS™ BLR-895 ... BILLIONS™ BLR-895 pigment is a titanium dioxide pigment manufactured by the chloride process. ### About The Company LB Group is a leading manufacturer of high-performance titanium dioxide (TiO₂) pigments. Our BILLIONS™ TiO₂ pigment brand is established worldwide. We have over 35 years of TiO₂ pigment manufacturing experience. We manufacture a wide range of TiO₂ pigments for all major applications using the sulfate process and the chloride process. Our high-performance TiO₂ products are key ingredients used to produce an enormous range of products including paints, plastics, inks, and paper. Click here to download technical information about our BILLIONS™ TiO₂ pigments. A LEADING MANUFACTURER OF HIGH PERFORMANC"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,4,Optimizing Exterior Coatings in India: A Technical Guide to the Top Chinese TiO2 Grades,https://www.linkedin.com/pulse/optimizing-exterior-coatings-india-technical-guide-top-joe-zhou-buflc,linkedin.com,SERP-REV-GRADE-BLR895-20260829,"Optimizing Exterior Coatings in India: A Technical Guide to the Top Chinese TiO2 Grades (https://www.linkedin.com/pulse/optimizing-exterior-coatings-india-technical-guide-top-joe-zhou-buflc) citeturn38search2 [wordlim: 200] Published: 8 months ago; Crawled: 3 weeks ago; The Chinese Titanium Dioxide (TiO2) market has matured. ... * The Product: LB Group BLR-895 ... * Why choose it: BLR-895 is widely regarded as the closest 1:1 replacement for R902+. In this guide, we break down the Top 6 Chinese Rutile Grades every Indian paint manufacturer needs to know. * * * ### 1. The ""Chloride"" Standard (Maximum Durability) If your client demands the absolute highest tier of weather resistance—comparable to Chemours or Tronox—you must look at the Chloride Process. Sullfate grades are excellent, but Chloride grades generally offer a tighter particle size distribution and a bluer undertone."
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,5,Lomon BLR-895 Titanium Dioxide TiO2 for Coating Applications,https://www.chemategroup.com/lomon-r895/,chemategroup.com,SERP-REV-GRADE-BLR895-20260829,"Lomon BLR-895 Titanium Dioxide TiO2 for Coating Applications (https://www.chemategroup.com/lomon-r895/) citeturn38search3 [wordlim: 200] Crawled: 3 weeks ago; BILLIONS™ BLR-895 pigment is a coatings grade titanium dioxide pigment manufactured by the chloride process. ... What type of titanium dioxide is BLR-895? ... Its performance is comparable to that of general-purpose products from some international brands (such as Ti-Pure™ R-706 equivalent grades) in multiple application areas. Excellent whiteness. Provide a pure, bright white base color. High tinting strength. Strong tinting ability, achieving excellent hiding power per unit dosage, helping to reduce costs. Good dispersibility. Easily disperses in various media, effectively improving production efficiency, reducing energy consumption, and resulting in a smoother paint film. Weather resistance. Surface-treated for stable per"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,6,Titanium Dioxide Lomon Billions BLR-895 TiO2 White Pigment for Paint Rutile BLR-895,https://www.botianchemical.com/sale-40050328-titanium-dioxide-lomon-billions-blr-895-tio2-white-pigment-for-paint-rutile-blr-895.html,botianchemical.com,SERP-REV-GRADE-BLR895-20260829,"Titanium Dioxide Lomon Billions BLR-895 TiO2 White Pigment for Paint Rutile BLR-895 (https://www.botianchemical.com/sale-40050328-titanium-dioxide-lomon-billions-blr-895-tio2-white-pigment-for-paint-rutile-blr-895.html) citeturn38search4 [wordlim: 200] Crawled: last month; ## Titanium Dioxide Lomon Billions BLR-895 TiO2 White Pigment for Paint Rutile BLR-895 ... Type: BLR-895 (equivalent to Tronox/Tiona/Cristal 128, Tronox/Cristal CR-828, Kronos 2310, DuPont/Chemours R-902/R-902+, Huntsman/Venator TR92, TICH CR-510, Tianyuan TYR-588) ... Main products include over a dozen kinds of high-precision chemical products which are chloride process and sulphate process Titanium Dioxide,Titanium Oxychloride, Titanium Tetrachloride, High Titanium Slag, PVC Paste Resin, Caustic Soda etc. Delivery Time: 15-20 work days Payment Terms: L/C, T/T Supply Ability: 1000MT per month Contact Now ## Titani"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,7,TiO2 BLR-895 Industrial Grade Titanium Dioxide | Performance & Specs,https://www.cqtitaniumdioxide.com/news/tio2-blr-895-industrial-grade-titanium-dioxide-p.html,cqtitaniumdioxide.com,SERP-REV-GRADE-BLR895-20260829,"TiO2 BLR-895 Industrial Grade Titanium Dioxide | Performance & Specs (https://www.cqtitaniumdioxide.com/news/tio2-blr-895-industrial-grade-titanium-dioxide-p.html) citeturn38search5 [wordlim: 200] Published: 8 months ago; Crawled: 3 months ago; TiO2 BLR-895 Industrial Grade Titanium Dioxide | Performance & Specs ... Fortunately, some vendors, including the source of BLR-895, offer tweaks in milling or surface treatments to help the titanium dioxide integrate better in specialized polymers or UV-stable coatings. ... There’s no substitute for hands-on experience. But not all grades are created equal. BLR-895 stands out in some key ways, especially when performance consistency under demanding production conditions is needed. While the specs paint one picture, field use tells the real story. ### Key Specifications of TiO2 BLR-895 Property | Typical Value | Units --- | --- | --- Chemic"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,8,TiO2 LOMON Billions BLR895 Titanium Dioxide Made in China,https://www.botianchemical.com/sale-40050236-tio2-lomon-billions-blr895-titanium-dioxide-made-in-china.html,botianchemical.com,SERP-REV-GRADE-BLR895-20260829,"TiO2 LOMON Billions BLR895 Titanium Dioxide Made in China (https://www.botianchemical.com/sale-40050236-tio2-lomon-billions-blr895-titanium-dioxide-made-in-china.html) citeturn38search6 [wordlim: 200] Crawled: last month; ## TiO2 LOMON Billions BLR895 Titanium Dioxide Made in China ... Type: BLR-895 (equivalent to Tronox/Tiona/Cristal 128, Tronox/Cristal CR-828, Kronos 2310, DuPont/Chemours R-902/R-902+, Huntsman/Venator TR92, TICH CR-510, Tianyuan TYR-588) ... Main products include over a dozen kinds of high-precision chemical products which are chloride process and sulphate process Titanium Dioxide,Titanium Oxychloride, Titanium Tetrachloride, High Titanium Slag, PVC Paste Resin, Caustic Soda etc. Description ## BLR895 Titanium Dioxide , ## TiO2 Titanium Dioxide , ## 13463-67-7 Titanium Dioxide TiO2 LOMON Billions BLR895 Titanium Dioxide Made in China Type: BLR-895 (eq"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,9,Description: BLR-,https://cdn2.hubspot.net/hubfs/116018/TiO2.pdf,cdn2.hubspot.net,SERP-REV-GRADE-BLR895-20260829,"Description: BLR- (https://cdn2.hubspot.net/hubfs/116018/TiO2.pdf) citeturn38search13 [wordlim: 200] Published: 10 months ago; BLR-895 ... Description: BLR-895 is a rutile titanium dioxide pigment produced by the chloride process. BLR-895 Technical Data Sheet Description: BLR-895 is a rutile titanium dioxide pigment produced by the chloride process. It is recommended for a range of coatings applications. BLR-895 has outstanding dispersion performance, dispersing quickly and easily. It also has excellent opacity and gloss, and delivers a brilliant whiteness with a clean blue tone. With its carefully selected inorganic surface coating, BLR-895 provides a high level of weatherability, making it flexible across both interior and exterior applications. Key Features: Excellent whiteness and opacity Good weatherability Excellent dispersion High gloss Applications"
BLR-895 alternative equivalent titanium dioxide,GLOBAL,EN,2026-08-29,10,Billions BLR-895 TiO2 Titanium Dioxide Powder Chloride Process,https://www.botianchemical.com/sale-26532600-billions-blr-895-tio2-titanium-dioxide-powder-chloride-process.html,botianchemical.com,SERP-REV-GRADE-BLR895-20260829,"Billions BLR-895 TiO2 Titanium Dioxide Powder Chloride Process (https://www.botianchemical.com/sale-26532600-billions-blr-895-tio2-titanium-dioxide-powder-chloride-process.html) citeturn38search7 [wordlim: 200] Crawled: today; ## Billions BLR-895 TiO2 Titanium Dioxide Powder Chloride Process ... Type: BLR-895 (equivalent to Tronox/Tiona/Cristal 128, Tronox/Cristal CR-828, Kronos 2310, DuPont/Chemours R-902/R-902+, Huntsman/Venator TR92, TICH CR-510, Tianyuan TYR-588) Contact Now ## Billions BLR-895 TiO2 Titanium Dioxide Powder Chloride Process Description Molecular Formula: | TiO2 | Appearance: | White Powder CAS NO.: | 13463-67-7 | Purity: | High Whiteness: | Perfect | Process: | Chloride Process Highlight: | ## BLR-895 TiO2 Titanium Dioxide , ## Chloride Process TiO2 Titanium Dioxide , ## Billions blr 895 titanium dioxide High Purity TiO2 Rutile Titanium Dioxide"
