source_id,site_name,site_type,homepage_url,capture_date,desktop_snapshot,mobile_snapshot,deep_dive,status,notes
m01_chemours_tipure,"Chemours Ti-Pure",manufacturers,https://www.tipure.com/en/,2026-08-29,../01_original_homepages/manufacturers/m01_chemours_tipure/desktop-full.png,../01_original_homepages/manufacturers/m01_chemours_tipure/mobile-full.png,YES,BLOCKED_OR_CHALLENGE,"Cloudflare verification page captured; normal homepage content was not accessible in the capture environment."
m02_tronox,"Tronox",manufacturers,https://www.tronox.com/,2026-08-29,../01_original_homepages/manufacturers/m02_tronox/desktop-full.png,../01_original_homepages/manufacturers/m02_tronox/mobile-full.png,YES,CAPTURED,"Cookie banner dismissed using Allow all."
m03_kronos,"KRONOS",manufacturers,https://www.kronosww.com/,2026-08-29,../01_original_homepages/manufacturers/m03_kronos/desktop-full.png,../01_original_homepages/manufacturers/m03_kronos/mobile-full.png,YES,CAPTURED,"Cookie banner dismissed using Reject all."
m04_lb_group,"LB Group",manufacturers,https://www.lomonbillions.global/,2026-08-29,../01_original_homepages/manufacturers/m04_lb_group/desktop-full.png,../01_original_homepages/manufacturers/m04_lb_group/mobile-full.png,YES,CAPTURED,"Current public homepage captured; cookie preference overlay remained visible in the saved snapshots."
m05_tioxide,"Tioxide",manufacturers,https://tioxide.com/,2026-08-29,../01_original_homepages/manufacturers/m05_tioxide/desktop-full.png,../01_original_homepages/manufacturers/m05_tioxide/mobile-full.png,YES,CAPTURED,"Current public homepage captured."
m06_ineos_pigments,"INEOS Pigments",manufacturers,https://www.ineos.com/businesses/ineos-enterprises/businesses/ineos-pigments/,2026-08-29,../01_original_homepages/manufacturers/m06_ineos_pigments/desktop-full.png,../01_original_homepages/manufacturers/m06_ineos_pigments/mobile-full.png,YES,CAPTURED,"Cookie banner dismissed using Allow all."
m07_precheza,"PRECHEZA",manufacturers,https://www.precheza.cz/en/,2026-08-29,../01_original_homepages/manufacturers/m07_precheza/desktop-full.png,../01_original_homepages/manufacturers/m07_precheza/mobile-full.png,YES,CAPTURED,"Current public homepage captured."
m08_tayca,"Tayca",manufacturers,https://www.tayca.co.jp/english/,2026-08-29,../01_original_homepages/manufacturers/m08_tayca/desktop-full.png,,NO,CAPTURED,"Current English homepage captured."
m09_cinkarna,"Cinkarna Celje",manufacturers,https://www.cinkarna.si/en,2026-08-29,../01_original_homepages/manufacturers/m09_cinkarna/desktop-full.png,,NO,CAPTURED,"Current English homepage captured."
m10_kmml,"KMML",manufacturers,https://www.kmml.com/,2026-08-29,../01_original_homepages/manufacturers/m10_kmml/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
m11_ttpl,"Travancore Titanium Products",manufacturers,https://travancoretitanium.com/,2026-08-29,../01_original_homepages/manufacturers/m11_ttpl/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
