claim_id,exact_claim,claim_type,evidence_ids,source_date,last_verified_date,next_review_due,jurisdiction,product_scope,origin_scope,time_scope,verification_status,render_direction,notes
UK-T-C001,"The registered page is UK Titanium Dioxide Trade Update at /resources/uk-titanium-dioxide-anti-dumping-investigation/ and owns the primary keyword uk titanium dioxide anti dumping investigation.",PAGE_IDENTITY,"PAGE_REGISTRY_V0.2;KEYWORD_MASTER_ROW_50",2026-09-06,2026-09-06,N/A,PROJECT,Page identity,N/A,CURRENT,VERIFIED,"USE_AS_PAGE_CONTRACT","No new route or keyword"
UK-T-C002,"AD0086 — Rutile Titanium Dioxide from China was displayed as Active in the TRA public file captured on 6 September 2026; the case page showed Last updated 2 September 2026.",CURRENT_LEGAL_STATUS,"UK-RAW-001",2026-09-02,2026-09-06,2026-10-06,UK,Rutile TiO2,China,"Current as captured",VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_LAST_REVIEWED_DATE","Recheck after an official event or within 30 days"
UK-T-C003,"The TRA initiated a dumping investigation into the specified rutile titanium dioxide goods from China on 3 March 2026.",PROCEDURAL_FACT,"UK-RAW-002;UK-RAW-003",2026-03-03,2026-09-06,2026-10-06,UK,Defined rutile TiO2 goods,China,Initiation,VERIFIED_OFFICIAL,"VISIBLE","An investigation is not a final finding"
UK-T-C004,"The investigation period is 1 January to 31 December 2025; the injury period is 1 January 2022 to 31 December 2025.",PROCEDURAL_FACT,"UK-RAW-002;UK-RAW-003",2026-03-03,2026-09-06,2026-10-06,UK,Defined rutile TiO2 goods,China,Investigation/injury periods,VERIFIED_OFFICIAL,"VISIBLE_IF_USEFUL","Keep both period labels distinct"
UK-T-C005,"The written goods scope covers rutile titanium oxides, pigments and preparations based on rutile TiO2 containing at least 80% titanium dioxide by weight on a dry-matter basis, in all particle sizes.",PRODUCT_SCOPE,"UK-RAW-001;UK-RAW-003",2026-09-02,2026-09-06,2026-10-06,UK,Official AD0086 definition,China,Current case scope,VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Do not turn written scope into shipment classification advice"
UK-T-C006,"The AD0086 public file lists commodity codes 28230000 and 32061100 and detailed codes 2823000010, 2823000030, 2823000080, 2823000083, 3206110010, 3206110030, 3206110080 and 3206110085.",CLASSIFICATION_SCOPE,"UK-RAW-001;UK-RAW-003",2026-09-02,2026-09-06,2026-10-06,UK,Official listed codes,China,Current case scope,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_VERIFICATION_PROMPT","Codes do not by themselves decide an entry"
UK-T-C007,"From 27 March 2026, HMRC registers the specified in-scope rutile titanium dioxide imports originating in China under Trade Remedies Notice 2026/14.",CURRENT_REGISTRATION,"UK-RAW-004;UK-RAW-005",2026-03-26,2026-09-06,2026-10-06,UK,Specified registered goods,China,"From 2026-03-27 until stop notice",VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Recheck for a stop or replacement notice"
UK-T-C008,"Additional code 8A60 applies to the registered in-scope goods; code 8A61 identifies excluded anatase and brookite under the same commodity headings.",REGISTRATION_CODE,"UK-RAW-004",2026-03-26,2026-09-06,2026-10-06,UK,Registered/excluded goods,China,Registration period,VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Preserve the rutile versus anatase/brookite distinction"
UK-T-C009,"Registration continues until the Secretary of State publishes a notice to stop registration.",PROCEDURAL_FACT,"UK-RAW-004",2026-03-26,2026-09-06,2026-10-06,UK,Specified registered goods,China,Registration period,VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Current status requires future official recheck"
UK-T-C010,"If a definitive remedy is later implemented, registered goods may become liable from a date up to 90 days before a provisional remedy; any amount would be determined by the definitive remedy.",CONDITIONAL_FUTURE_RULE,"UK-RAW-004",2026-03-26,2026-09-06,2026-10-06,UK,Registered goods,China,Possible future outcome,VERIFIED_OFFICIAL_CONDITIONAL,"VISIBLE_ONLY_WITH_IF_QUALIFIER","Do not present as a current payable amount"
UK-T-C011,"The captured current UK TiO2 official source set does not impose a provisional or definitive anti-dumping duty amount.",CURRENT_SOURCE_CONCLUSION,"UK-RAW-001;UK-RAW-003;UK-RAW-004;UK-RAW-005",2026-09-02,2026-09-06,2026-10-06,UK,AD0086 rutile TiO2,China,"As checked 2026-09-06",VERIFIED_WITH_CAPTURED_SOURCE_SET,"VISIBLE_AS_NO_RATE_YET","Negative conclusion is limited to captured current official sources and must be refreshed"
UK-T-C012,"The original TRA timeline describes provisional determination in July/August 2026 if required, a Statement of Essential Facts in September/October 2026 and a final recommendation in February/March 2027.",INDICATIVE_TIMELINE,"UK-RAW-006",2026-03-03,2026-09-06,2026-10-06,UK,AD0086,China,Indicative future stages,VERIFIED_OFFICIAL_INDICATIVE,"VISIBLE_ONLY_AS_INDICATIVE","Timeline states it is non-legally binding; do not promise dates"
UK-T-C013,"The 11 May 2026 notice extended questionnaire response deadlines for specified parties and did not itself create a remedy.",PROCEDURAL_FACT,"UK-RAW-007",2026-05-11,2026-09-06,2026-10-06,UK,AD0086,China,Questionnaire stage,VERIFIED_OFFICIAL,"OPTIONAL_CONTEXT","Not a final-timetable change claim"
