source_id,hero,positioning,products,applications,manufacturing,supply_chain,quality_technical,documents_compliance,markets,sustainability,resources,news,rfq,sample,document_request,contact,footer_trust,notes
m01_chemours_tipure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloudflare challenge; no content-frequency coding."
m02_tronox,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,"Hero > mine-to-pigment > report > products > company scale > sustainability > news."
m03_kronos,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,"Hero > brand vision > applications > innovation > people/careers; visually modern but RFQ-light."
m04_lb_group,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,"Corporate/video hero > acquisition news > application-specific grades > repeated sample CTA."
m05_tioxide,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,"Manufacturing hero > partnership > lab/quality > application accordion > products/downloads > contact."
m06_ineos_pigments,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,"Product hero > profile/plant > markets > products > resource center > careers."
m07_precheza,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,"Origin/quality hero > product narrative > compliance news > associations > legal entity."
m08_tayca,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,"Corporate hero > latest notices > products/applications/functions > R&D > IR/sustainability/company."
m09_cinkarna,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,"TiO2 hero > long-history proof > TMP-free claim > products > industries > news/contact."
m10_kmml,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,"Origin-story hero > uses > tenders > green theme > capacity initiatives > gallery/certifications."
m11_ttpl,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,"Banner/announcements > company and plant > mission > products > generic visual cards > contact."
d01_brenntag,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Country/language selector only; excluded from substantive module frequency."
d02_imcd,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,"Corporate/news hero > distributor positioning > strategy > technical centers > scale > corporate cards."
d03_azelis,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,"Positioning hero > innovation/markets > customer portal > sustainability > news > market grid > scale."
d04_dksh_performance_materials,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,"Business-unit hero > ingredient categories > platform > scale > market map > services > downloads > contact."
d05_univar_uk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloudflare challenge; no content-frequency coding."
d06_safic_alcan,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,"Positioning hero > sustainability/innovation > scale/coverage > partner logos > news > product markets > support."
r01_focus_chemical,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,"One-stop hero > generic differentiation > service cards > why choose > products > contact."
r02_purika,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"Supplier/exporter hero; long blank page; brief company/footer only."
r03_orc_chem,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,"Supplier hero > company story > industries > solution cards > generic benefits > client logos/contact."
r04_luxchem,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,"Group/facility hero > corporate structure > management > milestones > certificates > contact."
r05_excel_chemical,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,"Real facility hero > supplier logos > corporate/contact and certification badges."
r06_apcc,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,"Lab hero > sector grid > green chemistry > warehouse > R&D/technical support/delivery > enquiry."
s01_mytio2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"Self baseline only; excluded from peer counts. Hero > fact strip > trust > applications > RFQ/docs > footer."
