source_id,source_type,source_name,source_url_or_path,capture_or_publication_date,review_date,scope,sha256,limitations
RESR706-SERP-HIST-01,SERP_RAW,"2026-08-29 exact-query raw search response","D:\23MySec\research\keyword\raw\serp\2026-08-29\REVISION\EN\tipure_r706_alternative_equivalent\raw_search_response.json",2026-08-29,2026-09-06,"Exact query; GLOBAL/EN qualitative intent",C99040D7D74C633146842A3C8435F598359C01F68C33375D9901C1FE6EE637D6,"No verified Google location/device/personalization; not volume evidence"
RESR706-SERP-HIST-02,SERP_RAW_ENVELOPE,"2026-08-29 exact-query byte-safe envelope","D:\23MySec\research\keyword\raw\serp\2026-08-29\REVISION\EN\tipure_r706_alternative_equivalent\raw_search_response.json.b64",2026-08-29,2026-09-06,"Integrity companion for historical exact query",95FDC095FFBC3986B78B9B4039946C7C0F53FBE10BF933EA1CF96A1E4FE6D71B,"Base64 envelope; use decoded JSON for analysis"
RESR706-SERP-FRESH-01,SERP_RAW,"2026-09-06 fresh exact-query web-search capture","D:\23MySec\pages\resources\r706-alternative\01_research\evidence\RES-R706_FRESH_EXACT_QUERY_RAW_2026-09-06.md",2026-09-06,2026-09-06,"Exact query; GLOBAL/EN qualitative intent",FE3BBAE1BF8962B80C36EB46E26E115BF6C811D5D5FC34EA2095D63B808B6C54,"Search-tool results; no stable Google-local rank or metrics"
RESR706-OFFICIAL-DISCOVERY-01,WEB_SEARCH_RAW,"2026-09-06 current first-party discovery capture","D:\23MySec\pages\resources\r706-alternative\01_research\evidence\RES-R706_FRESH_OFFICIAL_DISCOVERY_RAW_2026-09-06.md",2026-09-06,2026-09-06,"Discovery of Chemours/Ti-Pure R-706 and TS-6706 sources",D811028D3FE0F418CE79D17382A500F35C1C5FEA9CE69DDA56066F7D0F0AF67B,"Discovery queries are not original-query rank evidence"
RESR706-OFFICIAL-OPEN-01,WEB_FETCH_RAW,"2026-09-06 first-party page/PDF text opens","D:\23MySec\pages\resources\r706-alternative\01_research\evidence\RES-R706_FRESH_OFFICIAL_OPEN_RAW_2026-09-06.md",2026-09-06,2026-09-06,"R-706 current product page; 2020 Product Information PDF; 2025 TS-6706 release",4AFAA063B09F153E309669907D92E4489E6C84ACF76A720FD3A5CEA03D85102A,"Tool-extracted text may omit non-text media; source copyright prevents copying into public prose"
RESR706-OFFICIAL-R706-HTML,EXTERNAL_FIRST_PARTY,"Chemours Ti-Pure R-706 product page","https://www.tipure.com/en/products/coatings/r-706",DATE_NOT_PUBLISHED_BY_SOURCE,2026-09-06,"R-706 product identity, process, applications and features",REGISTERED_IN_RESR706-OFFICIAL-OPEN-01,"Chemours facts only; page claims cannot prove IKHLAS equivalence"
RESR706-OFFICIAL-R706-PDF,EXTERNAL_FIRST_PARTY,"Ti-Pure R-706 Product Information","https://www.tipure.com/en/-/media/files/tipure/legacy/ti-pure-r-706-tds.pdf",2020-02,2026-09-06,"R-706 technical properties and end-use evaluation notice",REGISTERED_IN_RESR706-OFFICIAL-OPEN-01,"Older PDF; values labelled typical unless specified; current HTML links to it"
RESR706-OFFICIAL-TS6706,EXTERNAL_FIRST_PARTY,"Chemours TS-6706 launch release","https://investors.chemours.com/news-releases/news-release-details/chemours-launches-ti-puretm-ts-6706-tmptme-free-version-flagship",2025-02-19,2026-09-06,"Chemours-only TS-6706/R-706 relationship and test dimensions",REGISTERED_IN_RESR706-OFFICIAL-OPEN-01,"Internal Chemours product relationship only; cannot transfer to an IKHLAS grade"
RESR706-PROJECT-REGISTRY,PROJECT_ARCHITECTURE,"Page Registry V0.2 RES-R706 row","D:\23MySec\docs\architecture\PAGE_REGISTRY_V0.2.md",2026-09-02,2026-09-06,"Page identity, candidate URL and state",NOT_COPIED,"Architecture evidence only"
RESR706-PROJECT-KEYWORD,PROJECT_ARCHITECTURE,"Page-keyword master RES-R706 row","D:\23MySec\research\keyword\11_page_keyword_master.csv",2026-09-02,2026-09-06,"Keyword ownership and cannibalization",NOT_COPIED,"Qualitative evidence; metrics unavailable"
RESR706-PROJECT-CHEMOURS,APPROVED_PROJECT_BASELINE,"RES-CHEMOURS approved Gate 1 package","D:\23MySec\pages\resources\chemours-alternatives\RES-CHEMOURS_CURRENT_GATE_BASELINE_MANIFEST_V0.1.md",2026-09-06,2026-09-06,"Brand-level versus exact-grade ownership",NOT_COPIED,"R-706 link remains conditional on this page's later approval/live state"
RESR706-PROJECT-PRODUCT,APPROVED_PROJECT_BASELINE,"PRODUCT V0.3 matrix and unified audit","D:\23MySec\pages\products\01_research\PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv",2026-08-30,2026-09-06,"Neutral IKHLAS grade relationships; no competitor mapping",8465E231545D3EFC6333EC593441EEF65E95173A4708097CEC0D7A97A014E406,"M-996/M-2196 comparison hold remains"
