claim_id,exact_proposition,claim_type,source_path,source_section,source_date,read_date,scope,user_decision_status,evidence_status,render_decision,runtime_status,boundary_or_next_action
C01,404 · PAGE NOT FOUND,APPROVED_COPY,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md,4.1;10.2,2026-09-08,2026-09-08,SYS-404 unknown tio2-my routes,USER_APPROVED_DESIGN,EXACT_SOURCE_READ,RENDER,NOT_TESTED,Only genuine unknown routes; do not intercept valid pages; DEP01
C02,The page you’re looking for may have moved or is no longer available.,APPROVED_QUALIFIED_COPY,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md,4.1,2026-09-08,2026-09-08,SYS-404 body first sentence,USER_APPROVED_DESIGN,EXACT_SOURCE_READ,RENDER_WITH_QUALIFIER,NOT_TESTED,Preserve may; no verified move destination or permanent-removal claim
C03,"Let’s help you find what you need. / You can continue by exploring our titanium dioxide products, requesting technical documents, or contacting our team.",APPROVED_COPY,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md,4.1,2026-09-08,2026-09-08,SYS-404 H1 and body second sentence,USER_APPROVED_DESIGN,EXACT_SOURCE_READ,RENDER,NOT_TESTED,Navigation options only; no new capability or delivery guarantee
C04,Explore Products -> /products/ -> PRODUCT-000,APPROVED_NAVIGATION,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md | docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv,4.1;PRODUCT-000 row,2026-09-08 approval;2026-09-02 Registry base,2026-09-08,SYS-404 Primary action,USER_APPROVED_DESIGN,REGISTERED_TARGET_VERIFIED,RENDER,NOT_TESTED,Products owns selection; no parameters; target availability remains DEP02
C05,Go to Homepage -> / -> HOME-001,APPROVED_NAVIGATION,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md | docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv,4.1;HOME-001 row,2026-09-08 approval;2026-09-02 Registry base,2026-09-08,SYS-404 Primary action,USER_APPROVED_DESIGN,REGISTERED_TARGET_VERIFIED,RENDER,NOT_TESTED,Home owns broad supply positioning and site entry; no automatic redirect; DEP02
C06,Request Documents -> /request-documents/ -> CONV-DOC,APPROVED_NAVIGATION,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md | docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv,4.1;CONV-DOC row,2026-09-08 approval;2026-09-02 Registry base,2026-09-08,SYS-404 Supporting action,USER_APPROVED_DESIGN,REGISTERED_TARGET_VERIFIED,RENDER,NOT_TESTED,Controlled request only; no download or availability assurance; no prefill; DEP02
C07,Contact Our Team -> /contact/ -> CONTACT-001,APPROVED_NAVIGATION,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md | docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv,4.1;CONTACT-001 row,2026-09-08 approval;2026-09-02 Registry base,2026-09-08,SYS-404 Supporting action,USER_APPROVED_DESIGN,REGISTERED_TARGET_VERIFIED,RENDER,NOT_TESTED,Contact owns verified channels; no inferred phone/email/response time; DEP02
C08,Request a Quote -> /request-a-quote/ -> CONV-RFQ,APPROVED_NAVIGATION,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md | docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv,4.1;CONV-RFQ row,2026-09-08 approval;2026-09-02 Registry base,2026-09-08,SYS-404 Supporting action,USER_APPROVED_DESIGN,REGISTERED_TARGET_VERIFIED,RENDER,NOT_TESTED,RFQ owns capture and receiver; 404 click is not quotation or conversion proof; DEP02
C09,NO_PRIMARY_KEYWORD; N; Navigation recovery; no search ownership,APPROVED_PAGE_IDENTITY,docs/architecture/SYS_404_CONV_THANK_PAGE_ADDITION_DECISION_V1.0.md | research/keyword/11_page_keyword_master.csv,3;SYS-404 row,2026-09-08,2026-09-08,SYS-404 governance and search classification,USER_APPROVED_DESIGN,REGISTERED_IDENTITY_VERIFIED,INTERNAL_CONTRACT_ONLY,NOT_APPLICABLE,No commercial SERP claim or metrics; NOT_APPLICABLE_SYSTEM_UTILITY_PAGE
C10,Unknown tio2-my URLs return real HTTP 404 without intercepting valid routes,APPROVED_RUNTIME_REQUIREMENT,docs/superpowers/specs/2026-09-08-404-thank-you-pages-design-v0.1.md,7.1;10.2,2026-09-08,2026-09-08,Response status and routing,USER_APPROVED_DESIGN,REQUIREMENT_CONFIRMED,TECHNICAL_CONTRACT_ONLY,NOT_TESTED,Gate 8 implementation and Gate 9 response tests; DEP01
