"claim_id","statement","kind","source","source_date","retrieved_date","locator","scope","status","public_use","decision_or_next_action"
"ES-CL01","Spain页拥有/markets/spain/及titanium dioxide supplier spain","APPROVED_IDENTITY","docs/architecture/PAGE_REGISTRY_V0.2.md | research/keyword/11_page_keyword_master.csv","2026-09-02","2026-09-06","MARKET-EU-ES row","Spain EN","APPROVED_MAPPING","IDENTITY_ONLY","不等于Gate批准/route live"
"ES-CL02","品牌TiO2 Malaysia由IKHLAS TITANIUM (MALAYSIA) SDN. BHD.运营","APPROVED_COMPANY","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md","2026-08-29","2026-09-06","§2","Sitewide","USER_APPROVED","RENDER_WITHIN_SCOPE","不推导Spain分支机构"
"ES-CL03","Malaysia-origin titanium dioxide","APPROVED_ORIGIN","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md","2026-09-05","2026-09-06","§1–3 / EG-001","Sitewide including Spain","USER_APPROVED","RENDER_WITHIN_SCOPE","可同义SEO/GEO/Schema；不重复要求批准"
"ES-CL04","A Certificate of Origin is available upon request.","PROPOSED_COMPANY_FACT","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.1.md","2026-09-06","2026-09-06","EG-002 / ES-D02","Spain only proposed","PENDING_USER_FACT_CONFIRMATION","PENDING_SCOPED_USER_DECISION","请求用户确认Spain可按申请提供COO；不冻结整页"
"ES-CL05","每票货物均随附COO","DISTINCT_UNPROPOSED_FACT","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.1.md","2026-09-06","2026-09-06","EG-003","Shipment","NOT_PROPOSED_IN_THIS_BASELINE","NOT_SELECTED_NOT_A_REJECTION","不混入ES-D02的申请可提供命题"
"ES-CL06","具体海关接受/税率/反倾销结果","TIME_SENSITIVE_EXTERNAL","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.1.md","2026-09-06","2026-09-06","EG-004/005","Authority product shipment date specific","EXTERNAL_CURRENT_SOURCE_REQUIRED","NO_CURRENT_CONCLUSION_ASSERTED","将来拟用具体结论由owner查当前官方来源"
"ES-CL07","原词返回含工业联系与实验纳米粉等不同内容类型","OBSERVATION","pages/markets/spain/01_research/evidence/ES-Q01-2026-09-06.json","UNSTATED","2026-09-06","20 returned entries; P05/P07","Single general-web sample","OBSERVED","INTERNAL_RESEARCH","不推导全国主导意图或搜索量"
"ES-CL08","EMSA工业TiO2页按涂料/塑料等体系描述其产品并提供信息表单","SUPPLIER_SELF_DESCRIPTION","https://emsaquimica.com/productos/dioxido-de-titanio/","UNSTATED","2026-09-06","ES-P02 L42–60; L63–141","EMSA only","OBSERVED_SOURCE_BOUND","RESEARCH_ONLY_NOT_OUR_CAPABILITY","用于提出体系/最终用途问题，不复制Grade性能"
"ES-CL09","ANAIP列包装、建筑、农业、工业分部并列举最终制品","ASSOCIATION_DESCRIPTION","https://anaip.es/quienes-somos/divisiones/","2025-07-18 page field","2026-09-06","ES-P03b L52–116","ANAIP Spain plastics context","OBSERVED_SOURCE_BOUND","ATTRIBUTED_CONTEXT_ONLY","不表示所有制品用TiO2；不扩taxonomy/国家Grade适用性"
"ES-CL10","ASEFAPI行业页面覆盖Spain涂料与印刷油墨行业","ASSOCIATION_DESCRIPTION","https://asefapi.es/el-sector/","UNSTATED","2026-09-06","ES-P04 L53–57","Spain association context","OBSERVED_SOURCE_BOUND","ATTRIBUTED_CONTEXT_ONLY","不采用未明统计年的规模/增长数字"
