claim_id,exact_claim_or_rule,claim_type,source_id,source_url_or_path,source_date,applicable_scope,evidence_status,public_behavior,user_decision_status,notes
PROC-CL-001,"PRODUCT-PROC-CL is the Chloride Process Titanium Dioxide process aggregation page at /products/chloride-process-titanium-dioxide/.",PAGE_IDENTITY,PROC-CL-REGISTRY,docs/architecture/PAGE_REGISTRY_V0.2.md,2026-09-06,Page identity and breadcrumb/Canonical direction,VERIFIED_PROJECT_AUTHORITY,RENDER,NONE,"Does not declare route live or published"
PROC-CL-002,"The page owns the primary keyword 'chloride process titanium dioxide'; RES-PROC owns 'chloride vs sulfate titanium dioxide'; Grade pages own exact model terms; Applications own generic application terms.",SEO_OWNERSHIP,PROC-CL-KW-IMPLEMENTATION,research/keyword/11_page_keyword_master.csv,2026-09-06,SEO Title/H1/body and internal links,VERIFIED_PROJECT_AUTHORITY,DO_NOT_RENDER,NONE,"Internal ownership rule; the buyer-facing page expresses the assigned topic without exposing governance labels. Historical M-2377 note in the same file is superseded by PRODUCT V0.3"
PROC-CL-003,"Accessible search results for the exact phrase mix technical definitions institutional reports manufacturer material research/patent content and adjacent titanium/chloride topics.",SEARCH_OBSERVATION,PROC-CL-RAW-SEARCH-ORIGINAL,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_SEARCH_ORIGINAL_2026-09-06.md,2026-09-06,Internal intent interpretation only,PARTIALLY_VERIFIED,DO_NOT_RENDER,NONE,"Generic unranked web search; no Google-local or demand-share claim"
PROC-CL-004,"Supplier and grade-selection expansions expose category pages grade tables and exact product pages.",SEARCH_OBSERVATION,PROC-CL-RAW-SEARCH-EXPANDED,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md,2026-09-06,Internal intent interpretation only,PARTIALLY_VERIFIED,DO_NOT_RENDER,NONE,"Supports plausible category-to-grade task but not user occupation or demand volume"
PROC-CL-005,"At a high level the chloride route forms titanium tetrachloride from titanium-bearing feedstock purifies the intermediate and oxidizes it to form titanium dioxide before further treatment.",TECHNICAL_CONTEXT,PROC-CL-RAW-FETCH-REPRESENTATIVE,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,2026-09-06,General buyer-readable process definition,VERIFIED_EXTERNAL_TECHNICAL_CONTEXT,RENDER_WITH_QUALIFIER,NONE,"General context only; not an IKHLAS plant/process-operation claim"
PROC-CL-006,"A process label is a useful classification input but is not by itself a complete Grade performance or suitability conclusion.",TECHNICAL_INTERPRETATION,"PROC-CL-RAW-FETCH-REPRESENTATIVE;PROC-V03-AUDIT","pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-09-06,Evaluation guidance,SUPPORTED_GENERAL_EVALUATION_PRINCIPLE,RENDER_WITH_QUALIFIER,NONE,"Do not turn into Chloride-vs-Sulfate comparison or route superiority"
PROC-CL-007,"Malaysia-origin titanium dioxide",ORIGIN,EG-001,docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md,2026-09-05,Suitable visible copy and equivalent SEO/GEO/social/Schema,USER_APPROVED_SITE_WIDE,RENDER,USER_APPROVED_CLOSED,"Does not imply plant ownership customs treatment or a certificate promise"
PROC-CL-008,"PRODUCT V0.3 classifies exactly eight Grades as Chloride: M-350 M-510 M-896 M-895 M-200 M-210 M-340 and M-886.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Visible neutral Grade aggregation and machine-readable parity,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; order is presentation order not ranking"
PROC-CL-009,"M-350 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M350 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-010,"M-510 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M510 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
