query,rank,title,domain,page_type,role,intent_observation,raw_batch
"titanium dioxide plastic film opacity dispersion",1,"Effect of titanium dioxide distribution and minute carbon black on opacity of PVDF white composite films",researchgate.net,Journal abstract/repository,Research,"Defined polymer-film opacity and dispersion research; not a generic buying page",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",2,"Scribable coating for plastic films",ntrs.nasa.gov,Technical report,Government research,"Coated-film use; adjacent rather than pigment-in-film intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",3,"Relationship of Opacity with Titanium Dioxide Content & Film Thickness",specad.org,Technical paper,Industry association,"Direct film-thickness/TiO2/opacity evaluation intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",4,"Ti-Pure Titanium Dioxide: Plastic Films",tipure.com,Application guide,Manufacturer,"Direct film-fabricator technical and product-evaluation intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",5,"R-350 Titanium Dioxide",tipure.com,Grade brochure,Manufacturer,"Grade/masterbatch intent; model-specific and non-transferable",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",6,"European patent document",epo.org,Patent,Patent authority,"Composition/process evidence rather than buyer article intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",7,"Titanium Dioxide Extenders",grace.com,Application/product page,Manufacturer,"Film opacity and extender commercial intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",8,"Film Grade White Masterbatch",shunchangindustry.com,Product page,Supplier,"White-masterbatch purchase intent; belongs to APP-MB when formulation-led",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",9,"How titanium dioxide in masterbatch affects printability",shyjchem.com,Blog,Supplier,"Masterbatch/printability claim content; low authority",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide plastic film opacity dispersion",10,"An opacified polymer composition",patents.google.com,Patent,Patent database,"Composition-specific opacity evidence",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",1,"INDOFIL K-120ND brochure",navyugchemicals.com,Technical brochure,Supplier,"PVC calendering formulation/process intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",2,"White High Opaque Vinyl",dpiflex.com,Finished-product page,Manufacturer,"Finished calendered-vinyl opacity claim",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",3,"High covering PVC calendered film",patents.google.com,Patent,Patent database,"Recipe/process patent; unsafe as generic guidance",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",4,"INDOFIL K-120ND brochure duplicate URL state 2",navyugchemicals.com,Technical brochure,Supplier,"Duplicate result for PVC sheet/film processing",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",5,"INDOFIL K-120ND brochure duplicate URL state 3",navyugchemicals.com,Technical brochure,Supplier,"Duplicate result; no independent intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",6,"Microlith White 0022 KP",specialchem.com,Product directory,Marketplace,"Colorant/product selection intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",7,"PVC Films Colour Book",repi.com,Application brochure,Manufacturer,"PVC extrusion/calendering colour context",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",8,"Titanium Dioxide product PDF",rxweb-prd.com,Product brochure,Supplier,"Portfolio mapping to PVC calendered film",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",9,"Calendered PVC/cellulose ester blend film",patents.google.com,Patent,Patent database,"Composition patent; weak TiO2-specific buyer intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide PVC film calendered",10,"PVC film and feedstock composition",patents.google.com,Patent,Patent database,"Formulation patent; not independent article demand",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",1,"Relationship of Opacity with Titanium Dioxide Content & Film Thickness",specad.org,Technical paper,Industry association,"Direct technical evaluation intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",2,"Kaolin extenders in colour masterbatch",l-i.co.uk,Technical marketing article,Supplier,"Masterbatch/extender performance in blown film",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",3,"Technical data sheet",unique-polymer.com,TDS,Supplier,"Product-specific masterbatch evidence",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",4,"FP-550 Opacity Pigment",fp-pigments.com,Product sheet,Manufacturer,"Extender/masterbatch substitution claim",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",5,"White Masterbatch",ingeniapolymers.com,Product page,Manufacturer,"Finished masterbatch procurement intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",6,"Polyethylene film having unique aesthetic and performance properties",patents.google.com,Patent,Patent database,"Film composition and performance patent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",7,"SIVATHENE WE 32945",specialchem.com,Product directory,Marketplace,"Masterbatch product discovery",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",8,"HITOX-SF TDS",torminerals.com,TDS,Manufacturer,"Product-specific pigment data",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",9,"TiO2 and ZnO PBAT/TPS blown films",sciencedirect.com,Journal abstract,Research,"Defined nanocomposite film research; adjacent and non-transferable",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
"titanium dioxide blown film opacity",10,"All Products",heritage-plastics.com,Product catalogue,Manufacturer,"Broad additive catalogue; weak direct intent",SERP-GLOBAL-R02-PLASTIC-FILM-20260907
