"relation_id","grade","application","process_candidate","current_status","recommended_after_user_decision","source_ids","source_paths","source_type","source_date","applicability_scope","conflict","public_behavior_before_approval"
"REL-M350-COAT","M-350","Coatings","Chloride","VERIFIED_FOR_PUBLIC_MAPPING","VERIFIED_FOR_PUBLIC_MAPPING","SRC-M350-APPROVED;SRC-G1-APPROVED","docs/product-pages/02_M350_Complete_Template_Example_V1.0.md;pages/products/01_research/PRODUCT-000_GATE1_EVIDENCE_AUDIT_V0.1.md","approved product-level example;approved Gate 1 evidence record","2026-08-29","neutral grade-to-application mapping only;no ranking guarantee or equivalence","none","RENDER"
"REL-M350-PLAS","M-350","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-M350","https://www.mytio2.com/products/m-350/","legacy first-party product page;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral grade-to-application mapping only;no performance claim","not included in approved M-350 example","DO_NOT_RENDER"
"REL-M350-MB","M-350","Masterbatch","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-M350-APPROVED;SRC-WEB-M350","docs/product-pages/02_M350_Complete_Template_Example_V1.0.md;https://www.mytio2.com/products/m-350/","approved product example plus legacy fact candidate","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy page discourages commodity masterbatch but no approved negative claim","DO_NOT_RENDER"
"REL-M350-INK","M-350","Printing Inks","Chloride","VERIFIED_FOR_PUBLIC_MAPPING","VERIFIED_FOR_PUBLIC_MAPPING","SRC-M350-APPROVED;SRC-G1-APPROVED","docs/product-pages/02_M350_Complete_Template_Example_V1.0.md;pages/products/01_research/PRODUCT-000_GATE1_EVIDENCE_AUDIT_V0.1.md","approved product-level example;approved Gate 1 evidence record","2026-08-29","neutral grade-to-application mapping only;no ranking guarantee or equivalence","none","RENDER"
"REL-M350-PAPER","M-350","Paper","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-HOME","https://www.mytio2.com/","legacy first-party homepage application lead;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral Paper evaluation mapping only","not present in approved M-350 example or product SOP matrix","DO_NOT_RENDER"
"REL-M350-SPEC","M-350","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-M350-APPROVED","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;docs/product-pages/02_M350_Complete_Template_Example_V1.0.md","architecture candidates plus approved product example","2026-08-29","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M510-COAT","M-510","Coatings","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M510","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-510/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","none","DO_NOT_RENDER"
"REL-M510-PLAS","M-510","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-M510","https://www.mytio2.com/products/m-510/","legacy first-party product page;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral Plastics evaluation mapping only","not in Product SOP primary matrix","DO_NOT_RENDER"
"REL-M510-MB","M-510","Masterbatch","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-M510","https://www.mytio2.com/products/m-510/","legacy first-party product page;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral Masterbatch evaluation mapping only","not in Product SOP primary matrix","DO_NOT_RENDER"
"REL-M510-INK","M-510","Printing Inks","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-M510","https://www.mytio2.com/products/m-510/","legacy first-party product page;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral Printing Inks evaluation mapping only","not in Product SOP primary matrix","DO_NOT_RENDER"
"REL-M510-PAPER","M-510","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M510","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-510/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M510-SPEC","M-510","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M510","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-510/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M896-COAT","M-896","Coatings","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","none","DO_NOT_RENDER"
"REL-M896-PLAS","M-896","Plastics","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy page says designed for coatings;negative wording not approved here","DO_NOT_RENDER"
"REL-M896-MB","M-896","Masterbatch","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
