claim_id,page_id,claim_text_candidate,claim_type,source_ids,source_date,capture_date,scope,verification_status,render_decision,review_owner,notes
DOC-COO-CL-001,DOC-COO,"A proof of origin is used to certify the origin of a good and may take forms defined by the applicable agreement or procedure.",ORIGIN,DOC-COO-OFFICIAL-RMCD-001,"Updated through 2025-10-10",2026-09-04,"General Malaysian Customs guidance",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Do not attach to a TiO2 Malaysia product or shipment"
DOC-COO-CL-002,DOC-COO,"A certificate of origin is issued by a competent authority of the exporting country to certify the origin of the identified goods; preferential and non-preferential forms have different rule contexts.",ORIGIN,DOC-COO-OFFICIAL-RMCD-001,"Updated through 2025-10-10",2026-09-04,"General COO definition",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Keep transaction and rules-of-origin context visible"
DOC-COO-CL-003,DOC-COO,"Preferential treatment depends on the applicable agreement, proof of origin and supporting import documents rather than the existence of a generic product statement.",TRADE,DOC-COO-OFFICIAL-RMCD-001,"Updated through 2025-10-10",2026-09-04,"General process explanation",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"No destination-specific tariff outcome or legal advice"
DOC-COO-CL-004,DOC-COO,"Declaring goods as Malaysian origin requires the manufacturing process to satisfy the applicable non-preferential criteria set by MITI or the relevant trade-agreement origin criteria.",ORIGIN,"DOC-COO-OFFICIAL-RMCD-001;DOC-COO-OFFICIAL-MITI-001","2025-10-10 / 2015-05-14",2026-09-04,"General official rule; not company/product proof",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"MITI source is old and ATIGA-focused; use RMCD as current lead"
DOC-COO-CL-005,DOC-COO,"Malaysian exporters use different application channels for preferential and non-preferential certificates of origin.",ORIGIN,DOC-COO-OFFICIAL-RMCD-001,"Updated through 2025-10-10",2026-09-04,"General exporter-process guidance",VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Do not name a specific issuer for a TiO2 transaction without transaction evidence"
DOC-COO-CL-006,DOC-COO,"A certificate of origin alone guarantees customs acceptance or a specific duty outcome.",TRADE,DOC-COO-OFFICIAL-RMCD-001,"Updated through 2025-10-10",2026-09-04,"Customs outcome",CONTRADICTED,DO_NOT_RENDER,Project Control,"Official FAQ shows agreement, consistency, verification and supporting-document conditions"
DOC-COO-CL-007,DOC-COO,"TiO2 Malaysia products are of Malaysian origin.",ORIGIN,EG-001,2026-09-05,2026-09-13,"Site-wide Malaysia-origin public authority",USER_APPROVED,RENDER_WITH_APPROVED_SCOPE,Project Control,"Approved for visible copy and semantically equivalent SEO/GEO/social metadata/Schema; do not infer a transaction-specific certificate, customs treatment, tariff result, or shipment outcome"
DOC-COO-CL-008,DOC-COO,"A certificate of origin has been or will be issued for a TiO2 Malaysia order or shipment.",ORIGIN,DOCSRC-GAP-COO,2026-09-04,2026-09-04,"Transaction-specific issuance",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved order/shipment evidence"
DOC-COO-CL-009,DOC-COO,"TiO2 Malaysia provides verified batch or order traceability.",TRACEABILITY,DOCSRC-GAP-TRACE,2026-09-04,2026-09-04,"Company capability",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved first-party traceability capability record"
DOC-COO-CL-010,DOC-COO,"Buyers may request a qualified review of origin documents when the Request Documents route is eligible.",CONVERSION,DOCSRC-CONV-001,2026-09-04,2026-09-04,"Controlled request only",VERIFIED,CONTROLLED_REQUEST_ONLY,Project Control,"Receipt is not certificate issuance, origin confirmation or delivery"
