keyword,market,search_date,rank,domain,url,page_title,page_type,manufacturer_or_distributor,country,key_observation
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,1,oxquim.com.br,https://www.oxquim.com.br/produtos/dioxido-de-titanio/,Dióxido de Titânio | Fornecedor e Distribuidor | OXQuim,Corporate/content page,DISTRIBUTOR / SUPPLIER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,2,intercroma.com,https://www.intercroma.com/,Intercroma | produtos químicos,Corporate/content page,DISTRIBUTOR / SUPPLIER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,3,forneceb2b.com.br,https://www.forneceb2b.com.br/dioxido-de-titanio,Fornecedores de Dióxido de Titânio - ForneceB2B,Marketplace/directory,DIRECTORY / MARKETPLACE,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,4,sulfibra.com.br,https://sulfibra.com.br/produtos/dioxido-de-titanio/,Dióxido de Titânio - Sulfibra,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,5,dixem.com.br,https://www.dixem.com.br/,Página Inicial - Dixem Distribuidora,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,6,inducolor.com.br,https://inducolor.com.br/partners,:: INDUCOLOR ::,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,7,petratecnica.com,https://petratecnica.com/,Home - Petra Tecnica Importadora de Barita,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,8,assuncaodistribuidora.com.br,https://assuncaodistribuidora.com.br/produtos/dioxido-de-titanio-3/,Dióxido de Titânio - Assunção DistribuidoraAssunção Distribuidora,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,9,aromat.com.br,https://aromat.com.br/produto_categoria/dioxido-de-titanio/,Arquivos Dióxido de Titânio - Aromat | Distribuidora de Produtos Químicos,Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
fornecedor de dióxido de titânio Brasil,BRAZIL,2026-08-29,10,brenntag.com,https://www.brenntag.com/pt-br/produtos/dioxido-de-titanio.html,"Comprar Dióxido de Titânio: fornecedor, atacadista, distribuidor | Brenntag",Corporate/content page,MANUFACTURER / SUPPLIER / OTHER,BRAZIL,[source_id=SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829] Top-10 result set preserved; page-type mix supports the recorded intent.
titanium dioxide anti dumping Europe EU,EU,2026-08-29,1,eur-lex.europa.eu,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1617,Implementing regulation - EU - 2024/1617 - EN - EUR-Lex,Official/regulatory,NEITHER / OFFICIAL_OR_RESEARCH,EU,[source_id=SERP-EU-TIO2-ANTIDUMPING-20260829] Official legal/regulatory results dominate.
titanium dioxide anti dumping Europe EU,EU,2026-08-29,2,eur-lex.europa.eu,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX%3A52026XC04533,Notice of reopening the anti-dumping investigation concerning imports of titanium dioxide originating in the People’s Republic of China,Official/regulatory,NEITHER / OFFICIAL_OR_RESEARCH,EU,[source_id=SERP-EU-TIO2-ANTIDUMPING-20260829] Official legal/regulatory results dominate.
titanium dioxide anti dumping Europe EU,EU,2026-08-29,3,eur-lex.europa.eu,https://eur-lex.europa.eu/eli/reg_impl/2025/4/oj,Implementing regulation - EU - 2025/4 - EN - EUR-Lex,Official/regulatory,NEITHER / OFFICIAL_OR_RESEARCH,EU,[source_id=SERP-EU-TIO2-ANTIDUMPING-20260829] Official legal/regulatory results dominate.
