source_id,source_type,source_name,source_url,local_path,published_or_updated_date,captured_at,jurisdiction,usable_scope,completeness_status,bytes,sha256,limitations
UK-RAW-001,HTML,"TRA public case AD0086","https://public-file.trade-remedies.service.gov.uk/case/ad0086/","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_TRA_PUBLIC_FILE_AD0086_2026-09-06.html",2026-09-02,2026-09-06,UK,"Current case status; goods; codes; case dates",COMPLETE_PAGE_CAPTURE,137598,66496CC0B4049989C8454749B16418AEACC61DF6956E1467A6C557440D7CDD2F,"Dynamic future updates require recheck"
UK-RAW-002,HTML,"TRA opens investigation into Chinese imports of titanium dioxide","https://www.gov.uk/government/news/tra-opens-investigation-into-chinese-imports-of-titanium-dioxide","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_GOVUK_INITIATION_RELEASE_2026-03-03.html",2026-03-03,2026-09-06,UK,"Initiation; allegation character; investigation period",COMPLETE_PAGE_CAPTURE,70471,7D9420C59E59EB9E6B7B9435BAA308EAF449F1B1BE3F50757577814C674863A1,"Announcement is not a final determination"
UK-RAW-003,PDF,"Notice of initiation AD0086","https://afd-2xllir3jmyeq6-d9fkagedfdg4aabu.a02.azurefd.net/content/Notice-of-Initiation_SD-0000061515-P1D1.pdf","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_TRA_NOTICE_OF_INITIATION_AD0086_2026-03-03.pdf",2026-03-03,2026-09-06,UK,"Formal initiation; product/origin; codes; periods; procedure",COMPLETE_PDF,208333,671FC17E5754D1CC53C70B32A157BB35180AA088B6F37BAEF7B922342E170441,"No outcome or duty rate"
UK-RAW-004,HTML,"Trade Remedies Notice 2026/14","https://www.gov.uk/government/publications/trade-remedies-notice-registration-of-imports-of-rutile-titanium-dioxide-originating-from-china/trade-remedies-notice-202614-registration-of-imports-of-rutile-titanium-dioxide-originating-from-china","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_GOVUK_REGISTRATION_NOTICE_2026-03-26.html",2026-03-26,2026-09-06,UK,"Registration from 27 March; additional codes; duration; possible future liability",COMPLETE_PAGE_CAPTURE,76787,5F84B63A3E84EFC98CAB4A96E48C687EF76F44ECA7C1B4D8938070D0940C3601,"Registration is not a current duty rate"
UK-RAW-005,HTML,"UK Trade Tariff registration stop press","https://trade-tariff.service.gov.uk/news/stories/registration-of-imports-of-rutile-titanium-dioxide-from-china---26-march-2026","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_UK_TARIFF_REGISTRATION_2026-03-26.html",2026-03-26,2026-09-06,UK,"Operational registration notice",COMPLETE_PAGE_CAPTURE,63705,BD4852E41402A1C0F50F82E65937385980DB3252E6ABE9BC2F40E3C276A1EC3C,"Current tariff values still require live lookup"
UK-RAW-006,PDF,"AD0086 indicative case timeline","https://afd-2xllir3jmyeq6-d9fkagedfdg4aabu.a02.azurefd.net/content/General-publication---Case-timeline_SD-0000058879-P6W2.pdf","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_TRA_CASE_TIMELINE_AD0086_2026-03-03.pdf",2026-03-03,2026-09-06,UK,"Indicative stages and timing",COMPLETE_PDF,133758,96CAF7D8A614979B5CB4B1189864A9994B215F0295E7A4A90A9A24AD91D9A5C8,"Expressly indicative and non-legally binding"
UK-RAW-007,PDF,"AD0086 notice of extension","https://afd-2xllir3jmyeq6-d9fkagedfdg4aabu.a02.azurefd.net/content/General-publication---Notice-of-extension_SD-0000058512-S8Y8.pdf","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_TRA_NOTICE_OF_EXTENSION_AD0086_2026-05-11.pdf",2026-05-11,2026-09-06,UK,"Questionnaire deadline extension",COMPLETE_PDF,118450,F129746FEA30FD2A7F870CD394DB88BB5F589512029FC44C1130159A5CAB79BC,"Does not establish a remedy or final timetable"
UK-RAW-008,HTML,"Check anti-dumping countervailing and safeguard duties","https://www.gov.uk/guidance/check-when-you-need-to-pay-anti-dumping-countervailing-and-safeguard-duties","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_HMRC_TRADE_REMEDY_GUIDANCE_2026-09-06.html",UNAVAILABLE,2026-09-06,UK,"Non-preferential origin; measure-specific checks; circumvention concept",COMPLETE_PAGE_CAPTURE,87278,DB234C1C7654EC5AD00B7771810ABBDC86962FFC10E453B9E1FC6A3A4A5568A5,"Displayed source update date not recorded; captured date governs"
UK-RAW-009,HTML,"UK Trade Tariff","https://www.gov.uk/trade-tariff","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_GOVUK_TRADE_TARIFF_2026-09-06.html",UNAVAILABLE,2026-09-06,UK,"Current commodity/duty/VAT/suspension/reduction lookup",COMPLETE_PAGE_CAPTURE,67192,982A3CD04CAECECB6281BB97262A432154A795177115B20FB3B7985641EEDFFF,"Displayed source update date not recorded; no transaction values hardcoded"
UK-RAW-010,HTML,"Correct duty for goods brought into Northern Ireland","https://www.gov.uk/guidance/how-to-make-sure-the-correct-duty-is-applied-to-goods-you-bring-into-northern-ireland-from-countries-outside-of-the-eu-and-uk","pages/resources/uk-trade/01_research/evidence/RES-TRADE-UK_RAW_HMRC_NI_DUTY_GUIDANCE_2026-09-06.html",UNAVAILABLE,2026-09-06,UK-NI,"GB/NI distinction; EU/UK tariff and at-risk checks",COMPLETE_PAGE_CAPTURE,97186,789CEADB9EA99FFC32974EA8BE5DD135EA4D72427C4935AE5EFB4B508C1DD1A3,"Displayed source update date not recorded; transaction-specific analysis remains outside page conclusion"
