claim_id,page_id,claim_text,claim_class,source_ids,source_date,capture_or_decision_date,scope,verification_status,render_status,article_mapping,owner,notes
PLAS-C001,APP-PLAS,"APP-PLAS is the registered TiO2 for Plastics Application landing page at /applications/titanium-dioxide-for-plastics/ with a provisional URL.",PAGE_IDENTITY,"REGISTRY-V02;KWM-V11",2026-09-06,2026-09-07,"Identity and planning route only; no final Canonical or production-route approval",VERIFIED,"PLANNING_ONLY",N/A,"Project Control","Do not upgrade PROVISIONAL_URL"
PLAS-C002,APP-PLAS,"APP-PLAS is the sole current owner of the primary keyword titanium dioxide for plastics.",KEYWORD,"KWM-V11",2026-09-06,2026-09-07,"Generic Plastics Application intent only",VERIFIED,"RENDER_SEMANTICALLY",N/A,"Project Control","Exact Grade and country supplier terms remain excluded"
PLAS-C003,APP-PLAS,"The observable search result mix includes informational scientific or safety content and commercial technical-evaluation or product-selection pages.",SEARCH_INTENT,"PLAS-SI-V01;SERP-20260829",2026-09-07,2026-09-07,"Qualitative global English observation; not a quantified dominant-intent claim",PARTIALLY_VERIFIED,"GATE1_DIRECTION_ONLY",N/A,"Project Control","Volume KD CPC trend and controlled Google local rank unavailable"
PLAS-C004,APP-PLAS,"A defensible candidate comparison starts with the defined resin material state TiO2 introduction route process finished specimen exposure current reference endpoints and rejection conditions.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-001-006",2026-09-06,2026-09-07,"Approved article framework; not an industry standard or qualification result",USER_APPROVED,"RENDER_WITH_SCOPE","ADAPT","APP-PLAS","Preserve approved meaning"
PLAS-C005,APP-PLAS,"TiO2 has an optical role in plastics through light scattering and the meaning of optical performance belongs to the finished system.",TECHNICAL,"ARTICLE-A05C-007-012;D22-S01;D22-S02",2026-09-06,2026-09-07,"Qualitative role and finished-system interpretation; no Grade performance",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","No optimum loading undertone threshold or Grade ranking"
PLAS-C006,APP-PLAS,"Contrast-ratio opacity uses measurements over black and white backgrounds with stated measurement conditions.",METHOD,"ARTICLE-A05C-009-010;D22-S02",2023-04-20,2026-09-07,"Measurement example only; not a project method requirement or pass threshold",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Source is HunterLab measurement explanation"
PLAS-C007,APP-PLAS,"ISO 23900-5:2015 bounds FPV comparison by equipment conditions test polymer and consistent concentrate preparation.",METHOD,"ARTICLE-A05C-013-018;D22-S03",2015,2026-09-07,"Public ISO scope; not a universal FPV cutoff or full operating procedure",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Method edition must be rechecked before release"
PLAS-C008,APP-PLAS,"ISO 23900-6:2015 film-test scope excludes gels black specks and holes.",METHOD,"ARTICLE-A05C-013-018;D22-S04",2015,2026-09-07,"Public ISO scope; cannot identify the cause of a production-film hole",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Keep method and detection conditions"
PLAS-C009,APP-PLAS,"A favorable dispersion screen does not prove that the whole process will be defect-free and a production defect does not by itself prove TiO2 is the sole cause.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-016-018;D22-S03;D22-S04",2026-09-06,2026-09-07,"Bounded interpretation of method scopes",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Do not convert to defect diagnosis"
PLAS-C010,APP-PLAS,"There is no universal conversion from accelerated weathering hours to years of outdoor service.",TECHNICAL,"ARTICLE-A05C-019-024;D22-S05;D22-S06",2024-12-30,2026-09-07,"Accelerated versus field exposure interpretation",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","No service-life guarantee"
PLAS-C011,APP-PLAS,"A bounded durability comparison requires a declared material property endpoint laboratory exposure and relevant field comparator.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-019-024;D22-S05;D22-S06",2026-09-06,2026-09-07,"Article synthesis supported by source boundaries; not a universal protocol",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Missing fields hold only that inference"
PLAS-C012,APP-PLAS,"The TiO2 qualification question changes with material path including direct powder compound or Masterbatch route film construction and resin-specific material state.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-002;ARTICLE-A05C-025-036",2026-09-06,2026-09-07,"Question framing; no universal compatibility or processing rule",USER_APPROVED,"RENDER_WITH_SCOPE","ADAPT","APP-PLAS","Use to distinguish final-plastic evaluation paths"
PLAS-C013,APP-PLAS,"Detailed high-concentration Masterbatch carrier formulation and concentrate-production evaluation belongs to APP-MB rather than APP-PLAS.",OWNERSHIP,"REGISTRY-V02;KWM-V11;PLAS-SI-V01",2026-09-07,2026-09-07,"Project page responsibility synthesis",VERIFIED,"ROUTE_TO_OWNER","ROUTE_TO_OWNER","APP-MB","APP-PLAS may still explain Masterbatch as an introduction route"
PLAS-C014,APP-PLAS,"The cited PLA carrier study is a study-specific illustration and does not provide a recipe or universal carrier compatibility rule.",TECHNICAL,"ARTICLE-A05C-026-027;D22-S08",2025-09-08,2026-09-07,"Exact tested study only",USER_APPROVED,"ROUTE_TO_OWNER_WITH_SCOPE","ROUTE_TO_OWNER","APP-MB","Do not use as TiO2 Malaysia performance evidence"
PLAS-C015,APP-PLAS,"Film applications require finished-film optical dispersion processing and defect endpoints to remain distinct.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-028;D22-S03;D22-S04",2026-09-06,2026-09-07,"Application evaluation guidance",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","No universal film pass criterion"
PLAS-C016,APP-PLAS,"PET historical PC PBT and PA cases generate resin-specific property-retention and conditioning questions but are not transferable compatibility answers.",TECHNICAL,"ARTICLE-A05C-030-036;D22-S09;D22-S10;D22-S11;D22-S12;D22-S13",2026-09-06,2026-09-07,"Limited to the cited systems and recorded source access",USER_APPROVED,"RENDER_WITH_SCOPE","ADAPT","APP-PLAS","PBT has no pigment-specific conclusion in the admitted evidence"
PLAS-C017,APP-PLAS,"A TDS can support shortlisting but matching field names or similar values do not prove equivalence interchangeability or application qualification.",DOCUMENT_GUIDANCE,"ARTICLE-A05C-037-043",2026-09-06,2026-09-07,"Evaluation principle; current product documents not established by the article",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Document request behavior belongs to Documents owner"
PLAS-C018,APP-PLAS,"A field may be classified as comparable not comparable or requiring verification according to its method preparation specimen conditioning and reporting basis.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-038-041",2026-09-06,2026-09-07,"Article decision framework; not an ISO classification",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","No winner or ranking follows"
PLAS-C019,APP-PLAS,"The approved article contains no current TDS SDS CoA lot result or TiO2 Malaysia supplier value.",SOURCE_LIMIT,"ARTICLE-A05C-042;PLAS-ARTICLE-REVIEW-V01",2026-09-06,2026-09-07,"Exact article evidence scope",VERIFIED,"DO_NOT_EXPAND","KEEP_ADAPT","Project Control","Current product and transaction facts require their own sources"
PLAS-C020,APP-PLAS,"Candidate and incumbent comparison requires matched inputs and conditions while each endpoint keeps its own method and rejection rule.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-044-050",2026-09-06,2026-09-07,"Application-local qualification guidance; not a universal SOP",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Advance hold or reject applies only to the defined system and criterion"
PLAS-C021,APP-PLAS,"A production defect belongs in the matched-run record and wider investigation and cannot alone establish TiO2 as the sole cause.",TECHNICAL_GUIDANCE,"ARTICLE-A05C-049",2026-09-06,2026-09-07,"Multi-cause investigation boundary",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","Preserve formulation material equipment moisture thermal contamination and process context"
PLAS-C022,APP-PLAS,"Pigment price per unit mass and dosage alone do not establish cost at accepted output.",ECONOMIC_GUIDANCE,"ARTICLE-A05C-051-055;D22-S14",2026-09-06,2026-09-07,"Conditional evaluation frame; no TiO2 economics supplied by ASQ",USER_APPROVED,"RENDER_WITH_SCOPE","KEEP_ADAPT","APP-PLAS","No savings ROI payback or throughput claim"
PLAS-C023,APP-PLAS,"A focused supplier inquiry should state the resin material state introduction route formulation process specimen exposure reference endpoints methods and rejection conditions.",BUYER_GUIDANCE,"ARTICLE-A05C-056-062",2026-09-06,2026-09-07,"Buyer input checklist; not a formulation prescription",USER_APPROVED,"RENDER_WITH_SCOPE","ADAPT","APP-PLAS","Later page actions use their own owner routes"
PLAS-C024,APP-PLAS,"The exact governed article is approved as formal public-facing content input for later APP-PLAS page work.",USER_DECISION,"PLAS-ARTICLE-REVIEW-V01",2026-09-06,2026-09-06,"Exact reader-visible meaning and semantically aligned later metadata or Schema under separate page Gates",USER_APPROVED,"PLANNING_AUTHORITY",N/A,"User","Does not itself approve any page Gate HTML development or publication"
PLAS-C025,APP-PLAS,"Private A05C-STMT comments are trace markers and must not render to buyers.",PRESENTATION_CONTROL,"PLAS-ARTICLE-REVIEW-V01",2026-09-06,2026-09-07,"Buyer-facing derivative only",VERIFIED,"OMIT_FROM_PAGE","OMIT_FROM_PAGE","APP-PLAS","Retain traceability outside visible page"
PLAS-C026,APP-PLAS,"The neutral Plastics Grade set is M-350 M-510 M-200 M-108 M-210 M-340 M-886 and M-2377.",PRODUCT_RELATION,"PRODUCT-V03",2026-08-30,2026-09-07,"Neutral Grade-to-Plastics mapping only",VERIFIED,"RENDER_NEUTRAL_MAPPING",N/A,"Project Control","No ranking recommendation suitability availability performance equivalence or delivery implication"
PLAS-C027,APP-PLAS,"M-2377 may be neutrally mapped to Plastics while Specialty Materials remains hidden and Rubber remains evidence-only without a public taxonomy or page.",PRODUCT_RELATION,"PRODUCT-V03",2026-08-30,2026-09-07,"Current M-2377 relation scope",VERIFIED,"RENDER_WITH_SCOPE",N/A,"Project Control","Do not restore the historical global M-2377 hold"
PLAS-C028,APP-PLAS,"NO_PUBLIC_MAPPING means no approved positive public relationship and must not be rendered as not suitable or not applicable.",PRODUCT_RELATION_CONTROL,"PRODUCT-V03",2026-08-30,2026-09-07,"All non-verified Application rows",VERIFIED,"DO_NOT_RENDER_NEGATIVE_INFERENCE",N/A,"Project Control","Absence is not unsuitability"
PLAS-C029,APP-PLAS,"M-996 and M-2196 comparison ranking superiority equivalence substitution and selection rationale remain frozen.",PRODUCT_COMPARISON_CONTROL,"PRODUCT-V03",2026-08-30,2026-09-07,"Global comparison boundary; neither Grade is in the verified Plastics set",VERIFIED,"DO_NOT_RENDER_COMPARISON",N/A,"Project Control","Individual facts do not create a comparative claim"
PLAS-C030,APP-PLAS,"Malaysia-origin titanium dioxide is approved for suitable visible pages and semantically aligned SEO GEO social metadata and Schema.",USER_DECISION,"ORIGIN-AUTH-V10;EG-001",2026-09-05,2026-09-07,"Site-wide public origin statement only",USER_APPROVED,"RENDER_WITH_SCOPE",N/A,"User","Does not prove a shipment certificate customs treatment tariff or trade outcome"
