claim_id,exact_claim,claim_type,evidence_ids,source_date,last_verified_date,next_review_due,jurisdiction,product_scope,origin_scope,time_scope,verification_status,render_direction,notes
IN-T-C001,"The registered page is India Titanium Dioxide Trade Update at /resources/india-titanium-dioxide-anti-dumping-duty/ and owns the primary keyword india titanium dioxide anti dumping duty.",PAGE_IDENTITY,"PAGE_REGISTRY;KEYWORD_MASTER",2026-09-06,2026-09-06,N/A,PROJECT,Page identity,India,CURRENT,VERIFIED,"USE_AS_PAGE_CONTRACT","No new route or keyword"
IN-T-C002,"DGTR's current case page lists a remand final finding for the Titanium Dioxide investigation dated 3 August 2026.",CURRENT_PROCEDURAL_STATUS,"IN-RAW-001;IN-RAW-003",2026-08-03,2026-09-06,2026-10-06,INDIA,Defined Titanium Dioxide,China PR,"Current event sequence",VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_LAST_REVIEWED_DATE","Use F.No.6/03/2024-DGTR from the PDF; ignore legacy case-page file-number label"
IN-T-C003,"The Calcutta High Court judgment dated 22 September 2025 quashed DGTR's 12 February 2025 final findings and Notification No.12/2025-Customs (ADD) dated 10 May 2025.",COURT_AND_MEASURE_HISTORY,"IN-RAW-001;IN-RAW-002",2025-09-22,2026-09-06,2026-10-06,INDIA,Defined Titanium Dioxide,China PR,HISTORICAL,VERIFIED_OFFICIAL,"VISIBLE_IN_DATED_TIMELINE","Do not describe the 2025 levy as current"
IN-T-C004,"DGTR §210 states that duties after the remand can only be imposed when notified by the Ministry of Finance.",LEGAL_STAGE,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Defined Titanium Dioxide,China PR,CURRENT_RECOMMENDATION,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_DIRECT_ANSWER","Distinguishes DGTR recommendation from imposition"
IN-T-C005,"DGTR §§231-233 recommend definitive anti-dumping duty for five years from the date of a future Central Government notification.",RECOMMENDATION,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Defined Titanium Dioxide,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_AS_RECOMMENDATION","Not a current effective period"
IN-T-C006,"No later Ministry of Finance or CBIC Titanium Dioxide Customs (ADD) implementing notification was located in the official-source checks through 6 September 2026.",CURRENT_SOURCE_CONCLUSION,"IN-RAW-003;IN-RAW-006;IN-RAW-008",2026-09-06,2026-09-06,2026-10-06,INDIA,Defined Titanium Dioxide,China PR,AS_CHECKED,VERIFIED_WITH_CAPTURED_SOURCE_SET,"VISIBLE_AS_NOT_VERIFIED_IN_FORCE","Bounded negative research result; recheck before publication and transaction"
IN-T-C007,"The recommended product scope is Titanium Dioxide originating in or exported from China PR.",PRODUCT_AND_ORIGIN_SCOPE,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,CURRENT_RECOMMENDATION,VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Does not classify a shipment"
IN-T-C008,"The recommendation lists tariff items 28230010, 32061110 and 32061190, but says customs classification is indicative and PUC description controls.",CLASSIFICATION_SCOPE,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,CURRENT_RECOMMENDATION,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_QUALIFIER","Codes alone do not determine scope"
IN-T-C009,"The recommended scope excludes food, pharma, skin-care, specified textile and fibre applications, décor-paper use at fibre/pulp stage, and nano or ultrafine TiO2 below 100 nm.",EXCLUSION_SCOPE,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official exclusions,China PR,CURRENT_RECOMMENDATION,VERIFIED_CURRENT_OFFICIAL,"VISIBLE","Use detailed official descriptions at Gate 2"
IN-T-C010,"The textile exclusion does not extend to TiO2 used as a pigment for printing over textile, garment, cloth or fabric.",EXCLUSION_NUANCE,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Textile printing pigment,China PR,CURRENT_RECOMMENDATION,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_IF_EXCLUSIONS_SHOWN","Prevents overbroad exclusion claim"
IN-T-C011,"DGTR recommends USD 609/MT for the named Anhui Gold Star producer/exporter group.",RECOMMENDED_AMOUNT,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_IN_RECOMMENDATION_TABLE","Not verified in force"
IN-T-C012,"DGTR recommends USD 563/MT for the named Shandong Jinhai and Xianghai producer group.",RECOMMENDED_AMOUNT,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_IN_RECOMMENDATION_TABLE","Not verified in force"
IN-T-C013,"DGTR recommends USD 460/MT for the named LB Group producers.",RECOMMENDED_AMOUNT,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_IN_RECOMMENDATION_TABLE","Not verified in force"
IN-T-C014,"DGTR recommends USD 510/MT for the four named non-sampled cooperative producers.",RECOMMENDED_AMOUNT,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_IN_RECOMMENDATION_TABLE","Named list appears in duty-table footnote"
IN-T-C015,"DGTR recommends USD 681/MT for two distinct paths: China-origin subject goods exported from a country other than China by a producer other than duty-table rows 1-4; and subject goods originating in a country other than China and exported from China by any producer.",RECOMMENDED_AMOUNT,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,"China PR origin or China PR export as specified",FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_ONLY_IN_RECOMMENDATION_TABLE","Two separate duty-table rows; recommended and not verified in force"
IN-T-C016,"The individual recommended producer rates require the specified signed commercial-invoice declaration; without it the all-other rate would apply if a measure is implemented.",INVOICE_CONDITION,"IN-RAW-001;IN-RAW-002",2026-08-03,2026-09-06,2026-10-06,INDIA,Official PUC,China PR,FUTURE_IF_NOTIFIED,VERIFIED_CURRENT_OFFICIAL_CONDITIONAL,"VISIBLE_WITH_IF_QUALIFIER","Do not imply current collection"
IN-T-C017,"The CBIC GST schedule currently lists Chapter 28 general inorganic chemicals and heading 3206 at CGST 9% plus SGST/UTGST 9%, and IGST 18%.",GST_RATE_CONTEXT,"IN-RAW-004",UNAVAILABLE,2026-09-06,2026-10-06,INDIA,Chapter 28 general category and heading 3206,N/A,CURRENT_SCHEDULE,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_WITH_CLASSIFICATION_QUALIFIER","Import assessment depends on exact classification and current notifications"
IN-T-C018,"ICEGATE's official import-duty enquiry accepts tariff heading/description and optional country of origin, with origin relevant to preferential and anti-dumping duty checks.",OPERATIONAL_GUIDANCE,"IN-RAW-005",UNAVAILABLE,2026-09-06,2026-10-06,INDIA,Transaction-specific,Transaction-specific,CURRENT,VERIFIED_CURRENT_OFFICIAL,"VISIBLE_OFFICIAL_LINK","No BCD rate inferred"
IN-T-C019,"Basic Customs Duty, import IGST and anti-dumping duty are separate assessment components.",TAX_COMPONENT_DISTINCTION,"IN-RAW-004;IN-RAW-005;CTA_SECTION_3_7_8",UNAVAILABLE,2026-09-06,2026-10-06,INDIA,Transaction-specific,Transaction-specific,CURRENT,VERIFIED_OFFICIAL_FRAMEWORK,"VISIBLE","No transaction-specific total"
IN-T-C020,"Malaysia-origin titanium dioxide is approved for site-wide public use, and Certificate of Origin availability is approved.",USER_APPROVED_FACT,"EVIDENCE_GAP_REGISTER;MARKET-IN-001_CURRENT_BRIEF",2026-09-05,2026-09-06,N/A,PROJECT,Titanium dioxide,Malaysia,CURRENT,USER_APPROVED_CLOSED,"VISIBLE_WITHIN_APPROVED_SCOPE","Does not automatically determine customs outcome"
IN-T-C021,"MARKET-IN-001 owns India procurement; RES-TRADE-IN owns detailed India TiO2 trade-remedy status.",OWNERSHIP,"PAGE_REGISTRY;KEYWORD_MASTER;MARKET-IN-001_BRIEF",2026-09-06,2026-09-06,N/A,PROJECT,Page ownership,India,CURRENT,VERIFIED_PROJECT_CONTRACT,"USE_FOR_INTERNAL_LINKING","Prevents cannibalisation"
IN-T-C022,"Authenticated Google and Semrush volume, KD, CPC, trend and rank metrics were not obtained.",METHOD_LIMITATION,"IN-RAW-007;IN-RAW-008",2026-09-06,2026-09-06,N/A,UNCONTROLLED,Search evidence,India/EN,CURRENT_RUN,UNAVAILABLE_NOT_ZERO,"INTERNAL_ONLY","No numeric inference permitted"
IN-T-C023,"The approved Gate 1 direction leads with the quashed 2025 levy and the 2026 recommendation-not-verified-in-force distinction, then covers scope, producer table, tax-component separation, official checks and India procurement continuation.",APPROVED_DIRECTION,"RES-TRADE-IN-G1-01;RES-TRADE-IN-G1-PCR-01;USER_DECISION_2026-09-06",2026-09-06,2026-09-06,N/A,PROJECT,Page direction,India,CURRENT,USER_APPROVED_CLOSED,"GATE2_INPUT_APPROVED_NOT_AUTHORIZED","User replied 同意。; this closes Gate 1 but does not authorise Gate 2"
