page_id,url,target_public_access,target_indexable,target_sitemap,target_robots,target_http,exception
HOME-001,/,YES,YES,YES,"index, follow",200,NONE
ABOUT-001,/about/,YES,YES,YES,"index, follow",200,NONE
MARKET-000,/markets/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-001,/markets/european-union/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-DE,/markets/germany/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-IT,/markets/italy/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-ES,/markets/spain/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-PL,/markets/poland/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-NL,/markets/netherlands/,YES,YES,YES,"index, follow",200,NONE
MARKET-EU-BE,/markets/belgium/,YES,YES,YES,"index, follow",200,NONE
MARKET-UK-001,/markets/united-kingdom/,YES,YES,YES,"index, follow",200,NONE
MARKET-IN-001,/markets/india/,YES,YES,YES,"index, follow",200,NONE
MARKET-BR-EN,/markets/brazil/,YES,YES,YES,"index, follow",200,NONE
MARKET-BR-PT,/pt-br/markets/brazil/,YES,YES,YES,"index, follow",200,LOCALIZATION_AND_HREFLANG_MUST_CLOSE_BEFORE_RELEASE
PRODUCT-000,/products/,YES,YES,YES,"index, follow",200,NONE
PRODUCT-PROC-CL,/products/chloride-process-titanium-dioxide/,YES,YES,YES,"index, follow",200,NONE
PRODUCT-PROC-SU,/products/sulfate-process-titanium-dioxide/,YES,YES,YES,"index, follow",200,NONE
GRADE-M350,/products/m-350/,YES,YES,YES,"index, follow",200,NONE
GRADE-M510,/products/m-510/,YES,YES,YES,"index, follow",200,NONE
GRADE-M896,/products/m-896/,YES,YES,YES,"index, follow",200,NONE
GRADE-M996,/products/m-996/,YES,YES,YES,"index, follow",200,UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER
GRADE-M2196,/products/m-2196/,YES,YES,YES,"index, follow",200,UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER
GRADE-M895,/products/m-895/,YES,YES,YES,"index, follow",200,NONE
GRADE-M200,/products/m-200/,YES,YES,YES,"index, follow",200,NONE
GRADE-M108,/products/m-108/,YES,YES,YES,"index, follow",200,NONE
GRADE-M210,/products/m-210/,YES,YES,YES,"index, follow",200,NONE
GRADE-M340,/products/m-340/,YES,YES,YES,"index, follow",200,NONE
GRADE-M886,/products/m-886/,YES,YES,YES,"index, follow",200,NONE
GRADE-M52,/products/m-52/,YES,YES,YES,"index, follow",200,NONE
GRADE-M2377,/products/m-2377/,YES,YES,YES,"index, follow",200,UNVERIFIED_PROCESS_OR_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER
GRADE-CR901,/products/cr-901/,YES,YES,YES,"index, follow",200,NONE
APP-000,/applications/,YES,YES,YES,"index, follow",200,FINAL_PAGE_CONTRACT_MUST_CLOSE_BEFORE_RELEASE
APP-COAT,/applications/titanium-dioxide-for-coatings/,YES,YES,YES,"index, follow",200,FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE
APP-PLAS,/applications/titanium-dioxide-for-plastics/,YES,YES,YES,"index, follow",200,FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE
APP-MB,/applications/titanium-dioxide-for-masterbatch/,YES,YES,YES,"index, follow",200,FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE
APP-INK,/applications/titanium-dioxide-for-printing-inks/,YES,YES,YES,"index, follow",200,FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE
APP-PAPER,/applications/titanium-dioxide-for-paper/,YES,YES,YES,"index, follow",200,FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE
DOC-000,/documents/,YES,YES,YES,"index, follow",200,FINAL_PAGE_CONTRACT_MUST_CLOSE_BEFORE_RELEASE
DOC-REACH,/documents/reach/,YES,YES,YES,"index, follow",200,UNVERIFIED_REGULATORY_CLAIMS_MUST_NOT_RENDER
DOC-TDS,/documents/tds-sds-coa/,YES,YES,YES,"index, follow",200,UNVERIFIED_AVAILABILITY_CLAIMS_MUST_NOT_RENDER
DOC-COO,/documents/certificate-of-origin/,YES,YES,YES,"index, follow",200,UNVERIFIED_SHIPMENT_OR_CERTIFICATE_CLAIMS_MUST_NOT_RENDER
CONV-DOC,/request-documents/,YES,YES,YES,"index, follow",200,CONTROLLED_REQUEST_WORKFLOW_MUST_MATCH_APPROVED_CAPABILITIES
RES-000,/resources/,YES,YES,YES,"index, follow",200,FINAL_PAGE_CONTRACT_MUST_CLOSE_BEFORE_RELEASE
RES-ORIGIN,/resources/non-china-titanium-dioxide/,YES,YES,YES,"index, follow",200,NO_DUTY_CIRCUMVENTION_OR_UNVERIFIED_COMPARISON
RES-PROC,/resources/chloride-vs-sulfate-titanium-dioxide/,YES,YES,YES,"index, follow",200,NO_ROUTE_ONLY_GRADE_PERFORMANCE_CONCLUSION
RES-CHEMOURS,/resources/chemours-titanium-dioxide-alternatives/,YES,YES,YES,"index, follow",200,NO_UNVERIFIED_EQUIVALENCE
RES-R706,/resources/ti-pure-r-706-alternative/,YES,YES,YES,"index, follow",200,NO_UNVERIFIED_EQUIVALENCE
RES-TRADE-EU,/resources/eu-titanium-dioxide-anti-dumping-duty/,YES,YES,YES,"index, follow",200,CURRENT_OFFICIAL_SOURCE_AND_DATE_REQUIRED
RES-TRADE-UK,/resources/uk-titanium-dioxide-anti-dumping-investigation/,YES,YES,YES,"index, follow",200,CURRENT_OFFICIAL_SOURCE_AND_DATE_REQUIRED
RES-TRADE-IN,/resources/india-titanium-dioxide-anti-dumping-duty/,YES,YES,YES,"index, follow",200,CURRENT_OFFICIAL_SOURCE_AND_DATE_REQUIRED
RES-TRADE-BR,/resources/brazil-titanium-dioxide-anti-dumping-duty/,YES,YES,YES,"index, follow",200,CURRENT_OFFICIAL_SOURCE_AND_DATE_REQUIRED
CONV-RFQ,/request-a-quote/,YES,YES,YES,"index, follow",200,FORM_SUCCESS_REQUIRES_PROVIDER_ACKNOWLEDGEMENT
CONV-SAMPLE,/request-sample/,YES,YES,YES,"index, follow",200,FORM_SUCCESS_REQUIRES_PROVIDER_ACKNOWLEDGEMENT
CONTACT-001,/contact/,YES,YES,YES,"index, follow",200,VERIFIED_CONTACT_DETAILS_REQUIRED
LEGAL-PRIV-EN,/privacy-policy/,YES,YES,YES,"index, follow",200,MUST_MATCH_ACTUAL_GA4_AND_CONSENT_BEHAVIOUR
LEGAL-PRIV-MS,/ms/privacy-policy/,YES,YES,YES,"index, follow",200,LEGAL_EQUIVALENCE_AND_HREFLANG_REQUIRED
LEGAL-COOKIE-EN,/cookie-policy/,YES,YES,YES,"index, follow",200,MUST_MATCH_ACTUAL_STORAGE_INVENTORY
SYS-404,RUNTIME_FALLBACK,YES,NO,NO,"noindex, follow",404,RUNTIME_FALLBACK_NOT_AN_INDEXABLE_ROUTE
CONV-THANK,/thank-you/,YES,NO,NO,"noindex, nofollow",200,POST_SUBMISSION_UTILITY_NO_PII
