keyword_or_cluster,page_a,page_b,risk_level,reason,recommended_resolution
Malaysia TiO2 vs Malaysia-origin TiO2,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MARKETS / HOME,HIGH,Brand/origin shorthand overlaps company/location intent.,Make Malaysia Origin the canonical owner; markets support with contextual links.
TiO2 supplier Europe vs EU market page,MARKETS > European Union,EU country pages,HIGH,Generic Europe supplier intent can be duplicated across regional and country pages.,EU page owns generic Europe/EU; country pages require explicit country modifier.
titanium dioxide for paint vs coatings,APPLICATIONS > TiO2 for Coatings,Potential paint page,HIGH,SERP intent and product use substantially overlap.,Merge paint terms into coatings page; no separate paint page without new SERP evidence.
titanium dioxide masterbatch vs titanium dioxide for masterbatch,APPLICATIONS > TiO2 for Masterbatch,Potential finished masterbatch product page,HIGH,Local SERP evidence shows finished masterbatch/patent intent differs from pigment-for-masterbatch supplier intent.,Target 'for masterbatch' on application page; do not claim finished masterbatch supply unless portfolio supports it.
chloride TiO2 vs individual chloride grades,PRODUCTS > Chloride Process TiO2,PRODUCTS > Individual Grade Pages,HIGH,Process-level and grade-level terms can compete.,Process page owns category/comparison intent; grade pages own exact grade/spec intent.
country page vs application page,MARKETS > country,APPLICATIONS > use case,MEDIUM,Queries such as 'TiO2 for paint India' combine geography and application.,Country page owns market-modified query; link to global application page for technical depth.
COO origin page vs compliance COO page,MALAYSIA ORIGIN > Malaysia COO,COMPLIANCE & DOCUMENTS > COO,HIGH,Both can target certificate/origin wording.,Origin page explains Malaysia provenance; compliance page handles document request and evidence workflow.
REACH market page vs REACH compliance page,MARKETS > European Union,COMPLIANCE & DOCUMENTS > REACH,MEDIUM,EU buyers search REACH within market research.,Compliance page owns REACH query; EU page summarizes and links.
Brazil English vs Portuguese market content,MARKETS > Brazil (EN),Portuguese candidate,MEDIUM,Same commercial intent in different languages.,"If approved, localize deliberately with hreflang/canonical governance; avoid mixed duplicate pages."
brand alternative guide vs grade pages,RESOURCES > Technical Guides,PRODUCTS > Individual Grade Pages,HIGH,Alternative/equivalent terms can imply unsupported substitution.,"Guide discusses evaluation framework only; grade pages state validated properties, never automatic equivalence."
