query,rank,title,domain,page_type,role,intent_observation,raw_batch
"titanium dioxide for powder coatings",1,"TiO2 for Powder Coatings — Grades, Dosage, Formulation",tio2agents.com,Dedicated application/supplier page,Supplier,"Direct topic match, but includes unsupported universal recipes, thresholds and grade claims",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",2,"Titanium Dioxide - TiO2 Pigment for Paints, Coatings & Inks",specialchem.com,General technical guide,Industry platform,"Broader coatings selection intent; powder is not the sole task",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",3,"Titanium Dioxide For Powder Coating",tlzchina.com,Dedicated application/supplier page,Supplier,"Direct commercial topic match with resin-system compatibility language",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",4,"Titanium dioxide",ineos.com,Manufacturer portfolio page,Manufacturer,"Portfolio includes powder-coating applications and grade positioning; proprietary claims",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",5,"Titanium Dioxide Solutions for Coatings",tipure.com,Manufacturer application page,Manufacturer,"Dedicated powder section covering flow, optics, durability and overbake themes",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",6,"Titanium Dioxide for Powder Coatings - High Opacity & Eco TiO2",hxtio2.com,Dedicated application/supplier page,Supplier,"Direct topic match but broad and promotional performance assertions",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",7,"Titanium Dioxide for Powder Coatings",b2bwiki.baidu.com,Dedicated application article,B2B platform,"Direct match with unsupported statistics, dosages and thresholds; low authority",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",8,"TiO2 For Powder Coatings: Extrusion And Flow",hnlongtai.com,Dedicated technical/supplier page,Supplier,"Direct process-to-film comparison framing, but supplier-origin claims require control",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",9,"How to choose titanium dioxide pigment for powder coating?",tio2.info,Dedicated explanatory article,Industry blog,"Selection intent around treatment, distribution and application properties; low authority",SERP-GLOBAL-R03-POWDER-COATINGS-20260908
"titanium dioxide for powder coatings",10,"Titanium Dioxide for Coatings",chemours.com,Manufacturer PDF,Manufacturer,"Broad coatings guide with a substantive powder-coating section",SERP-GLOBAL-R03-POWDER-COATINGS-20260908

