claim_id,page_id,claim_text_candidate,claim_type,source_ids,source_date,capture_date,scope,verification_status,render_decision,review_owner,notes
DOC-TDS-CL-001,DOC-TDS,"A technical data sheet supports technical evaluation of a defined product or grade and should be read with its revision and stated scope.",DOCUMENT,"DOCSRC-GOV-005;DOCSRC-TDS-RULE-001",2026-09-02,2026-09-04,"General guidance; not a public-availability claim",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"Final Gate 2 wording needs a stable external or approved internal definition source"
DOC-TDS-CL-002,DOC-TDS,"A safety data sheet supports hazard and safe-handling communication for the identified product and applicable jurisdiction, language and revision.",DOCUMENT,DOCSRC-GOV-005,2026-09-01,2026-09-04,"General guidance only",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"No first-party SDS inventory or page-specific official definition captured yet"
DOC-TDS-CL-003,DOC-TDS,"A certificate of analysis reports analytical results for a defined production lot and must not be treated as a generic product specification.",DOCUMENT,DOCSRC-GOV-005,2026-09-01,2026-09-04,"General guidance only",PARTIALLY_VERIFIED,RENDER_WITH_QUALIFIER,Project Control,"No first-party COA inventory identified"
DOC-TDS-CL-004,DOC-TDS,"The TiO2 Malaysia product architecture contains fourteen approved Grade identities.",PRODUCT,"DOCSRC-GOV-001;DOCSRC-GOV-003",2026-09-02,2026-09-04,"Neutral product-system count only",VERIFIED,RENDER,Project Control,"Does not create a Grade-to-document relation"
DOC-TDS-CL-005,DOC-TDS,"Local grade-matched TDS evidence files exist for all fourteen Grade identities.",DOCUMENT,"DOCSRC-TDS-RULE-001;DOCSRC-TDS-M350;DOCSRC-TDS-M510;DOCSRC-TDS-M896;DOCSRC-TDS-M996-V3;DOCSRC-TDS-M2196;DOCSRC-TDS-M895-V1;DOCSRC-TDS-M200;DOCSRC-TDS-M108;DOCSRC-TDS-M210;DOCSRC-TDS-M340;DOCSRC-TDS-M886-V1;DOCSRC-TDS-M52;DOCSRC-TDS-M2377-V3;DOCSRC-TDS-CR901",2026-09-04,2026-09-04,"Internal evidence state only",VERIFIED,DO_NOT_RENDER,Project Control,"Source presence and product evidence validity do not authorize a public inventory or download"
DOC-TDS-CL-006,DOC-TDS,"TDS files are available for public download.",DOCUMENT,DOCSRC-GAP-SDS,2026-09-04,2026-09-04,"Public inventory and delivery",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved public inventory or download authority"
DOC-TDS-CL-007,DOC-TDS,"SDS files are available for every grade, market and language.",DOCUMENT,DOCSRC-GAP-SDS,2026-09-04,2026-09-04,"Universal availability",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved first-party SDS inventory"
DOC-TDS-CL-008,DOC-TDS,"COA documents are available without a lot or order context.",DOCUMENT,DOCSRC-GAP-COA,2026-09-04,2026-09-04,"Generic COA availability",UNAVAILABLE,DO_NOT_RENDER,Project Control,"No approved first-party COA inventory or lot relationship"
DOC-TDS-CL-009,DOC-TDS,"Buyers may submit a controlled document request when the Request Documents route is eligible.",CONVERSION,DOCSRC-CONV-001,2026-09-04,2026-09-04,"Visible only with approved route/readiness state",VERIFIED,CONTROLLED_REQUEST_ONLY,Project Control,"Production credential and mailbox delivery remain Gate 10 release blockers"
DOC-TDS-CL-010,DOC-TDS,"Request receipt means the request enters review; it does not mean a document exists, applies, is approved for release or has been delivered.",CONVERSION,"DOCSRC-GOV-005;DOCSRC-CONV-001",2026-09-04,2026-09-04,"Request-process boundary",VERIFIED,RENDER,Project Control,"Keep concise and adjacent to the request action"
