claim_id,module_id,claim_text,source_id,source_path,source_date,scope,verification_status,public_behavior,notes
MB-C001,evaluation-system,"Concentrate preparation and final-article testing answer different parts of a TiO2 pigment evaluation.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"Illustrated by the tested LLDPE masterbatch and cast-film system; not universal formulation guidance",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Covers article statements 001-003"
MB-C002,evaluation-system,"A useful system declaration separates carrier identity and Grade, receiving resin, concentrate and final pigment fractions, preparation, conversion and final specimen.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"Project evaluation synthesis informed by the study design",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statement 004; not an ISO or industry SOP"
MB-C003,comparison-basis,"ISO 23900-5:2015 ties FPV comparison to equipment, conditions, test polymer and consistent concentrate preparation.",S02,https://www.iso.org/obp/ui/en/#!iso:std:61929:en,2015,"Public preview scope only; not full operating procedure or pass threshold",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Statements 005-010"
MB-C004,comparison-basis,"Comparison status can be expressed as comparable, not comparable or still requiring verification without naming a product winner.",SYNTH-01,"D:\22文案写作分析\projects\titanium-dioxide-for-masterbatch\a05-editing-production\run-03-rqr-reader-quality-v1\article-edited.md",2026-09-05,"Buyer decision framework; not attributed to ISO",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statement 010"
MB-C005,evidence-interpretation,"Flow, microscopy and final-specimen measurements answer different process, spatial and functional questions.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"Limited to distinctions supported by the study's separate observations",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Statement 011"
MB-C006,evidence-interpretation,"FPV interpretation remains bounded by preparation, equipment, conditions and test polymer.",S02,https://www.iso.org/obp/ui/en/#!iso:std:61929:en,2015,"ISO public-preview comparison boundary only",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"ISO clause in statement 012 must cite S02 after correction"
MB-C007,evidence-interpretation,"Morphology observations describe sampled spatial state and cannot establish whole-lot homogeneity from one field.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"Study-informed scope plus conservative sampling boundary",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Study clause in statement 012 must cite S01"
MB-C008,evidence-interpretation,"Optical, color, mechanical and ageing or retention results remain separate final-specimen endpoints.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"LLDPE cast-film example; no transfer to other systems",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Statements 013-018"
MB-C009,evaluation-boundary,"Favorable process evidence may justify final-specimen testing but cannot close an unmeasured final-use requirement.",SYNTH-02,"D:\22文案写作分析\projects\titanium-dioxide-for-masterbatch\a05-editing-production\run-03-rqr-reader-quality-v1\article-edited.md",2026-09-05,"Bounded inference from stage separation; not a universal pass/fail rule",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statements 019-026"
MB-C010,evaluation-boundary,"The cited accelerated-ageing observations are not outdoor service-life evidence.",S01,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503362/,2020,"Negative scope boundary for the cited study",VERIFIED_WITH_SCOPE,RENDER_WITH_QUALIFIER,"Statement 021"
MB-C011,documents,"A TDS supports screening, a lot CoA concerns an identified lot, an SDS communicates safety information, and an application report describes a tested system.",S03-S04,"https://www.tipure.com/en/products/plastics/r-350/ | https://www.kronosww.com/grade/kronos-2220/",publication-year-unavailable,"Manufacturer-page examples frame document identity; they do not prove TiO2 Malaysia document availability",VERIFIED_AS_EXTERNAL_EXAMPLE,RENDER_WITH_QUALIFIER,"Statements 027-034"
MB-C012,documents,"Current readable documents and application data should be verified for the declared Masterbatch system before candidate comparison.",USER-CORRECTION-01,"D:\23MySec\docs\superpowers\specs\2026-09-06-app-mb-article-to-application-page-design.md",2026-09-06,"Buyer action wording; no company-wide absence claim",PENDING_CORRECTED_ARTICLE,RENDER_AFTER_CORRECTION,"Replaces statement 035 wording"
MB-C013,qualification-workflow,"A staged qualification framework can guide limited progress/hold decisions but is not an ISO requirement, industry SOP or report of a passed candidate.",SYNTH-03,"D:\22文案写作分析\projects\titanium-dioxide-for-masterbatch\a05-editing-production\run-03-rqr-reader-quality-v1\article-edited.md",2026-09-05,"Project synthesis from S01/S02 distinctions",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statements 036-043"
MB-C014,economics,"Powder price and nominal loading do not alone establish cost-in-use; economic comparison becomes meaningful after an equal accepted functional endpoint in the declared system.",SYNTH-04,"D:\22文案写作分析\projects\titanium-dioxide-for-masterbatch\a05-editing-production\run-03-rqr-reader-quality-v1\article-edited.md",2026-09-05,"Analytical guidance; not ISO/study economic result",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statements 044-045"
MB-C015,economics,"Without equal qualification and current commercial/operating inputs, the next step is a targeted data request rather than a savings estimate or Grade winner.",USER-CORRECTION-02,"D:\23MySec\docs\superpowers\specs\2026-09-06-app-mb-article-to-application-page-design.md",2026-09-06,"Conditional Buyer Clean close",PENDING_CORRECTED_ARTICLE,RENDER_AFTER_CORRECTION,"Replaces statement 046 internal wording"
MB-C016,qualification-inquiry,"A focused inquiry declares carrier and receiving resin, pigment fractions, process, specimen, target endpoints, comparison basis, document needs, trial stage and unresolved items.",SYNTH-05,"D:\22文案写作分析\projects\titanium-dioxide-for-masterbatch\a05-editing-production\run-03-rqr-reader-quality-v1\article-edited.md",2026-09-05,"Buyer-input checklist; not a formulation prescription",PROJECT_SYNTHESIS,RENDER_WITH_QUALIFIER,"Statements 047 and 050"
MB-C017,grades-to-review,"The neutral Masterbatch set is M-510, M-200, M-108, M-210, M-340, M-886 and M-2377.",PROD-V03,"D:\23MySec\pages\products\01_research\PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv",2026-08-30,"Neutral Grade-to-Application mapping only",VERIFIED_FOR_PUBLIC_MAPPING,RENDER_NEUTRAL_MAPPING,"Statements 048-049; no ranking recommendation equivalence availability or performance"
MB-C018,sources,"The page may cite the LLDPE study, ISO public preview and two manufacturer-page examples only within their recorded roles and limits.",SOURCE-GOV-01,"D:\23MySec\pages\applications\masterbatch\01_research\APP-MB_GATE1_ARTICLE_INPUT_AUDIT_V0.1.md",2026-09-06,"Accessible source notes; no publisher invention or hidden factual expansion",VERIFIED_GOVERNANCE_RULE,RENDER_SOURCE_NOTES,"Source notes 1-4"
