evidence_id,keyword,source_id,database,market,language,date,search_volume,global_volume,kd_percent,cpc,trend,intent,status,interpretation
R01-KW-001,titanium dioxide for pvc,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,Unavailable,Unavailable,4,Unavailable,Unavailable,Commercial,VERIFIED_CAPTURE,"Exact demand is unavailable; low KD must not be treated as traffic potential."
R01-KW-002,titanium dioxide for pvc,01_keyword_master.csv,Project keyword master,GLOBAL,EN,2026-08-29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Commercial / Technical Evaluation,VERIFIED_EXISTING,"Existing APP-02 secondary term; current parent owner is APP-PLAS."
R01-KW-003,titanium dioxide for pvc pipes,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"One of eight returned long tails; row metrics were marked for refresh."
R01-KW-004,titanium dioxide for pvc profile,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Natural profile long tail."
R01-KW-005,titanium dioxide for pvc profile factories,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Supplier/factory modifier; not a proposed primary topic."
R01-KW-006,titanium dioxide for pvc profile factory,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Supplier/factory modifier; not a proposed primary topic."
R01-KW-007,titanium dioxide for pvc profile manufacturer,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Supplier modifier; supports commercial specificity but not measurable demand."
R01-KW-008,titanium dioxide for pvc profile manufacturers,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Plural supplier modifier."
R01-KW-009,titanium dioxide for pvc profile suppliers,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Supplier modifier."
R01-KW-010,wholesale titanium dioxide for pvc profile,SEMRUSH-US-R01-PVC-20260907,Semrush,US,EN,2026-09-07,0,Unavailable,Unavailable,0.00,Unavailable,Unavailable,VERIFIED_CAPTURE_REQUIRES_REFRESH,"Wholesale modifier; too narrow for a separate article."
