cluster_id,cluster_name,primary_keyword,secondary_keywords,market,intent,recommended_architecture,recommended_page_type,combined_search_volume,commercial_value,priority,cannibalization_risk,notes
ORIGIN-01,Malaysia-origin supply,malaysia titanium dioxide,titanium dioxide malaysia | malaysia tio2 | titanium dioxide supplier malaysia | malaysia titanium dioxide supplier | malaysia titanium dioxide manufacturer | malaysia origin titanium dioxide | malaysia-origin titanium dioxide | made in malaysia titanium dioxide | titanium dioxide manufactured in malaysia | malaysia titanium dioxide exporter | export titanium dioxide from malaysia | malaysia titanium dioxide country of origin | malaysia coo titanium dioxide | titanium dioxide traceability malaysia,GLOBAL,I,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,Origin landing/supporting content,Unavailable,5,P2,MEDIUM,"Keep supplier, manufacturing, COO and export variants within the existing origin architecture. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=62.4 across 15 member keywords; Unavailable demand/feasibility scored 0."
ORIGIN-02,Alternative origin,non china titanium dioxide,non chinese titanium dioxide supplier | titanium dioxide alternative origin | alternative tio2 supplier | alternative titanium dioxide supplier | titanium dioxide supplier outside china,GLOBAL,I,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,Supporting section,Unavailable,5,P2,MEDIUM,Use origin diversification language; never imply transshipment or duty circumvention. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=63.3 across 6 member keywords; Unavailable demand/feasibility scored 0.
MARKET-EU-01,Europe commercial,titanium dioxide supplier europe,tio2 supplier europe | titanium dioxide manufacturer europe | titanium dioxide importer europe | malaysia titanium dioxide europe | non china titanium dioxide europe | titanium dioxide anti dumping europe | titanium dioxide tariff europe | titanium dioxide import europe | titanium dioxide for coatings europe,EU,C,MARKETS > European Union,Market page,Unavailable,5,P1,HIGH,EU page owns Europe/EU supplier intent; country pages handle explicit country modifiers. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=71.0 across 10 member keywords; Unavailable demand/feasibility scored 0.
MARKET-EU-02,EU country supplier,titanium dioxide supplier germany,tio2 supplier germany | titanium dioxide supplier italy | titanium dioxide supplier spain | titanium dioxide supplier poland | titanium dioxide supplier netherlands | titanium dioxide supplier belgium | malaysia titanium dioxide eu | tio2 supplier eu,EU,C,MARKETS > country pages,Market pages,Unavailable,5,P2,HIGH,Only Germany has direct proxy metrics; other country data are unavailable. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=69.2 across 9 member keywords; Unavailable demand/feasibility scored 0.
MARKET-UK-01,UK commercial,titanium dioxide supplier uk,tio2 supplier uk | titanium dioxide manufacturer uk | titanium dioxide import uk | malaysia titanium dioxide uk | non china titanium dioxide uk | titanium dioxide anti dumping uk | titanium dioxide tariff uk,UK,C,MARKETS > United Kingdom,Market page,Unavailable,5,P1,MEDIUM,Local distributor SERP; origin/trade sections support buyer evaluation. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=70.5 across 8 member keywords; Unavailable demand/feasibility scored 0.
MARKET-IN-01,India commercial,titanium dioxide supplier india,tio2 supplier india | titanium dioxide manufacturer india | titanium dioxide import india | malaysia titanium dioxide india | non china titanium dioxide india | titanium dioxide price india | titanium dioxide anti dumping india | titanium dioxide for paint india | titanium dioxide for plastics india | titanium dioxide for masterbatch india,INDIA,C,MARKETS > India,Market page,Unavailable,5,P1,MEDIUM,Price and supplier intent are commercially useful despite unavailable volume. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=74.5 across 11 member keywords; Unavailable demand/feasibility scored 0.
MARKET-BR-EN,Brazil English,titanium dioxide supplier brazil,titanium dioxide brazil | tio2 brazil | titanium dioxide importer brazil | malaysia titanium dioxide brazil | non china titanium dioxide brazil | titanium dioxide anti dumping brazil,BRAZIL,C,MARKETS > Brazil,Market page,Unavailable,4,P2,MEDIUM,English demand evidence is limited. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=69.3 across 7 member keywords; Unavailable demand/feasibility scored 0.
MARKET-BR-PT,Brazil Portuguese,fornecedor de dióxido de titânio,dióxido de titânio brasil | importador de dióxido de titânio | dióxido de titânio para tintas | dióxido de titânio para plásticos | fornecedor de tio2 brasil | fabricante de dióxido de titânio brasil | dióxido de titânio preço | antidumping dióxido de titânio china brasil,BRAZIL,I,MARKETS > Brazil,Localized market content candidate,Unavailable,5,P1,HIGH,Portuguese SERP and one measurable coatings term support localization review. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=70.9 across 9 member keywords; Unavailable demand/feasibility scored 0.
PRODUCT-01,Core pigment,titanium dioxide pigment,tio2 pigment supplier | industrial titanium dioxide supplier | titanium white pigment | titanium dioxide grades | titanium dioxide grade selection,GLOBAL,C,PRODUCTS > Titanium Dioxide Products,Product hub,Unavailable,5,P2,MEDIUM,Core commercial entry. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=58.0 across 6 member keywords; Unavailable demand/feasibility scored 0.
PRODUCT-02,Rutile,rutile titanium dioxide,rutile tio2 supplier | rutile titanium dioxide pigment,GLOBAL,C,PRODUCTS > Titanium Dioxide Products,Product hub/grade pages,Unavailable,5,P2,MEDIUM,Avoid one page per trivial synonym. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=59.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
PRODUCT-03,Chloride process,chloride process titanium dioxide,chloride tio2 | chloride process tio2 supplier,GLOBAL,C,PRODUCTS > Chloride Process TiO2,Product page,Unavailable,5,P2,HIGH,Keep process page distinct from individual grade pages. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=59.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
PRODUCT-04,Sulfate process,sulfate process titanium dioxide,sulphate process titanium dioxide | sulfate tio2 supplier,GLOBAL,C,PRODUCTS > Sulfate Process TiO2,Product page,Unavailable,4,P3,MEDIUM,Map sulphate spelling variant to same page. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=54.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
PRODUCT-05,Performance selection,chloride vs sulfate titanium dioxide,high opacity titanium dioxide | high hiding power titanium dioxide | weather resistant titanium dioxide | blue undertone titanium dioxide,GLOBAL,M,RESOURCES > Buying Guides,Buying guide,Unavailable,4,P3,MEDIUM,"Candidate support guide, not a new first-level section. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=53.0 across 5 member keywords; Unavailable demand/feasibility scored 0."
APP-01,Coatings,titanium dioxide for coatings,titanium dioxide for paint | tio2 for coatings | tio2 pigment for paint | rutile titanium dioxide for coatings,GLOBAL,M,APPLICATIONS > TiO2 for Coatings,Application page,Unavailable,5,P2,HIGH,Paint is a synonym/sub-intent within coatings. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=60.4 across 5 member keywords; Unavailable demand/feasibility scored 0.
APP-02,Plastics,titanium dioxide for plastics,tio2 for plastics | titanium dioxide for pvc | titanium dioxide for pe | titanium dioxide for pp | titanium dioxide for abs | titanium dioxide for pet | titanium dioxide for plastic film | titanium dioxide for engineering plastics,GLOBAL,C,APPLICATIONS > TiO2 for Plastics,Application page,Unavailable,5,P2,MEDIUM,Polymer variants support one plastics page unless future SERP evidence proves separation. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=64.0 across 9 member keywords; Unavailable demand/feasibility scored 0.
APP-03,TiO2 for masterbatch,titanium dioxide for masterbatch,tio2 for masterbatch | masterbatch grade titanium dioxide | titanium dioxide masterbatch pigment,GLOBAL,C,APPLICATIONS > TiO2 for Masterbatch,Application page,Unavailable,5,P2,HIGH,Distinct from finished titanium dioxide masterbatch products. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=64.0 across 4 member keywords; Unavailable demand/feasibility scored 0.
APP-04,Printing inks,titanium dioxide for printing inks,tio2 for inks,GLOBAL,C,APPLICATIONS > TiO2 for Printing Inks,Application page,Unavailable,4,P2,LOW,Metrics unavailable. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=59.0 across 2 member keywords; Unavailable demand/feasibility scored 0.
APP-05,Paper,titanium dioxide for paper,tio2 for paper,GLOBAL,C,APPLICATIONS > TiO2 for Paper,Application page,Unavailable,3,P3,LOW,Metrics unavailable. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=54.0 across 2 member keywords; Unavailable demand/feasibility scored 0.
COMP-01,REACH,titanium dioxide reach registration,reach compliant titanium dioxide | titanium dioxide reach supplier,EU,M,COMPLIANCE & DOCUMENTS > REACH,Compliance page,Unavailable,5,P2,MEDIUM,ECHA capture partial; product-specific claims require official re-verification. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=68.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
COMP-02,Technical documents,titanium dioxide tds,titanium dioxide sds | titanium dioxide coa | titanium dioxide technical data sheet | titanium dioxide safety data sheet | request titanium dioxide documents,GLOBAL,M,COMPLIANCE & DOCUMENTS > TDS / SDS / COA,Document page,Unavailable,5,P2,LOW,Strong RFQ-enablement intent even without volume. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=61.0 across 6 member keywords; Unavailable demand/feasibility scored 0.
COMP-03,Origin documents,titanium dioxide country of origin certificate,titanium dioxide coo | titanium dioxide origin traceability | titanium dioxide batch traceability,GLOBAL,M,COMPLIANCE & DOCUMENTS > COO,Compliance page,Unavailable,5,P2,HIGH,Coordinate with Malaysia Origin COO page to avoid duplication. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=58.0 across 4 member keywords; Unavailable demand/feasibility scored 0.
TRADE-EU-01,EU trade measures,eu titanium dioxide anti dumping duty,titanium dioxide import duty eu | titanium dioxide customs duty eu,EU,M,RESOURCES > Market & Trade Updates,Trade update,Unavailable,5,P2,MEDIUM,Official definitive measure verified. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=66.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
TRADE-UK-01,UK trade investigation,uk titanium dioxide anti dumping investigation,titanium dioxide import registration uk | titanium dioxide import duty uk,UK,M,RESOURCES > Market & Trade Updates,Trade update,Unavailable,5,P2,MEDIUM,Investigation/registration verified; definitive duty not verified. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=66.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
TRADE-IN-01,India trade status,india titanium dioxide anti dumping duty,titanium dioxide customs duty india,INDIA,M,RESOURCES > Market & Trade Updates,Trade update,Unavailable,5,P2,MEDIUM,Finance implementation VERIFY_REQUIRED. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=66.0 across 2 member keywords; Unavailable demand/feasibility scored 0.
TRADE-BR-01,Brazil trade measure,brazil titanium dioxide anti dumping duty,direito antidumping dióxido de titânio brasil | titanium dioxide import duty brazil,BRAZIL,M,RESOURCES > Market & Trade Updates,Trade update,Unavailable,5,P2,MEDIUM,Official measure and public-interest review verified. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=66.0 across 3 member keywords; Unavailable demand/feasibility scored 0.
BRAND-01,Brand alternatives,chemours titanium dioxide alternative,ti-pure alternative titanium dioxide | tronox titanium dioxide alternative | kronos titanium dioxide alternative | venator titanium dioxide alternative | lomon billions titanium dioxide alternative | citic titanium dioxide alternative | cnnc titanium dioxide alternative | titanium dioxide replacement equivalent | titanium dioxide grade alternative | titanium dioxide equivalent grade,GLOBAL,C,RESOURCES > Technical Guides,Technical comparison candidate,Unavailable,5,P3,HIGH,No equivalence claim without technical validation. Combined volume is Unavailable because one or more member metrics are unavailable. Audited mean weighted score=57.9 across 11 member keywords; Unavailable demand/feasibility scored 0.
OFFSCOPE-01,OFF_SCOPE / do not target,titanium dioxide nanoparticle synthesis,titanium dioxide photocatalyst | titanium dioxide sunscreen | titanium dioxide food additive e171 | titanium dioxide toothpaste | titanium dioxide toxicity | does titanium dioxide cause cancer | lab grade titanium dioxide | titanium dioxide tattoo pigment | titanium metal supplier,GLOBAL,I,N/A,Do not target,Unavailable,1,P4,LOW,Documented exclusion cluster; member Primary Clusters use the nearest allowed enum and secondary labels explicitly state OFF_SCOPE. Audited mean weighted score=26.0 across 10 member keywords; Unavailable demand/feasibility scored 0.
BUYER-01,High-purchase-intent modifiers,titanium dioxide quote supplier,titanium dioxide quotation | titanium dioxide sample supplier | buy titanium dioxide bulk | titanium dioxide wholesaler | titanium dioxide distributor | titanium dioxide sourcing supplier,GLOBAL,T,ABOUT / CONVERSION,Conversion/RFQ elements within existing pages,Unavailable,5,P2,MEDIUM,"Quote, quotation, sample, bulk, buy, wholesaler, distributor and sourcing queries were searched directly; no standalone page is approved. Audited mean weighted score=60.7 across 7 member keywords; Unavailable demand/feasibility scored 0."
BRAND-02,Grade-level alternatives,ti-pure r-706 alternative equivalent,tronox cr-828 alternative equivalent | kronos 2310 titanium dioxide alternative equivalent | tioxide tr92 alternative equivalent | blr-895 alternative equivalent titanium dioxide | cnnc r-216 alternative equivalent titanium dioxide | citic r-5566 titanium dioxide alternative equivalent,GLOBAL,C,RESOURCES > Technical Guides,Technical comparison candidate,Unavailable,5,P2,HIGH,Seven common grade-level queries were searched directly. No equivalence or guaranteed replacement claim is allowed. Audited mean weighted score=59.0 across 7 member keywords; Unavailable demand/feasibility scored 0.
