cluster_id,primary_keyword,market,architecture_section,existing_page,mapping_status,new_page_candidate,reason,priority
ORIGIN-01,malaysia titanium dioxide,GLOBAL,MALAYSIA ORIGIN,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MAPPED_TO_EXISTING_ARCHITECTURE,NO,"Keep supplier, manufacturing, COO and export variants within the existing origin architecture. Combined volume is Unavailable because one or more member metrics are unavailable.",P2
ORIGIN-02,non china titanium dioxide,GLOBAL,MALAYSIA ORIGIN,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Use origin diversification language; never imply transshipment or duty circumvention. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
MARKET-EU-01,titanium dioxide supplier europe,EU,MARKETS,MARKETS > European Union,MAPPED_TO_EXISTING_ARCHITECTURE,NO,EU page owns Europe/EU supplier intent; country pages handle explicit country modifiers. Combined volume is Unavailable because one or more member metrics are unavailable.,P1
MARKET-EU-02,titanium dioxide supplier germany,EU,MARKETS,MARKETS > country pages,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Only Germany has direct proxy metrics; other country data are unavailable. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
MARKET-UK-01,titanium dioxide supplier uk,UK,MARKETS,MARKETS > United Kingdom,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Local distributor SERP; origin/trade sections support buyer evaluation. Combined volume is Unavailable because one or more member metrics are unavailable.,P1
MARKET-IN-01,titanium dioxide supplier india,INDIA,MARKETS,MARKETS > India,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Price and supplier intent are commercially useful despite unavailable volume. Combined volume is Unavailable because one or more member metrics are unavailable.,P1
MARKET-BR-EN,titanium dioxide supplier brazil,BRAZIL,MARKETS,MARKETS > Brazil,MAPPED_TO_EXISTING_ARCHITECTURE,NO,English demand evidence is limited. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
MARKET-BR-PT,fornecedor de dióxido de titânio,BRAZIL,MARKETS,MARKETS > Brazil,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Portuguese SERP and one measurable coatings term support localization review. Combined volume is Unavailable because one or more member metrics are unavailable.,P1
PRODUCT-01,titanium dioxide pigment,GLOBAL,PRODUCTS,PRODUCTS > Titanium Dioxide Products,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Core commercial entry. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
PRODUCT-02,rutile titanium dioxide,GLOBAL,PRODUCTS,PRODUCTS > Titanium Dioxide Products,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Avoid one page per trivial synonym. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
PRODUCT-03,chloride process titanium dioxide,GLOBAL,PRODUCTS,PRODUCTS > Chloride Process TiO2,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Keep process page distinct from individual grade pages. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
