claim_id,exact_claim,claim_type,source_id,source_url_or_path,source_locator,source_date,checked_date,scope,verification_status,public_use_decision,user_decision,next_action
IT-CL01,"Malaysia-origin titanium dioxide",USER_APPROVED_FACT,EG-001,docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md,Sections 1-3,2026-09-05,2026-09-06,All suitable TiO2 Malaysia pages including Italy,USER_APPROVED,RENDER_WITHIN_APPROVED_SCOPE,USER_APPROVED_SITE_WIDE,Inherit without renewed origin Hold
IT-CL02,"Italy owns titanium dioxide supplier italy at /markets/italy/ in EN",ARCHITECTURE,REG-IT,research/keyword/11_page_keyword_master.csv,MARKET-EU-IT row,Unknown - exact approval date not independently established,2026-09-06,Page identity and keyword ownership,APPROVED_MAPPING,INTERNAL_ARCHITECTURE_NOT_RUNTIME_PROOF,EXISTING_APPROVED_MAPPING,Do not change URL or infer live status
IT-CL03,"Aprochimide presents TiO2 applications and a contact form on its product page",SOURCE_OBSERVATION,IT-P01,https://aprochimide.it/titanium-dioxide/?lang=en,L10-68,Unknown,2026-09-06,Named supplier page only,OBSERVED_IN_CAPTURE,RESEARCH_ONLY,NOT_A_COMPANY_CAPABILITY_APPROVAL,Use as product-to-contact path evidence
IT-CL04,"TER Italia TiO2 content is followed by named sales contacts",SOURCE_OBSERVATION,IT-P02,https://www.teritalia.com/en/productdetail/white-pigments-titanium-dioxide,L27-58 and L80-106,Unknown,2026-09-06,Named supplier page only,OBSERVED_IN_CAPTURE,RESEARCH_ONLY,NOT_A_COMPANY_CAPABILITY_APPROVAL,Do not label as a sample or document workflow
IT-CL05,"Norkem lists TiO2 form and packaging plus a product enquiry link",SOURCE_OBSERVATION,IT-P03,https://www.norkem.it/products/biossido-di-titanio,L59-68,Unknown,2026-09-06,Named supplier page only,OBSERVED_IN_CAPTURE,RESEARCH_ONLY,NOT_A_COMPANY_CAPABILITY_APPROVAL,Do not inherit its forms packaging stock or logistics
IT-CL06,"Garzanti describes compound/masterbatch supply-chain context and TiO2 by polymer and end application",SOURCE_OBSERVATION,IT-P04,https://www.garzantispecialties.com/plastiche-polimeri/,L27 and L41-43,Unknown,2026-09-06,Named Italian distributor content,OBSERVED_IN_CAPTURE,RESEARCH_CONTEXT_ONLY,NOT_A_GRADE_ITALY_MAPPING,Use to propose evaluation-background questions
IT-CL07,"Federchimica AVISA describes wood and industrial coatings plus printing/packaging sectors",INDUSTRY_CONTEXT,IT-P05,https://www.federchimica.it/associazioni/avisa,L198-205,Unknown,2026-09-06,Italian industry association coverage not demand size,OBSERVED_IN_CAPTURE,CONTEXT_APPROVED_WITH_ATTRIBUTION,IT-D01_USER_APPROVED_2026-09-06,Do not infer largest sectors customers or Grade suitability
IT-CL08,"Sol.Tiox official page describes Scarlino operations and production activity beginning in 2026",COUNTEREXAMPLE,IT-P06,https://grupposolmar.it/en/sol-tiox/,L6-9,2026 as described event not verified publication date,2026-09-06,Company self-description only,OBSERVED_SELF_STATEMENT,RESEARCH_ONLY,NOT_A_CAPACITY_OR_AVAILABILITY_APPROVAL,Do not assert Italy has no local supply or publish capacity conclusions
IT-CL09,"The original-query sample includes supplier and non-supplier interpretations",SEARCH_OBSERVATION,IT-Q01,pages/markets/italy/01_research/evidence/IT-Q01-web-search-2026-09-06.json,22 returned entries; method report Section 2,2026-09-06,2026-09-06,Generic web sample not Google Italy ranking,OBSERVED_IN_CAPTURE,INTERNAL_RESEARCH,NOT_USER_BEHAVIOUR_STATISTICS,Keep mixed intent and do not infer searcher proportions
IT-CL10,"Prioritize industrial procurement and product evaluation for the Italy page",EDITORIAL_INFERENCE,IT-Q01+IT-P01+IT-P04+IT-P05,pages/markets/italy/01_research/MARKET-EU-IT_GATE1_RESEARCH_REPORT_V0.2.md,Sections 1 and 4,2026-09-06,2026-09-06,Page direction only,AGENT_INFERENCE_USER_APPROVED,CONTENT_INTENT_CONFIRMED,IT-D01_USER_APPROVED_2026-09-06,Use approved direction and CTA without inferring Gate2 authorization
