source_id,source_type,source_name,source_url,market,language,database,device,captured_at,data_date_shown_by_source,capture_method,raw_directory,files,completeness_status,limitations,sha256_verified,eligible_for_analysis,notes
SEMRUSH-UK-ORIGIN-20260829-001,semrush,Semrush Keyword Overview Bulk,https://zh.semrush.com/analytics/keywordoverview/bulk/?q=malaysia+titanium+dioxide&db=uk&bulk=LYQwNiCeDOCWIAIAuskgHawK7AQE1gHsAPWPAUwB9QIZ4FCAnWAc1nWVQ21wJLKoo0mHPiKkKCaFgAOMsLHKMENKHBCV0hDgGMAFu0RDuovhKrgkS9CBQA3cp0IAmKbPmLGQA,UK,EN,uk,desktop,2026-08-29T03:48:56.201Z,2026-08-29,complete page outerHTML + structured DOM + visible text + structured table rows,D:/23MySec/keyword-research/raw/semrush/2026-08-29/uk/semrush_uk_origin_001,page_outerhtml.html | dom_snapshot.txt | visible_text.txt | table_rows.json | request_keywords.txt | capture_limitations.txt,COMPLETE,Native CSV download event unavailable in built-in browser; structured capture used. | Search Volume and CPC displayed as unavailable for all five keywords.,YES,YES,Native Semrush CSV unavailable; complete structured capture retained.
SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,serp,Web search raw response,Search engine query via web research tool,GLOBAL,EN,web search,Unavailable,2026-08-29T03:52:05.123Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/GLOBAL/EN/malaysia_titanium_dioxide_supplier,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: malaysia titanium dioxide supplier manufacturer
SERP-EU-TIO2-SUPPLIER-20260829,serp,Web search raw response,Search engine query via web research tool,EU,EN,web search,Unavailable,2026-08-29T03:52:05.125Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/EU/EN/titanium_dioxide_supplier_europe,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide supplier Europe
SERP-UK-TIO2-SUPPLIER-20260829,serp,Web search raw response,Search engine query via web research tool,UK,EN,web search,Unavailable,2026-08-29T03:52:05.126Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/UK/EN/titanium_dioxide_supplier_uk,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide supplier UK
SERP-INDIA-TIO2-SUPPLIER-20260829,serp,Web search raw response,Search engine query via web research tool,INDIA,EN,web search,Unavailable,2026-08-29T03:52:05.126Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/INDIA/EN/titanium_dioxide_supplier_india,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide supplier India
SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829,serp,Web search raw response,Search engine query via web research tool,BRAZIL,PT-BR,web search,Unavailable,2026-08-29T03:52:05.127Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/BRAZIL/PT-BR/fornecedor_dioxido_titanio_brasil,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: fornecedor de dióxido de titânio Brasil
SERP-GLOBAL-TIO2-COATINGS-20260829,serp,Web search raw response,Search engine query via web research tool,GLOBAL,EN,web search,Unavailable,2026-08-29T03:52:05.128Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/GLOBAL/EN/titanium_dioxide_for_coatings,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide for coatings pigment supplier
SERP-GLOBAL-TIO2-PLASTICS-20260829,serp,Web search raw response,Search engine query via web research tool,GLOBAL,EN,web search,Unavailable,2026-08-29T03:52:05.128Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/GLOBAL/EN/titanium_dioxide_for_plastics,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide for plastics pigment supplier
SERP-EU-TIO2-ANTIDUMPING-20260829,serp,Web search raw response,Search engine query via web research tool,EU,EN,web search,Unavailable,2026-08-29T03:52:05.129Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/EU/EN/titanium_dioxide_anti_dumping_europe,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide anti dumping Europe EU
SERP-GLOBAL-TIO2-REACH-20260829,serp,Web search raw response,Search engine query via web research tool,GLOBAL,EN,web search,Unavailable,2026-08-29T03:52:05.129Z,2026-08-29,complete raw response returned by web search,D:/23MySec/keyword-research/raw/serp/2026-08-29/GLOBAL/EN/titanium_dioxide_reach,raw_search.txt,COMPLETE,"Provider result order is preserved, but exact Google data-center location and personalization are unavailable. | Use as SERP-intent evidence; do not treat result counts as search volume.",YES,YES,Query: titanium dioxide REACH registration supplier
