claim_id,page_id,claim_text,claim_class,source_ids,source_date,capture_or_decision_date,scope,verification_status,render_status,article_mapping,owner,notes
"APP-INK-G1-C001","APP-INK","APP-INK is the TiO2 for Printing Inks Application landing page.","PAGE_IDENTITY","REGISTRY-V02","2026-09-06 current registry snapshot","2026-09-07","Page identity only","VERIFIED_PROJECT_AUTHORITY","RENDER","N/A","APP-INK","Does not approve the route or final page copy."
"APP-INK-G1-C002","APP-INK","The registered path is /applications/titanium-dioxide-for-printing-inks/ and remains PROVISIONAL_URL.","ROUTE_STATUS","REGISTRY-V02;KWM-V11","2026-09-06 current sources","2026-09-07","Planning reference only; not final Canonical sitemap or href","VERIFIED_PROJECT_AUTHORITY","DO_NOT_RENDER","N/A","Project architecture","Use Page ID or route key until separately approved."
"APP-INK-G1-C003","APP-INK","APP-INK owns the primary keyword titanium dioxide for printing inks; tio2 for inks is secondary.","KEYWORD_OWNERSHIP","KWM-V11","2026-09-06 current implementation master","2026-09-07","Generic Printing Inks Application intent only","VERIFIED_PROJECT_AUTHORITY","RENDER","N/A","APP-INK","Exact Grades country suppliers and process primaries remain excluded."
"APP-INK-G1-C004","APP-INK","Fresh query evidence supports mixed informational and commercial technical-evaluation intent rather than a single proven visitor persona or buying stage.","SEARCH_INTENT_INFERENCE","INK-SI-V01","observed 2026-09-07","2026-09-07","Generic global-English search sample","SUPPORTED_INFERENCE","DO_NOT_RENDER","N/A","APP-INK Gate 1","May guide page direction but is not buyer-visible copy."
"APP-INK-G1-C005","APP-INK","Current Search Volume KD CPC and trend metrics for the APP-INK terms are Unavailable.","RESEARCH_LIMIT","KWM-V11;INK-SI-V01","2026-08-29 master; observed 2026-09-07","2026-09-07","Quantitative keyword opportunity","VERIFIED_UNAVAILABLE","DO_NOT_RENDER","N/A","Keyword research","Unavailable must not be represented as zero."
"APP-INK-G1-C006","APP-INK","The exact article Titanium Dioxide for Printing Inks: How to Compare Opacity Dispersion and Print Performance is approved as formal public-facing content input.","USER_APPROVED_CONTENT","INK-ARTICLE-REVIEW-V01","user approval 2026-09-07","2026-09-07","Exact reader-visible meaning at SHA-256 9F80F99E7453AEEF28FCB8534AADA9980036EE6AB87F8ACA2D024D464D6F8C55","APPROVED_CLOSED","RENDER","KEEP/ADAPT","APP-INK","Article approval does not approve page Gate HTML or publication."
"APP-INK-G1-C007","APP-INK","A useful candidate evaluation begins by defining the ink chemistry or vehicle printing process substrate deposited film drying or cure route end use incumbent reference target and rejection conditions.","TECHNICAL_EVALUATION_MODEL","ARTICLE-A04/A05-001-011;D22-S01;D22-S02;D22-S03","2022-2025 sources; content approved 2026-09-07","2026-09-07","Defined white-ink system and controlled comparison","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","Evaluation reasoning not a tested replacement outcome."
"APP-INK-G1-C008","APP-INK","Printed opacity must be interpreted for a declared prepared ink printed specimen substrate and printing-system configuration rather than inferred from pigment identity alone.","TECHNICAL_BOUNDARY","ARTICLE-A04/A05-012-033;D22-S01;D22-S04","2022-2023 sources; content approved 2026-09-07","2026-09-07","Opaque white ink specimen and method context","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","No universal opacity target follows."
"APP-INK-G1-C009","APP-INK","Opacity surface coverage or pinholes and colour are distinct evaluation questions.","TECHNICAL_BOUNDARY","ARTICLE-A04/A05-016-033;D22-S01;D22-S04;D22-S05","2017-2023 sources; content approved 2026-09-07","2026-09-07","Printed white-layer evaluation","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","One favorable number is not a composite performance score."
"APP-INK-G1-C010","APP-INK","The cited reverse-flexo PET study illustrates deposition and specimen effects but is not a TiO2 replacement trial or finished-laminate result.","SOURCE_SCOPE_LIMIT","ARTICLE-A04/A05-019-025;D22-S01","2023","2026-09-07","One defined solvent-based reverse-flexo experiment on treated PET","APPROVED_ARTICLE_SCOPE","RENDER_WITH_QUALIFIER","KEEP/ADAPT","APP-INK","Do not generalize to all printing processes or product Grades."
