claim_id,exact_statement,claim_type,source_path_or_url,source_date,checked_date,scope,evidence_nature,fact_status,user_decision_status,public_use,limits_or_next_action
"IN-C01","MARKET-IN-001 is the EN India procurement page at /markets/india/ with P0 priority and primary keyword titanium dioxide supplier india.","IDENTITY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv","2026-09-02;current row","2026-09-06","India identity/keyword ownership","APPROVED_PROJECT_RECORD","APPROVED_MAPPING","INHERITED","IDENTITY_ONLY","Does not establish page readiness or user approval of new copy."
"IN-C02","TiO2 Malaysia is operated by IKHLAS TITANIUM (MALAYSIA) SDN. BHD.","COMPANY","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md §2","2026-08-29","2026-09-06","Same entity identity on visible and semantically equivalent machine-readable surfaces","APPROVED_PROJECT_FACT","USER_APPROVED","INHERITED","RENDER","Do not create an Indian legal entity or office."
"IN-C03","Malaysia-origin titanium dioxide","ORIGIN","docs/architecture/MALAYSIA_ORIGIN_SITE_WIDE_PUBLICATION_AUTHORITY_V1.0.md;docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.5.md EG-001","2026-09-05","2026-09-06","All suitable site pages including India; visible/SEO/GEO/social/Schema","USER_DECISION","USER_APPROVED","INHERITED","RENDER","No repeat fact confirmation; not a customs/tariff/COO approval."
"IN-C04","A Certificate of Origin is available upon request.","DOCUMENT","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.5.md EG-002;India Brief IN-D02","2026-09-06","2026-09-06","India page and equivalent SEO/GEO/social/Schema only if approved","PROPOSED_USER_FACT","PENDING_USER_FACT_CONFIRMATION","IN-D02_PENDING","PENDING_USER_DECISION_NOT_REJECTION","Show exact sentence to user; no every-shipment provision or customs outcome inference."
"IN-C05","Esaar's India TiO2 page contains product-specific tables and inquiry links plus a TDS PDF link.","SEARCH_OBSERVATION","https://www.esaar.com/portfolio/titanium-dioxide/;pages/markets/india/01_research/evidence/IN-P01.json L8–171","Publication not displayed;observed 2026-09-06","2026-09-06","Source page content only","DIRECT_BODY_OBSERVATION","OBSERVED_SOURCE_CONTENT","NOT_OUR_COMPANY_FACT","INTERNAL_RESEARCH_ONLY","No form submission/PDF download; no transfer of properties, packing or same-number grade mapping."
"IN-C06","Pandora's Titanium Dioxide Price in India section asks the reader to contact it with requirements for a quotation.","SEARCH_OBSERVATION","https://www.pandoraindia.com/titanium-dioxide;pages/markets/india/01_research/evidence/IN-P05.json L166–175","Publication not displayed;observed 2026-09-06","2026-09-06","Source price-answer pattern","DIRECT_BODY_OBSERVATION","OBSERVED_SOURCE_CONTENT","NOT_OUR_COMPANY_FACT","INTERNAL_RESEARCH_ONLY","Do not use source technical claims; L28/93 headings incorrectly say Trichloroethylene."
"IN-C07","The original-query sample includes supplier/distributor/importer pages and commercial platforms plus informational and promotional results.","SEARCH_OBSERVATION","pages/markets/india/01_research/evidence/IN-Q01.json;method §1/3","2026-09-06","2026-09-06","25 returned tool records; not Google local ranking","SAMPLE_OBSERVATION","OBSERVED_WITH_LIMITS","NOT_A_USER_PROFILE_SURVEY","INTERNAL_RESEARCH_ONLY","Merge platform/brand/author duplication; do not infer national demand share."
"IN-C08","Original-query marketplace snippets mix Kg/Piece/Pack, MOQ and product forms, so a bare price comparison lacks a common basis.","ANALYTICAL_INFERENCE","pages/markets/india/01_research/evidence/IN-Q01.json result1/2;method §3","2026-09-06","2026-09-06","Research inference about observed snippets","INFERENCE_FROM_SOURCE_FIELDS","SUPPORTED_INFERENCE","DIRECTION_PENDING_IN-D01","CONTENT_DIRECTION_ONLY","No calculated market average, competitor quote or our numeric price."
"IN-C09","Tanya's D-White is a white masterbatch using TiO2 and carrier resin rather than the same purchase object as TiO2 pigment.","SEARCH_COUNTEREXAMPLE","https://www.tanyacorporation.com/product-page/masterbatch-d-white;pages/markets/india/01_research/evidence/IN-P03.json L18–20","Publication not displayed;observed 2026-09-06","2026-09-06","Specific supplier product distinction","DIRECT_BODY_OBSERVATION_PLUS_INTERPRETATION","OBSERVED_SOURCE_CONTENT","NOT_OUR_PRODUCT_CLAIM","INTERNAL_RESEARCH_ONLY","Use only to avoid input pigment/finished masterbatch confusion; no ingredient ratio or performance transfer."
"IN-C10","Industrial procurement and technical readers in paints, plastics and masterbatch are proposed audiences; Request a Quote primary and Explore Products secondary.","PAGE_DIRECTION","India Brief §2;research §3–5;11_page_keyword_master India;IN-P01/05","2026-09-06","2026-09-06","India Gate1 direction","AGENT_SYNTHESIS","DRAFT_DIRECTION","IN-D01_PENDING","PENDING_USER_DIRECTION","Not a measured industry share, rank or independently approved strategy."
