candidate_id,pattern_or_module,buyer_job,peer_observation,project_fit,proof_required,classification,keyword_gate,notes
C01,"RFQ-led procurement hero","立即确认供应范围并发起报价","20 个可评估同行中未见同等 RFQ 主导；多为 Learn more/contact",HIGH,"真实产品范围、目标市场、接收流程、响应承诺",STRONG,"H1/文案/市场措辞待关键词批准","项目差异化假设，不是同行效果证明"
C02,"Malaysia-origin + operator fact strip","核验原产地、运营主体、制造与出口关系","PRECHEZA 法律实体/origin；区域站地址；mytio2 已有事实条",HIGH,"IKHLAS 主体、地点关系、COO/来源材料、公开范围",STRONG,"最终标签与页面入口待批准","避免旗帜/地标替代证据"
C03,"Application / grade selector","判断牌号或申请技术推荐","16/20 有应用/市场入口；LB/Tioxide/INEOS 较强",HIGH,"牌号清单、应用建议、TDS、技术审核",STRONG,"应用与关键词优先级待批准","支持“不确定牌号”选项"
C04,"Gated document request","申请 TDS/SDS/COA/COO/REACH-related 文件","同行常见下载/资源中心，但 0/20 采用同类受控申请",HIGH,"文件目录、版本、适用牌号/市场、授权与发送流程",STRONG,"最终名称/URL 待批准","公开只展示名称与说明"
C05,"Supply stability proof teaser","判断供应和出口执行能力","11/20 有供应链/物流；Tronox/KMML/DKSH/APCC 有较具体证据",HIGH,"工厂、仓储、包装、出口流程、可披露数据",STRONG,"市场措辞待批准","不得承诺未证实库存/交期"
C06,"Manufacturing / QC evidence cards","验证生产和批次质量","9/20 有制造/设施；19/20 有技术/质量主题",HIGH,"企业实拍、流程、设备/人员、COA/检验节点",CONDITIONAL,"页面命名待批准","首页摘要，完整内容进信任型副页"
C07,"Product/grade preview","快速确认可供应范围","19/20 有产品主题",HIGH,"14 个 rutile grades 的最新版资料、工艺与应用",CONDITIONAL,"产品关键词与 URL 待批准","不得声称 anatase；M-2377 工艺当前未公开"
C08,"Market compliance pathways","判断 EU/UK/India/Brazil 所需文件与支持","分销商常用 regulatory/market coverage；制造商有合规资源",MEDIUM_HIGH,"逐市场材料、适用范围、审核人",CONDITIONAL,"必须等待关键词与合规人工审核","不写未经核实法律结论"
C09,"Packaging / warehouse / export coordination","判断采购执行细节","区域站和分销商常用仓库/物流/覆盖证据",HIGH,"包装规格、仓库/装柜实拍、Port Klang/物流关系",CONDITIONAL,"URL/导航待批准","可成为 supply trust 副页"
C10,"Request a Sample","在牌号筛选后进行验证","2/20 有明显 Sample CTA",MEDIUM,"样品政策、数量、运费、资格、流程",CONDITIONAL,"表单与文案待批准","不抢占 RFQ 主动作"
C11,"Technical support route","无法判断牌号时获得帮助","IMCD/DKSH/Focus/APCC 强调技术支持",MEDIUM_HIGH,"人员、职责、响应渠道、能处理的问题",CONDITIONAL,"导航/CTA 待批准","只有真实团队和流程存在时使用"
C12,"Legal entity / contact consistency footer","完成供应商尽调","PRECHEZA/区域站常提供主体、地址、联系方式",HIGH,"公司注册、地址、电话、域名邮箱一致性",STRONG,"无关键词门槛，但需事实批准","跨两站保持单一事实源"
C13,"Certifications / metrics / partner logos","快速建立规模或认证信任","同行高频使用数字、证书、Logo",MEDIUM,"编号、机构、有效期、口径、日期、授权",CONDITIONAL,"非关键词门槛","任一证据不足则不展示"
C14,"News / sustainability / careers","企业透明度或雇主品牌","大型同行高频，但不直接支持 RFQ",LOW,"持续更新能力和真实内容",REJECT_AS_CORE,"可在站点规划阶段再评估","不占首页主要位置"
C15,"Tourism Malaysia / flag / landmark hero","强调地域感","部分本地/自有站使用地标和旗帜",LOW,"无法成为原产地证据",REJECT,"无","违反工业 B2B 视觉方向"
C16,"SaaS / neon / futuristic interface","制造科技感","非本行业有效证据模式",LOW,"无",REJECT,"无","违反视觉标准"
C17,"Final section order and SEO copy","形成生产首页 IA 与文本","同行不可替代本企业资料和关键词研究",PENDING,"批准关键词研究与企业资料包",WAIT,"YES","本研究不锁定"
